time(s),total_rx(bytes)
0,0
1,487
2,1069
3,1069
4,1069
5,1069
6,1069
7,1069
8,1069
9,1069
10,1069
12,1069
13,1069
14,1069
15,1069
16,1069
17,1069
18,1069
19,1069
20,1069
21,1069
22,1069
23,1069
24,1069
25,1069
26,1069
27,1069
28,1069
29,1069
30,2284
31,2284
32,2284
33,2284
34,2284
36,2368
37,2368
38,2368
39,2368
40,2368
41,2368
42,2368
43,2368
44,2368
45,2368
46,2368
47,2368
48,2368
49,2368
50,2368
51,2368
52,2368
53,2368
54,2368
55,2368
56,2368
57,2368
58,2368
59,2368
61,3253
62,3253
63,3253
64,3253
65,3253
66,3253
67,3253
68,3253
69,3253
70,3253
71,3253
72,3253
73,3253
74,3253
75,3253
76,3253
77,3253
78,3253
79,3253
80,3253
81,3253
82,3253
83,3253
84,3253
86,3253
87,3253
88,3253
89,3253
90,3253
91,4270
92,4270
93,4270
94,4270
95,4270
96,4354
97,4354
98,4354
99,4354
100,4354
101,4354
102,4354
103,4354
104,4354
105,4354
106,4354
107,4354
108,4354
110,4354
111,4354
112,4354
113,4354
114,4354
115,4354
116,4354
117,4354
118,4354
119,4354
120,5635
121,5635
122,5635
123,5635
124,5635
125,5677
126,5677
127,5677
128,5677
129,5677
130,5677
131,5677
132,5677
133,5677
135,5677
136,5677
137,5677
138,5677
139,5677
140,5677
141,5677
142,5677
143,5677
144,5677
145,5677
146,5677
147,5677
148,5677
149,5677
150,6760
151,6760
152,6760
153,6760
154,6760
155,6802
156,6802
157,6802
159,6802
160,6802
161,6802
162,6802
163,6802
164,6802
165,6802
166,6802
167,6802
168,6802
169,6802
170,6802
171,6802
172,6802
173,6802
174,6802
175,6802
176,6802
177,6802
178,6802
179,6802
180,7819
181,7819
182,7819
184,7819
185,7819
186,7861
187,7861
188,7861
189,7861
190,7861
191,7861
192,7861
193,7861
194,7861
195,7861
196,7861
197,7861
198,7861
199,7861
200,7861
201,7861
202,7861
203,7861
204,7861
205,7861
206,7861
207,7861
209,7861
210,7861
211,9010
212,9010
213,9010
214,9010
215,9010
216,9010
217,9010
218,9010
219,9010
220,9010
221,9010
222,9010
223,9010
224,9010
225,9010
226,9010
227,9010
228,9010
229,9010
230,9010
231,9010
233,9010
234,9010
235,9010
236,9010
237,9010
238,9010
239,9010
240,9010
241,10225
242,10225
243,10225
244,10225
245,10225
246,10267
247,10267
248,10267
249,10267
250,10267
251,10267
252,10267
253,10267
254,10267
255,10267
256,10267
258,10267
259,10267
260,10267
