time(s),total_tx(bytes)
0,0
1,140
2,929
3,929
4,929
5,929
6,929
7,929
8,929
9,929
10,929
12,929
13,929
14,929
15,929
16,929
17,929
18,929
19,929
20,929
21,929
22,929
23,929
24,929
25,929
26,929
27,929
28,929
29,929
30,140936
31,140936
32,140936
33,140936
34,140936
36,141056
37,141056
38,141056
39,141056
40,141056
41,141056
42,141056
43,141056
44,141056
45,141056
46,141056
47,141056
48,141056
49,141056
50,141056
51,141056
52,141056
53,141056
54,141056
55,141056
56,141056
57,141056
58,141056
59,141056
61,220489
62,220489
63,220489
64,220489
65,220489
66,220489
67,220489
68,220489
69,220489
70,220489
71,220489
72,220489
73,220489
74,220489
75,220489
76,220489
77,220489
78,220489
79,220489
80,220489
81,220489
82,220489
83,220489
84,220489
86,220489
87,220489
88,220489
89,220489
90,220489
91,317157
92,317157
93,317157
94,317157
95,317157
96,317277
97,317277
98,317277
99,317277
100,317277
101,317277
102,317277
103,317277
104,317277
105,317277
106,317277
107,317277
108,317277
110,317277
111,317277
112,317277
113,317277
114,317277
115,317277
116,317277
117,317277
118,317277
119,317277
120,503350
121,503350
122,503350
123,503350
124,503350
125,503410
126,503410
127,503410
128,503410
129,503410
130,503410
131,503410
132,503410
133,503410
135,503410
136,503410
137,503410
138,503410
139,503410
140,503410
141,503410
142,503410
143,503410
144,503410
145,503410
146,503410
147,503410
148,503410
149,503410
150,648240
151,648240
152,648240
153,648240
154,648240
155,648300
156,648300
157,648300
159,648300
160,648300
161,648300
162,648300
163,648300
164,648300
165,648300
166,648300
167,648300
168,648300
169,648300
170,648300
171,648300
172,648300
173,648300
174,648300
175,648300
176,648300
177,648300
178,648300
179,648300
180,772273
181,772273
182,772273
184,772273
185,772273
186,772333
187,772333
188,772333
189,772333
190,772333
191,772333
192,772333
193,772333
194,772333
195,772333
196,772333
197,772333
198,772333
199,772333
200,772333
201,772333
202,772333
203,772333
204,772333
205,772333
206,772333
207,772333
209,772333
210,772333
211,917495
212,917495
213,917495
214,917495
215,917495
216,917495
217,917495
218,917495
219,917495
220,917495
221,917495
222,917495
223,917495
224,917495
225,917495
226,917495
227,917495
228,917495
229,917495
230,917495
231,917495
233,917495
234,917495
235,917495
236,917495
237,917495
238,917495
239,917495
240,917495
241,1079959
242,1079959
243,1079959
244,1079959
245,1079959
246,1080019
247,1080019
248,1080019
249,1080019
250,1080019
251,1080019
252,1080019
253,1080019
254,1080019
255,1080019
256,1080019
258,1080019
259,1080019
260,1080019
261,1080019
262,1080019
263,1080019
264,1080019
265,1080019
266,1080019
267,1080019
268,1080019
269,1080019
270,1207073
271,1207073
272,1207073
273,1207073
274,1207073
275,1207133
276,1207133
