time(s),total_rx(bytes)
0,0
1,1732
2,1732
3,1732
4,1732
5,1732
6,1798
7,2392
8,2392
9,2392
10,2392
11,2458
12,2458
13,2458
14,2458
15,2458
16,2524
17,2524
18,2524
19,2524
20,2524
21,2590
22,2590
24,2590
25,2590
26,2656
27,2656
28,2656
29,2656
30,2656
31,2722
32,2722
33,2722
34,2722
35,2722
36,3424
37,3424
38,3424
39,3424
40,3424
41,3490
42,3490
43,3490
44,3490
45,3490
46,3556
48,3556
49,3556
50,3556
51,3622
52,3622
53,3622
54,3622
55,3622
56,3688
57,3688
58,3688
59,3688
60,3688
61,3754
62,3754
63,3754
64,3754
65,3754
66,4480
67,4480
68,4480
69,4480
70,4480
71,4588
73,4588
74,4588
75,4588
76,4654
77,4654
78,4654
79,4654
80,4654
81,4720
82,4720
83,4720
84,4720
85,4720
86,4786
87,4786
88,4786
89,4786
90,4786
91,4852
92,4852
93,4852
94,4852
95,4852
97,5578
98,5578
99,5578
100,5578
101,5644
102,5644
103,5644
104,5644
105,5644
106,5710
107,5710
108,5710
109,5710
110,5710
111,5818
112,5818
113,5818
114,5818
115,5818
116,5884
117,5884
118,5884
119,5884
120,5884
122,5950
123,5950
124,5950
125,5950
126,6016
127,6676
128,6676
129,6676
130,6676
131,6742
132,6742
133,6742
134,6742
135,6742
136,6808
137,6808
138,6808
139,6808
140,6808
141,6874
142,6874
143,6874
144,6874
146,6874
147,6940
148,6940
149,6940
150,6940
151,7048
152,7048
153,7048
154,7048
155,7048
156,7114
157,8038
158,8038
159,8038
160,8038
161,8104
162,8104
163,8104
164,8104
165,8104
166,8170
167,8170
168,8170
169,8170
171,8170
172,8236
173,8236
174,8236
175,8236
176,8302
177,8302
178,8302
179,8302
180,8302
181,8368
182,8368
183,8368
184,8368
185,8368
186,9028
187,9028
188,9028
189,9028
190,9028
191,9136
192,9136
193,9136
194,9136
196,9136
197,9202
198,9202
199,9202
200,9202
201,9268
202,9268
203,9268
204,9268
205,9268
206,9334
207,9334
208,9334
209,9334
210,9334
211,9400
212,9400
213,9400
214,9400
215,9400
216,9994
217,9994
218,9994
220,9994
221,10060
222,10060
223,10060
224,10060
225,10060
226,10168
227,10168
228,10168
229,10168
230,10168
231,10234
232,10234
233,10234
234,10234
235,10234
236,10300
237,10300
238,10300
239,10300
240,10300
241,10366
242,10366
243,10366
245,10366
246,10432
247,10762
248,10762
249,10762
250,10762
251,10828
252,10828
253,10828
254,10828
255,10828
256,10894
257,10894
258,10894
259,10894
260,10894
261,11002
262,11002
263,11002
264,11002
265,11002
266,11068
267,11068
269,11068
270,11068
271,11134
272,11134
273,11134
274,11134
275,11134
276,11200
277,11530
278,11530
279,11530
280,11530
281,11596
282,11596
283,11596
284,11596
285,11596
286,11662
287,11662
288,11662
289,11662
290,11662
291,11728
292,11728
