time(s),total_rx(bytes)
0,0
1,4653
2,4653
3,4653
4,4653
5,4653
6,4653
7,4653
9,4653
10,4653
11,5907
12,5907
13,5907
14,5907
15,5907
16,5907
17,5907
18,5907
19,5907
20,5907
21,5907
22,5907
23,5907
24,5907
25,5907
26,5907
27,5907
28,5907
29,5907
30,5907
31,5907
33,5907
34,5907
35,5907
36,5907
37,5907
38,5907
39,5907
40,5907
41,7359
42,7359
43,7359
44,7359
45,7401
46,7443
47,7443
48,7443
49,7443
50,7443
51,7443
52,7443
53,7443
54,7443
55,7443
56,7443
58,7443
59,7443
60,7443
61,7443
62,7443
63,7443
64,7443
65,7443
66,7443
67,7509
68,7509
69,7509
70,8961
71,8961
72,8961
73,8961
74,8961
75,8961
76,8961
77,8961
78,8961
79,8961
80,8961
81,8961
83,8961
84,8961
85,8961
86,8961
87,8961
88,8961
89,8961
90,8961
91,8961
92,8961
93,8961
94,8961
95,8961
96,8961
97,8961
98,8961
99,8961
100,9951
101,9951
102,9951
103,9951
104,9951
105,10035
106,10035
108,10035
109,10035
110,10035
111,10035
112,10035
113,10035
114,10035
115,10035
116,10035
117,10035
118,10035
119,10035
120,10035
121,10035
122,10035
123,10035
124,10035
125,10035
126,10035
127,10035
128,10035
129,10035
130,10959
132,10959
133,10959
134,10959
135,10959
136,11001
137,11001
138,11001
139,11001
140,11001
141,11001
142,11001
143,11001
144,11001
145,11001
146,11001
147,11001
148,11001
149,11001
150,11001
151,11001
152,11001
153,11001
154,11001
155,11001
157,11001
158,11001
159,11001
160,11001
161,12255
162,12255
163,12255
164,12255
165,12297
166,12339
167,12339
168,12339
169,12339
170,12339
171,12339
172,12339
173,12339
174,12339
175,12339
176,12339
177,12339
178,12339
179,12339
180,12339
182,12339
183,12339
184,12339
185,12339
186,12339
187,12339
188,12339
189,12339
190,13725
191,13725
192,13725
193,13725
194,13725
195,13767
196,13767
197,13767
198,13767
199,13767
200,13767
201,13767
202,13767
203,13767
204,13767
206,13767
207,13767
208,13767
209,13767
210,13767
211,13767
212,13767
213,13767
214,13767
215,13767
216,13767
217,13767
218,13767
219,13767
220,14757
221,14757
222,14757
223,14757
224,14757
225,14841
226,14841
227,14841
228,14841
229,14841
231,14841
232,14841
233,14841
234,14841
235,14841
236,14841
237,14841
238,14841
239,14841
240,14841
241,14841
242,14841
243,14841
244,14841
245,14841
246,14841
247,14841
248,14841
249,14841
250,15831
251,15831
252,15831
253,15831
255,15831
256,15873
257,15873
258,15873
259,15873
260,15873
261,15873
262,15873
263,15873
264,15873
265,15873
266,15873
267,15873
268,15873
269,15873
270,15873
271,15873
272,15873
273,15873
274,15873
275,15873
276,15873
277,15873
278,15873
280,15873
281,17193
282,17193
283,17193
284,17193
285,17193
286,17277
287,17277
288,17277
289,17277
290,17277
291,17277
292,17277
293,17277
294,17277
295,17277
296,17277
297,17277
298,17277
299,17277
300,17277
301,17277
302,17277
303,17277
305,17277
306,17277
307,17277
308,17277
309,17277
310,17277
311,18597
312,18597
313,18597
314,18597
315,18639
316,18639
317,18639
318,18639
319,18639
320,18639
321,18639
322,18639
323,18639
324,18639
325,18639
326,18639
327,18639
329,18639
330,18639
331,18639
332,18639
333,18639
334,18639
335,18639
336,18639
337,18639
338,18639
339,18639
340,19431
341,19431
342,19431
343,19431
344,19431
345,19515
346,19515
347,19515
348,19515
349,19515
350,19515
351,19515
352,19515
354,19515
355,19515
356,19515
357,19515
358,19515
359,19515
360,19515
361,19515
362,19515
363,19515
364,19515
365,19515
366,19515
367,19515
368,19515
369,19515
370,20637
371,20637
372,20637
373,20637
374,20637
375,20679
