time(s),total_tx(bytes)
0,0
1,92306
2,92306
3,92306
4,92306
5,92306
6,92395
7,223833
8,223833
9,223833
10,223833
11,223922
12,223922
13,223922
14,223922
15,223922
16,224011
17,224011
18,224011
19,224011
20,224011
21,224100
22,224100
24,224100
25,224100
26,224189
27,224189
28,224189
29,224189
30,224189
31,224278
32,224278
33,224278
34,224278
35,224278
36,311658
37,311658
38,311658
39,311658
40,311658
41,311747
42,311747
43,311747
44,311747
45,311747
46,311836
48,311836
49,311836
50,311836
51,311925
52,311925
53,311925
54,311925
55,311925
56,312014
57,312014
58,312014
59,312014
60,312014
61,312103
62,312103
63,312103
64,312103
65,312103
66,391289
67,391289
68,391289
69,391289
70,391289
71,391438
73,391438
74,391438
75,391438
76,391527
77,391527
78,391527
79,391527
80,391527
81,391616
82,391616
83,391616
84,391616
85,391616
86,391705
87,391705
88,391705
89,391705
90,391705
91,391794
92,391794
93,391794
94,391794
95,391794
97,494872
98,494872
99,494872
100,494872
101,494961
102,494961
103,494961
104,494961
105,494961
106,495050
107,495050
108,495050
109,495050
110,495050
111,495199
112,495199
113,495199
114,495199
115,495199
116,495288
117,495288
118,495288
119,495288
120,495288
122,495377
123,495377
124,495377
125,495377
126,495466
127,606023
128,606023
129,606023
130,606023
131,606112
132,606112
133,606112
134,606112
135,606112
136,606201
137,606201
138,606201
139,606201
140,606201
141,606290
142,606290
143,606290
144,606290
146,606290
147,606379
148,606379
149,606379
150,606379
151,606528
152,606528
153,606528
154,606528
155,606528
156,606617
157,760290
158,760290
159,760290
160,760290
161,760379
162,760379
163,760379
164,760379
165,760379
166,760468
167,760468
168,760468
169,760468
171,760468
172,760557
173,760557
174,760557
175,760557
176,760646
177,760646
178,760646
179,760646
180,760646
181,760735
182,760735
183,760735
184,760735
185,760735
186,858532
187,858532
188,858532
189,858532
190,858532
191,858681
192,858681
193,858681
194,858681
196,858681
197,858770
198,858770
199,858770
200,858770
201,858859
202,858859
203,858859
204,858859
205,858859
206,858948
207,858948
208,858948
209,858948
210,858948
211,859037
212,859037
213,859037
214,859037
215,859037
216,940689
217,940689
218,940689
220,940689
221,940778
222,940778
223,940778
224,940778
225,940778
226,940927
227,940927
228,940927
229,940927
230,940927
231,941016
232,941016
233,941016
234,941016
235,941016
236,941105
237,941105
238,941105
239,941105
240,941105
241,941194
242,941194
243,941194
245,941194
246,941283
247,982618
248,982618
249,982618
250,982618
251,982707
252,982707
253,982707
254,982707
255,982707
256,982796
257,982796
258,982796
259,982796
260,982796
261,982945
262,982945
263,982945
264,982945
265,982945
266,983034
267,983034
269,983034
270,983034
271,983123
272,983123
273,983123
274,983123
275,983123
276,983212
277,1011565
278,1011565
279,1011565
280,1011565
281,1011654
282,1011654
283,1011654
284,1011654
285,1011654
286,1011743
287,1011743
288,1011743
289,1011743
290,1011743
291,1011832
292,1011832
294,1011832
295,1011832
296,1011921
297,1011981
298,1011981
299,1011981
300,1011981
301,1012070
302,1012070
303,1012070
304,1012070
305,1012070
306,1066004
307,1066004
308,1066004
309,1066004
310,1066004
311,1066093
312,1066093
313,1066093
314,1066093
315,1066093
316,1066182
317,1066182
319,1066182
320,1066182
321,1066271
322,1066271
323,1066271
324,1066271
325,1066271
326,1066420
327,1066420
328,1066420
329,1066420
330,1066420
331,1066509
332,1066509
333,1066509
334,1066509
335,1066509
336,1223848
337,1223848
338,1223848
339,1223848
340,1223848
341,1223937
343,1223937
344,1223937
345,1223937
346,1224026
347,1224026
348,1224026
349,1224026
350,1224026
351,1224175
352,1224175
353,1224175
354,1224175
355,1224175
356,1224264
357,1224264
358,1224264
359,1224264
360,1224264
361,1224353
362,1224353
363,1224353
364,1224353
365,1224353
366,1317980
368,1317980
369,1317980
370,1317980
371,1318069
372,1318069
373,1318069
374,1318069
