time(s),total_tx(bytes)
0,0
1,767830
2,767830
3,767830
4,767830
5,767830
6,767830
7,767830
9,767830
10,767830
11,983813
12,983813
13,983813
14,983813
15,983813
16,983813
17,983813
18,983813
19,983813
20,983813
21,983813
22,983813
23,983813
24,983813
25,983813
26,983813
27,983813
28,983813
29,983813
30,983813
31,983813
33,983813
34,983813
35,983813
36,983813
37,983813
38,983813
39,983813
40,983813
41,1279673
42,1279673
43,1279673
44,1279673
45,1279733
46,1279793
47,1279793
48,1279793
49,1279793
50,1279793
51,1279793
52,1279793
53,1279793
54,1279793
55,1279793
56,1279793
58,1279793
59,1279793
60,1279793
61,1279793
62,1279793
63,1279793
64,1279793
65,1279793
66,1279793
67,1279925
68,1279925
69,1279925
70,1577697
71,1577697
72,1577697
73,1577697
74,1577697
75,1577697
76,1577697
77,1577697
78,1577697
79,1577697
80,1577697
81,1577697
83,1577697
84,1577697
85,1577697
86,1577697
87,1577697
88,1577697
89,1577697
90,1577697
91,1577697
92,1577697
93,1577697
94,1577697
95,1577697
96,1577697
97,1577697
98,1577697
99,1577697
100,1773235
101,1773235
102,1773235
103,1773235
104,1773235
105,1773355
106,1773355
108,1773355
109,1773355
110,1773355
111,1773355
112,1773355
113,1773355
114,1773355
115,1773355
116,1773355
117,1773355
118,1773355
119,1773355
120,1773355
121,1773355
122,1773355
123,1773355
124,1773355
125,1773355
126,1773355
127,1773355
128,1773355
129,1773355
130,1934623
132,1934623
133,1934623
134,1934623
135,1934623
136,1934683
137,1934683
138,1934683
139,1934683
140,1934683
141,1934683
142,1934683
143,1934683
144,1934683
145,1934683
146,1934683
147,1934683
148,1934683
149,1934683
150,1934683
151,1934683
152,1934683
153,1934683
154,1934683
155,1934683
157,1934683
158,1934683
159,1934683
160,1934683
161,2216538
162,2216538
163,2216538
164,2216538
165,2216598
166,2216658
167,2216658
168,2216658
169,2216658
170,2216658
171,2216658
172,2216658
173,2216658
174,2216658
175,2216658
176,2216658
177,2216658
178,2216658
179,2216658
180,2216658
182,2216658
183,2216658
184,2216658
185,2216658
186,2216658
187,2216658
188,2216658
189,2216658
190,2481781
191,2481781
192,2481781
193,2481781
194,2481781
195,2481841
196,2481841
197,2481841
198,2481841
199,2481841
200,2481841
201,2481841
202,2481841
203,2481841
204,2481841
206,2481841
207,2481841
208,2481841
209,2481841
210,2481841
211,2481841
212,2481841
213,2481841
214,2481841
215,2481841
216,2481841
217,2481841
218,2481841
219,2481841
220,2691522
221,2691522
222,2691522
223,2691522
224,2691522
225,2691642
226,2691642
227,2691642
228,2691642
229,2691642
231,2691642
232,2691642
233,2691642
234,2691642
235,2691642
236,2691642
237,2691642
238,2691642
239,2691642
240,2691642
241,2691642
242,2691642
243,2691642
244,2691642
245,2691642
246,2691642
247,2691642
248,2691642
249,2691642
250,2876192
251,2876192
252,2876192
253,2876192
255,2876192
256,2876252
257,2876252
258,2876252
259,2876252
260,2876252
261,2876252
262,2876252
263,2876252
264,2876252
265,2876252
266,2876252
267,2876252
268,2876252
269,2876252
270,2876252
271,2876252
272,2876252
273,2876252
274,2876252
275,2876252
276,2876252
277,2876252
278,2876252
280,2876252
281,3184941
282,3184941
283,3184941
284,3184941
285,3184941
286,3185061
287,3185061
288,3185061
289,3185061
290,3185061
291,3185061
292,3185061
293,3185061
294,3185061
295,3185061
296,3185061
297,3185061
298,3185061
299,3185061
300,3185061
301,3185061
302,3185061
303,3185061
305,3185061
306,3185061
307,3185061
308,3185061
309,3185061
310,3185061
311,3452839
312,3452839
313,3452839
314,3452839
315,3452899
316,3452899
317,3452899
318,3452899
319,3452899
320,3452899
321,3452899
322,3452899
323,3452899
324,3452899
325,3452899
326,3452899
327,3452899
329,3452899
330,3452899
331,3452899
332,3452899
333,3452899
334,3452899
335,3452899
336,3452899
337,3452899
338,3452899
339,3452899
340,3610554
341,3610554
342,3610554
343,3610554
344,3610554
345,3610674
346,3610674
347,3610674
348,3610674
349,3610674
350,3610674
351,3610674
352,3610674
354,3610674
355,3610674
356,3610674
357,3610674
358,3610674
359,3610674
360,3610674
361,3610674
362,3610674
363,3610674
364,3610674
365,3610674
366,3610674
367,3610674
368,3610674
369,3610674
370,3801839
371,3801839
372,3801839
373,3801839
374,3801839
375,3801899
376,3801899
378,3801899
379,3801899
380,3801899
381,3801899
382,3801899
383,3801899
384,3801899
385,3801899
386,3801899
387,3801899
388,3801899
389,3801899
390,3801899
391,3801899
392,3801899
393,3801899
394,3801899
395,3801899
396,3801899
397,3801899
398,3801899
399,3801899
400,3994717
401,3994717
403,3994717
404,3994717
405,3994717
406,3994837
407,3994837
408,3994837
409,3994837
410,3994837
411,3994837
412,3994837
413,3994837
414,3994837
415,3994837
416,3994837
417,3994837
418,3994837
419,3994837
420,3994837
421,3994837
422,3994837
423,3994837
424,3994837
425,3994837
426,3994837
428,3994837
429,3994837
