time(s),total_rx(bytes)
0,0
1,553
2,553
3,553
5,553
6,553
7,553
8,553
9,553
10,553
11,553
12,553
13,553
14,553
15,553
16,553
17,553
18,553
19,553
20,553
21,607
22,607
23,607
24,607
25,607
26,607
27,607
28,607
29,607
31,607
32,1301
33,1995
34,2342
35,2689
36,2689
37,2731
38,2731
39,3631
40,3631
41,3631
42,3631
43,3631
44,3673
45,3673
46,3673
47,3673
48,3673
49,3673
50,3673
51,3727
52,3727
53,3727
54,3727
55,3727
56,3727
58,3727
59,3727
60,3727
61,3727
62,4421
63,5115
64,5462
65,5809
66,5809
67,5809
68,5809
69,6156
70,6156
71,6156
72,6156
73,6198
74,6198
75,7098
76,7098
77,7098
78,7098
79,7098
80,7140
81,7194
82,7194
84,7194
85,7194
86,7194
87,7194
88,7194
89,7194
90,7194
91,7194
92,8235
93,8582
94,8929
95,9276
96,9276
97,9276
98,9623
99,9623
100,9623
101,9623
102,9623
103,9623
104,9623
105,9970
106,9970
107,9970
108,9970
110,9970
111,10012
112,10066
113,10066
114,10066
115,10066
116,10066
117,10108
118,10108
119,10455
120,10455
121,10455
122,10455
123,10455
124,10455
125,10455
126,10455
127,10455
128,10455
129,10455
130,10455
131,10455
132,10455
133,10455
134,10455
136,10455
137,10455
138,10455
139,10455
140,10455
141,10455
142,10455
143,10455
144,10455
145,10455
146,10802
147,10802
148,10802
149,10802
150,10802
151,10844
152,10844
153,10844
154,10844
155,10844
156,10844
157,10844
158,10844
159,10844
160,10844
162,10844
163,10844
164,10844
165,10844
166,10844
167,10844
168,10844
169,10844
170,10844
171,10898
172,10898
173,10898
174,10898
175,10898
176,10940
177,10940
178,10940
179,10940
180,10940
181,10940
182,10940
183,10940
184,10940
185,10940
186,10940
188,10940
189,10940
190,10940
191,10940
192,10940
193,10940
194,10940
195,10940
196,10940
197,10940
198,10940
199,10940
200,11287
201,11287
202,11287
203,11287
204,11329
205,11329
206,11329
207,11329
208,11329
209,11329
210,11329
211,11329
212,11329
213,11329
215,11329
216,11329
217,11329
218,11329
219,11329
220,11329
221,11329
222,11329
223,11329
224,11329
225,11329
226,11329
227,11329
228,11329
229,11329
230,11329
231,11329
232,11329
233,11329
234,11329
235,11329
236,11329
237,11329
238,11329
239,11329
241,11329
242,11329
243,11329
244,11329
245,11329
246,11329
247,11329
248,11329
249,11329
250,11329
251,11329
252,11329
253,11329
254,11329
255,11329
256,11329
257,11329
258,11329
259,11329
260,11329
261,11329
262,11329
263,11329
264,11329
265,11329
266,11329
268,11329
269,11329
270,11329
271,11329
272,11543
273,11691
274,11691
275,11839
276,11839
277,11881
278,11881
279,12574
280,12574
281,12574
282,12574
283,12574
284,12616
285,12616
286,12616
287,12616
288,12616
289,12616
290,12616
291,12670
292,12670
294,12670
295,12670
296,12670
297,12670
298,12670
299,12670
300,12670
301,12670
302,13711
303,14058
304,14405
305,14752
306,14752
307,14752
308,15099
309,15099
310,15099
311,15099
312,15099
313,15099
314,15099
315,15446
316,15446
317,15446
318,15446
319,15446
321,15446
322,15446
323,15446
324,15446
325,15446
326,15446
327,15446
328,15793
329,15793
330,15793
331,15793
332,15793
333,15835
334,15835
335,15835
336,15835
337,15835
338,15835
339,15835
340,15835
341,15835
342,15835
343,15835
344,15901
345,15901
347,15901
348,15901
349,15943
350,15943
351,15997
352,15997
353,15997
354,15997
355,16897
356,16897
357,16897
358,16897
359,16897
360,16897
361,16897
362,17938
363,18632
364,18632
365,18979
366,18979
367,18979
368,19326
369,19326
370,19326
371,19326
372,19326
374,19326
375,19326
376,19673
377,19673
378,19673
379,19673
380,19673
381,19673
382,19673
383,19673
384,19673
385,19673
386,19673
387,19673
388,20020
389,20020
390,20020
391,20020
392,20020
393,20020
394,20020
395,20020
396,20020
397,20020
398,20020
399,20020
401,20020
402,20020
403,20020
404,20020
405,20020
406,20020
407,20020
408,20020
409,20020
410,20020
411,20020
412,20020
413,20020
414,20020
415,20020
416,20367
417,20367
418,20367
419,20367
420,20367
421,20409
422,20409
423,20409
424,20409
425,20409
427,20409
428,20409
429,20409
430,20409
431,20409
432,20409
433,20409
434,20409
435,20409
436,20409
437,20409
438,20409
439,20409
440,20409
441,20463
442,20463
443,20463
444,20463
445,20463
446,20505
447,20505
448,20505
449,20505
450,20505
451,20505
452,20505
454,20505
455,20505
456,20505
457,20505
458,20505
459,20505
460,20505
461,20505
462,20505
463,20505
464,20505
465,20505
466,20505
467,20505
468,20505
469,20505
470,20852
471,20852
472,20852
473,20852
474,20852
475,20894
476,20894
477,20894
478,20894
480,20894
481,20894
482,20894
483,20894
484,20894
485,20894
486,20894
487,20894
488,20894
489,20894
490,20894
491,20894
492,20894
493,20894
494,20894
495,20894
496,20894
497,20894
498,20894
499,20894
500,20894
501,20894
502,20894
503,20894
504,20894
506,20894
507,20894
508,20894
509,20894
510,20894
511,20894
512,20894
513,20894
514,20894
515,20894
516,20894
517,20894
518,20894
519,20894
520,20894
521,20894
522,20894
523,20894
524,20894
525,20894
526,20894
527,20894
528,20894
529,20894
530,20894
531,20894
533,20894
534,20894
535,20894
536,20894
537,20894
538,20894
539,20894
540,20894
541,20894
542,21108
543,21256
544,21256
545,21404
546,21404
547,21446
548,21446
549,22139
550,22139
551,22139
552,22139
553,22139
554,22181
555,22181
556,22181
557,22181
559,22181
560,22181
561,22181
562,22235
563,22235
564,22235
565,22235
566,22235
567,22235
568,22235
569,22235
570,22235
571,22235
572,23276
573,23970
574,23970
575,24317
576,24317
577,24317
578,24664
579,24664
580,24664
581,24664
582,24664
583,24664
585,24664
586,25011
587,25011
588,25011
589,25011
590,25011
591,25011
592,25011
593,25011
594,25011
595,25011
596,25011
597,25011
598,25358
599,25358
600,25358
601,25358
602,25358
603,25400
604,25400
605,25400
606,25400
607,25400
608,25400
609,25400
610,25400
612,25400
613,25400
614,25466
615,25466
616,25466
617,25466
618,25466
619,25508
620,25508
621,25508
622,25508
623,25508
624,25508
625,26408
626,26408
627,26462
628,26462
629,26462
630,26462
631,26462
632,26462
633,26462
634,26462
635,26462
636,26462
637,26462
639,26462
640,26462
641,26462
642,26462
643,26462
644,26462
645,26462
646,26462
647,26462
648,26462
649,26462
650,26462
651,26462
652,26462
653,26462
654,26462
655,26462
656,26462
657,26462
658,26462
659,26462
660,26462
661,26809
662,27850
663,28197
665,28197
666,28544
667,28544
668,28586
669,29486
670,29486
671,29486
672,29486
673,29486
674,29528
675,29528
676,29528
677,29528
678,29528
679,29528
680,29528
681,29528
682,29528
683,29528
684,29528
685,29528
686,29528
687,29582
688,29582
689,29582
690,29582
692,29995
693,29995
694,29995
695,29995
696,29995
697,29995
698,29995
699,29995
700,29995
701,29995
702,29995
703,29995
704,29995
705,29995
706,29995
707,29995
708,29995
709,29995
710,29995
711,29995
712,29995
713,29995
714,29995
715,29995
716,29995
717,29995
719,29995
720,29995
721,29995
722,30689
723,31383
724,31730
725,32077
726,32077
727,32077
728,32077
729,32424
730,32424
731,32424
732,32424
733,32466
734,32466
735,33366
736,33366
737,33366
738,33366
739,33366
740,33408
741,33408
742,33408
743,33408
745,33408
746,33408
747,33408
748,33462
749,33462
750,33462
751,33462
752,33875
753,33875
754,33875
755,33875
756,33875
757,33875
758,33875
759,33875
760,33875
761,33875
762,33875
763,33875
764,33875
765,33875
766,33875
767,33875
768,33875
769,33875
770,33875
772,33875
773,33875
774,33875
775,33875
776,33875
777,33875
778,33875
779,33875
780,33875
781,33875
782,34916
783,35610
784,35610
785,35957
786,35957
787,35957
788,36304
789,36304
790,36304
791,36304
792,36304
793,36304
794,36304
795,36651
796,36651
798,36651
799,36651
800,36651
801,36693
802,36693
803,36693
804,36693
805,36693
806,36693
