time(s),total_tx(bytes)
0,0
1,420
2,420
3,420
5,420
6,420
7,420
8,420
9,420
10,420
11,420
12,420
13,420
14,420
15,420
16,420
17,420
18,420
19,420
20,420
21,820
22,866
23,912
24,958
25,958
26,958
27,958
28,958
29,958
31,958
32,958
33,958
34,958
35,958
36,958
37,1004
38,1004
39,1470
40,1470
41,1470
42,1470
43,1470
44,1516
45,1516
46,1516
47,1516
48,1516
49,1516
50,1516
51,1916
52,2008
53,2008
54,2054
55,2054
56,2054
58,2054
59,2054
60,2054
61,2054
62,2054
63,2054
64,2054
65,2054
66,2054
67,2054
68,2054
69,2054
70,2054
71,2054
72,2054
73,2100
74,2100
75,2566
76,2566
77,2566
78,2566
79,2566
80,2612
81,3012
82,3104
84,3104
85,3150
86,3150
87,3150
88,3150
89,3150
90,3150
91,3150
92,3150
93,3150
94,3150
95,3150
96,3150
97,3150
98,3150
99,3150
100,3150
101,3150
102,3150
103,3150
104,3150
105,3150
106,3150
107,3150
108,3150
110,3150
111,3196
112,3642
113,3688
114,3688
115,3734
116,3734
117,3780
118,3780
119,3780
120,3780
121,3780
122,3780
123,3780
124,3780
125,3780
126,3780
127,3780
128,3780
129,3780
130,3780
131,3780
132,3780
133,3780
134,3780
136,3780
137,3780
138,3780
139,3780
140,3780
141,3780
142,3780
143,3780
144,3780
145,3780
146,3780
147,3780
148,3780
149,3780
150,3780
151,3826
152,3826
153,3826
154,3826
155,3826
156,3826
157,3826
158,3826
159,3826
160,3826
162,3826
163,3826
164,3826
165,3826
166,3826
167,3826
168,3826
169,3826
170,3826
171,4180
172,4272
173,4318
174,4364
175,4364
176,4410
177,4410
178,4410
179,4410
180,4410
181,4410
182,4410
183,4410
184,4410
185,4410
186,4410
188,4410
189,4410
190,4410
191,4410
192,4410
193,4410
194,4410
195,4410
196,4410
197,4410
198,4410
199,4410
200,4410
201,4410
202,4410
203,4410
204,4456
205,4456
206,4456
207,4456
208,4456
209,4456
210,4456
211,4456
212,4456
213,4456
215,4456
216,4456
217,4456
218,4456
219,4456
220,4456
221,4456
222,4456
223,4456
224,4456
225,4456
226,4456
227,4456
228,4456
229,4456
230,4456
231,4456
232,4456
233,4456
234,4456
235,4456
236,4456
237,4456
238,4456
239,4456
241,4456
242,4456
243,4456
244,4456
245,4456
246,4456
247,4456
248,4456
249,4456
250,4456
251,4456
252,4456
253,4456
254,4456
255,4456
256,4456
257,4456
258,4456
259,4456
260,4456
261,4456
262,4456
263,4456
264,4456
265,4456
266,4456
268,4456
269,4456
270,4456
271,4456
272,4456
273,4456
274,4456
275,4456
276,4456
277,4502
278,4502
279,4982
280,4982
281,4982
282,4982
283,4982
284,5028
285,5028
286,5028
287,5028
288,5028
289,5028
290,5028
291,5428
292,5520
294,5520
295,5566
296,5566
297,5566
298,5566
299,5566
300,5566
301,5566
302,5566
303,5566
304,5566
305,5566
306,5566
307,5566
308,5566
309,5566
310,5566
311,5566
312,5566
313,5566
314,5566
315,5566
316,5566
317,5566
318,5566
319,5566
321,5566
322,5566
323,5566
324,5566
325,5566
326,5566
327,5566
328,5566
329,5566
330,5566
331,5566
332,5566
333,5612
334,5612
335,5612
336,5612
337,5612
338,5612
339,5612
340,5612
341,5612
342,5612
343,5612
344,5716
345,5716
347,5716
348,5716
349,5762
350,5762
351,6070
352,6208
353,6254
354,6254
355,6766
356,6766
357,6766
358,6766
359,6766
360,6766
361,6766
362,6766
363,6766
364,6766
365,6766
366,6766
367,6766
368,6766
369,6766
370,6766
371,6766
372,6766
374,6766
375,6766
376,6766
377,6766
378,6766
379,6766
380,6766
381,6766
382,6766
383,6766
384,6766
385,6766
386,6766
387,6766
388,6766
389,6766
390,6766
391,6766
392,6766
393,6766
394,6766
395,6766
396,6766
397,6766
398,6766
399,6766
401,6766
402,6766
403,6766
404,6766
405,6766
406,6766
407,6766
408,6766
409,6766
410,6766
411,6766
412,6766
413,6766
414,6766
415,6766
416,6766
417,6766
418,6766
419,6766
420,6766
421,6812
422,6812
423,6812
424,6812
425,6812
427,6812
428,6812
429,6812
430,6812
431,6812
432,6812
433,6812
434,6812
435,6812
436,6812
437,6812
438,6812
439,6812
440,6812
441,7212
442,7258
443,7304
444,7350
445,7350
446,7396
447,7396
448,7396
449,7396
450,7396
451,7396
452,7396
454,7396
455,7396
456,7396
457,7396
458,7396
459,7396
460,7396
461,7396
462,7396
463,7396
464,7396
465,7396
466,7396
467,7396
468,7396
469,7396
470,7396
471,7396
472,7396
473,7396
474,7396
475,7442
476,7442
477,7442
478,7442
480,7442
481,7442
482,7442
483,7442
484,7442
485,7442
486,7442
487,7442
488,7442
489,7442
490,7442
491,7442
492,7442
493,7442
494,7442
495,7442
496,7442
497,7442
498,7442
499,7442
500,7442
501,7442
502,7442
503,7442
504,7442
506,7442
507,7442
508,7442
509,7442
510,7442
511,7442
512,7442
513,7442
514,7442
515,7442
516,7442
517,7442
518,7442
519,7442
520,7442
521,7442
522,7442
523,7442
524,7442
525,7442
526,7442
527,7442
528,7442
529,7442
530,7442
531,7442
533,7442
534,7442
535,7442
536,7442
537,7442
538,7442
539,7442
540,7442
541,7442
542,7442
543,7442
544,7442
545,7442
546,7442
547,7488
548,7488
549,7968
550,7968
551,7968
552,7968
553,7968
554,8014
555,8014
556,8014
557,8014
559,8014
560,8014
561,8014
562,8460
563,8506
564,8506
565,8552
566,8552
567,8552
568,8552
569,8552
570,8552
571,8552
572,8552
573,8552
574,8552
575,8552
576,8552
577,8552
578,8552
579,8552
580,8552
581,8552
582,8552
583,8552
585,8552
586,8552
587,8552
588,8552
589,8552
590,8552
591,8552
592,8552
593,8552
594,8552
595,8552
596,8552
597,8552
598,8552
599,8552
600,8552
601,8552
602,8552
603,8598
604,8598
605,8598
606,8598
607,8598
608,8598
609,8598
610,8598
612,8598
613,8598
614,8702
615,8702
616,8702
617,8702
618,8702
619,8748
620,8748
621,8748
622,8748
623,8748
624,8748
625,9214
626,9214
627,9614
628,9660
629,9706
630,9752
631,9752
632,9752
633,9752
634,9752
635,9752
636,9752
637,9752
639,9752
640,9752
641,9752
642,9752
643,9752
644,9752
645,9752
646,9752
647,9752
648,9752
649,9752
650,9752
651,9752
652,9752
653,9752
654,9752
655,9752
656,9752
657,9752
658,9752
659,9752
660,9752
661,9752
662,9752
663,9752
665,9752
666,9752
667,9752
668,9798
669,10264
670,10264
671,10264
672,10264
673,10264
674,10310
675,10310
676,10310
677,10310
678,10310
679,10310
680,10310
681,10310
682,10310
683,10310
684,10310
685,10310
686,10310
687,10710
688,10802
689,10802
690,10848
692,11156
693,11156
694,11202
695,11202
696,11202
697,11202
698,11202
699,11202
700,11202
701,11202
702,11202
703,11202
704,11202
705,11202
706,11202
707,11202
708,11202
709,11202
710,11202
711,11202
712,11202
713,11202
714,11202
715,11202
716,11202
717,11202
719,11202
720,11202
721,11202
722,11202
723,11202
724,11202
725,11202
726,11202
727,11202
728,11202
729,11202
730,11202
731,11202
732,11202
733,11248
734,11248
735,11714
736,11714
737,11714
738,11714
739,11714
740,11760
741,11760
742,11760
743,11760
745,11760
746,11760
747,11760
748,12206
749,12252
750,12252
751,12298
752,12606
753,12606
754,12652
755,12652
756,12652
757,12652
758,12652
759,12652
760,12652
761,12652
762,12652
763,12652
764,12652
765,12652
766,12652
767,12652
768,12652
769,12652
770,12652
772,12652
773,12652
774,12652
775,12652
776,12652
777,12652
778,12652
779,12652
780,12652
781,12652
782,12652
783,12652
784,12652
785,12652
786,12652
787,12652
788,12652
789,12652
790,12652
791,12652
792,12652
793,12652
794,12652
795,12652
796,12652
798,12652
799,12652
800,12652
801,12698
802,12698
803,12698
804,12698
805,12698
806,12698
807,13052
808,13144
809,13656
810,13702
811,13702
812,13702
813,13702
814,13748
815,13748
816,13748
817,13748
818,13748
819,13748
820,13748
821,13748
822,13748
823,13748
825,13748
826,13748
827,13748
828,13748
829,13748
830,13748
831,13748
832,13748
833,13748
834,13748
835,13748
836,13748
837,13748
838,13748
839,13748
840,13748
841,13748
842,13748
843,13748
844,13748
845,13748
846,13748
847,13748
848,13748
849,13748
851,13794
852,13794
853,13794
854,13794
855,14260
856,14260
857,14260
858,14260
859,14260
860,14306
861,14306
862,14306
863,14306
864,14306
865,14306
866,14306
867,14706
868,14752
869,14798
870,14844
871,15152
872,15152
873,15152
874,15198
875,15198
876,15198
878,15198
879,15198
880,15198
881,15198
882,15198
883,15198
884,15198
885,15198
886,15198
887,15198
888,15198
889,15198
890,15198
891,15198
892,15198
893,15198
894,15198
895,15198
896,15198
897,15198
898,15198
899,15198
900,15198
901,15198
902,15198
903,15198
905,15198
906,15198
907,15244
908,15244
909,15710
910,15710
911,15710
912,15710
913,15710
914,15756
915,15756
916,15756
917,15756
918,15756
919,15756
920,15756
921,15756
922,15756
923,15756
924,15756
925,15756
926,15756
927,16156
928,16248
929,16248
931,16294
932,16602
933,16602
934,16648
935,16648
936,16648
