[2020-01-30 03:31:09] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 03:31:10] 
[2020-01-30 03:31:10] 03:31:09      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 03:31:10] 03:31:10    20001     20971   26.00    1.00    0.00    0.00   27.00    12  qrail-cli
[2020-01-30 03:31:11] 03:31:11    20001     20971   92.00    4.00    0.00    0.00   96.00    12  qrail-cli
[2020-01-30 03:31:12] 03:31:12    20001     20971  100.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 03:31:13] 03:31:13    20001     20971   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 03:31:14] 03:31:14    20001     20971   99.01    0.00    0.00    0.00   99.01    12  qrail-cli
[2020-01-30 03:31:15] 03:31:15    20001     20971   35.00    0.00    0.00    0.00   35.00    12  qrail-cli
[2020-01-30 03:31:16] 03:31:16    20001     20971    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:31:17] 03:31:17    20001     20971    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:31:18] 03:31:18    20001     20971    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:31:19] 03:31:19    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:20] 03:31:20    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:21] 03:31:21    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:22] 03:31:22    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:23] 03:31:23    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:24] 03:31:24    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:25] 03:31:25    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:26] 03:31:26    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:27] 03:31:27    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:28] 03:31:28    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:29] 03:31:29    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:30] 03:31:30    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:31] 03:31:31    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:32] 03:31:32    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:33] 03:31:33    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:34] 03:31:34    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:35] 03:31:35    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:36] 03:31:36    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:37] 03:31:37    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:38] 03:31:38    20001     20971    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 03:31:39] 03:31:39    20001     20971   15.00    1.00    0.00    0.00   16.00     5  qrail-cli
[2020-01-30 03:31:40] 03:31:40    20001     20971   96.00    4.00    0.00    0.00  100.00     5  qrail-cli
[2020-01-30 03:31:41] 03:31:41    20001     20971   96.00    4.00    0.00    0.00  100.00     5  qrail-cli
[2020-01-30 03:31:42] 03:31:42    20001     20971   97.00    3.00    0.00    0.00  100.00    12  qrail-cli
