[2020-02-01 09:44:09] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 09:44:10] 
[2020-02-01 09:44:10] 09:44:09      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-02-01 09:44:10] 09:44:10    20001     14157   29.00    1.00    0.00    0.00   30.00    12  qrail-cli
[2020-02-01 09:44:11] 09:44:11    20001     14157   95.00    2.00    0.00    0.00   97.00    12  qrail-cli
[2020-02-01 09:44:12] 09:44:12    20001     14157  100.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 09:44:13] 09:44:13    20001     14157   97.03    1.98    0.00    0.00   99.01    12  qrail-cli
[2020-02-01 09:44:14] 09:44:14    20001     14157   99.00    0.00    0.00    0.00   99.00    12  qrail-cli
[2020-02-01 09:44:15] 09:44:15    20001     14157   12.00    0.00    0.00    0.00   12.00    12  qrail-cli
[2020-02-01 09:44:16] 09:44:16    20001     14157    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 09:44:17] 09:44:17    20001     14157    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 09:44:18] 09:44:18    20001     14157    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 09:44:19] 09:44:19    20001     14157   34.00    4.00    0.00    0.00   38.00     4  qrail-cli
[2020-02-01 09:44:20] 09:44:20    20001     14157   95.00    5.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 09:44:21] 09:44:21    20001     14157   94.00    6.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 09:44:22] 09:44:22    20001     14157   93.00    7.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 09:44:23] 09:44:23    20001     14157   93.00    7.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 09:44:24] 09:44:24    20001     14157   94.00    5.00    0.00    0.00   99.00    12  qrail-cli
[2020-02-01 09:44:25] 09:44:25    20001     14157   94.00    7.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 09:44:26] 09:44:26    20001     14157   93.00    6.00    0.00    0.00   99.00    13  qrail-cli
[2020-02-01 09:44:27] 09:44:27    20001     14157   92.00    8.00    0.00    0.00  100.00    13  qrail-cli
[2020-02-01 09:44:28] 09:44:28    20001     14157    5.00    0.00    0.00    0.00    5.00    13  qrail-cli
[2020-02-01 09:44:29] 09:44:29    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:30] 09:44:30    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:31] 09:44:31    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:32] 09:44:32    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:33] 09:44:33    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:34] 09:44:34    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:35] 09:44:35    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:36] 09:44:36    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:37] 09:44:37    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:38] 09:44:38    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:39] 09:44:39    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:40] 09:44:40    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:44:41] 09:44:41    20001     14157    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
