[2020-01-30 06:25:37] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 06:25:38] 
[2020-01-30 06:25:38] 06:25:37      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 06:25:38] 06:25:38    20001     11816   24.00    1.00    0.00    0.00   25.00    12  qrail-cli
[2020-01-30 06:25:39] 06:25:39    20001     11816   83.00    6.00    0.00    0.00   89.00    13  qrail-cli
[2020-01-30 06:25:40] 06:25:40    20001     11816   93.00    5.00    0.00    0.00   98.00    13  qrail-cli
[2020-01-30 06:25:41] 06:25:41    20001     11816   98.00    2.00    0.00    0.00  100.00    13  qrail-cli
[2020-01-30 06:25:42] 06:25:42    20001     11816   98.00    2.00    0.00    0.00  100.00    13  qrail-cli
[2020-01-30 06:25:43] 06:25:43    20001     11816   97.03    0.00    0.00    0.00   97.03    13  qrail-cli
[2020-01-30 06:25:44] 06:25:44    20001     11816   76.00    2.00    0.00    0.00   78.00    13  qrail-cli
[2020-01-30 06:25:45] 06:25:45    20001     11816   57.00    0.00    0.00    0.00   57.00    13  qrail-cli
[2020-01-30 06:25:46] 06:25:46    20001     11816    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-01-30 06:25:47] 06:25:47    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:48] 06:25:48    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:49] 06:25:49    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:50] 06:25:50    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:51] 06:25:51    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:52] 06:25:52    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:53] 06:25:53    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:54] 06:25:54    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:55] 06:25:55    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:56] 06:25:56    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:57] 06:25:57    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:58] 06:25:58    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:25:59] 06:25:59    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:00] 06:26:00    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:01] 06:26:01    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:02] 06:26:02    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:03] 06:26:03    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:04] 06:26:04    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:05] 06:26:05    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:06] 06:26:06    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:07] 06:26:07    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:08] 06:26:08    20001     11816    0.00    0.00    0.00    0.00    0.00     9  qrail-cli
[2020-01-30 06:26:09] 06:26:09    20001     11816   36.00    4.00    0.00    0.00   40.00    13  qrail-cli
[2020-01-30 06:26:10] 06:26:10    20001     11816   94.00    4.00    0.00    0.00   98.00    13  qrail-cli
[2020-01-30 06:26:11] 06:26:11    20001     11816   98.00    2.00    0.00    0.00  100.00    15  qrail-cli
[2020-01-30 06:26:12] 06:26:12    20001     11816   96.00    3.00    0.00    0.00   99.00    15  qrail-cli
[2020-01-30 06:26:13] 06:26:13    20001     11816   97.00    2.00    0.00    0.00   99.00    15  qrail-cli
[2020-01-30 06:26:14] 06:26:14    20001     11816   98.00    1.00    0.00    0.00   99.00    15  qrail-cli
[2020-01-30 06:26:15] 06:26:15    20001     11816   30.00    0.00    0.00    0.00   30.00    12  qrail-cli
[2020-01-30 06:26:16] 06:26:16    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:17] 06:26:17    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:18] 06:26:18    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:19] 06:26:19    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:20] 06:26:20    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:21] 06:26:21    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:22] 06:26:22    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:23] 06:26:23    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:24] 06:26:24    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:25] 06:26:25    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:26] 06:26:26    20001     11816    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:26:27] 06:26:27    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:28] 06:26:28    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:29] 06:26:29    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:30] 06:26:30    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:31] 06:26:31    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:32] 06:26:32    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:33] 06:26:33    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:34] 06:26:34    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:35] 06:26:35    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:36] 06:26:36    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:37] 06:26:37    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:38] 06:26:38    20001     11816    0.00    0.00    0.00    0.00    0.00    10  qrail-cli
[2020-01-30 06:26:39] 06:26:39    20001     11816   38.61    0.99    0.00    0.00   39.60    13  qrail-cli
[2020-01-30 06:26:40] 06:26:40    20001     11816   92.00    4.00    0.00    0.00   96.00    12  qrail-cli
[2020-01-30 06:26:41] 06:26:41    20001     11816   95.00    4.00    0.00    0.00   99.00    13  qrail-cli
[2020-01-30 06:26:42] 06:26:42    20001     11816   97.00    2.00    0.00    0.00   99.00    13  qrail-cli
[2020-01-30 06:26:43] 06:26:43    20001     11816   98.00    2.00    0.00    0.00  100.00    13  qrail-cli
[2020-01-30 06:26:44] 06:26:44    20001     11816   98.00    2.00    0.00    1.00  100.00    13  qrail-cli
