time(s),mem(%)
0,0.15
1,0.36
2,0.43
3,0.51
4,0.57
5,0.58
6,0.58
7,0.58
8,0.58
9,0.58
10,0.58
11,0.58
12,0.58
13,0.58
14,0.58
15,0.58
16,0.58
17,0.58
18,0.58
19,0.58
20,0.58
21,0.58
22,0.58
23,0.58
24,0.58
25,0.58
26,0.58
27,0.58
28,0.58
29,0.59
30,0.59
31,0.59
32,0.59
33,0.60
34,0.60
35,0.60
36,0.60
37,0.60
38,0.60
39,0.60
40,0.60
41,0.60
42,0.60
43,0.60
44,0.60
45,0.60
46,0.60
47,0.60
48,0.60
49,0.60
50,0.60
51,0.60
52,0.60
53,0.60
54,0.60
55,0.60
56,0.60
57,0.60
58,0.60
59,0.60
60,0.60
61,0.60
62,0.60
63,0.60
64,0.60
65,0.60
66,0.60
67,0.60
68,0.60
69,0.60
70,0.60
71,0.60
72,0.60
73,0.60
74,0.60
75,0.60
76,0.60
77,0.60
78,0.60
79,0.60
80,0.60
81,0.60
82,0.60
83,0.60
84,0.60
85,0.60
86,0.60
87,0.60
88,0.60
89,0.60
90,0.60
91,0.60
92,0.60
93,0.60
94,0.60
95,0.60
96,0.60
97,0.60
98,0.60
99,0.60
100,0.60
101,0.60
102,0.60
103,0.60
104,0.60
105,0.60
106,0.60
107,0.60
108,0.60
109,0.60
110,0.60
111,0.60
112,0.60
113,0.60
114,0.60
115,0.60
116,0.60
117,0.60
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.60
129,0.60
130,0.60
131,0.60
132,0.60
133,0.60
134,0.60
135,0.60
136,0.60
137,0.60
138,0.60
139,0.60
140,0.60
141,0.60
142,0.60
143,0.60
144,0.60
145,0.60
146,0.60
147,0.60
148,0.60
149,0.59
150,0.61
151,0.61
152,0.61
153,0.59
154,0.59
155,0.59
156,0.59
157,0.59
158,0.59
159,0.59
160,0.59
161,0.59
162,0.59
163,0.59
164,0.59
165,0.59
166,0.59
167,0.59
168,0.59
169,0.59
170,0.59
171,0.59
172,0.59
173,0.59
174,0.59
175,0.59
176,0.59
177,0.59
178,0.59
179,0.59
180,0.59
181,0.59
182,0.59
183,0.61
184,0.59
185,0.59
186,0.59
187,0.59
188,0.59
189,0.59
190,0.59
191,0.59
192,0.59
193,0.59
194,0.59
195,0.59
196,0.59
197,0.59
198,0.59
199,0.59
200,0.59
201,0.59
202,0.59
203,0.59
204,0.59
205,0.59
206,0.59
207,0.59
208,0.59
