[2019-11-28 13:02:57] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 13:02:58] 
[2019-11-28 13:02:58] 13:02:57      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2019-11-28 13:02:58] 13:02:58    20001     31787   2680.00      0.00  429916   23436   0.19  qrail-cli
[2019-11-28 13:02:59] 13:02:59    20001     31787  10648.00      0.00  450584   43992   0.36  qrail-cli
[2019-11-28 13:03:00] 13:03:00    20001     31787   3790.00      0.00  462008   55540   0.45  qrail-cli
[2019-11-28 13:03:01] 13:03:01    20001     31787   7783.00      0.00  471612   65136   0.53  qrail-cli
[2019-11-28 13:03:02] 13:03:02    20001     31787   2695.00      0.00  478908   72420   0.59  qrail-cli
[2019-11-28 13:03:03] 13:03:03    20001     31787     50.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:04] 13:03:04    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:05] 13:03:05    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:06] 13:03:06    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:07] 13:03:07    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:08] 13:03:08    20001     31787     25.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:09] 13:03:09    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:10] 13:03:10    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:11] 13:03:11    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:12] 13:03:12    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:13] 13:03:13    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:14] 13:03:14    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:15] 13:03:15    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:16] 13:03:16    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:17] 13:03:17    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:18] 13:03:18    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:19] 13:03:19    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:20] 13:03:20    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:21] 13:03:21    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:22] 13:03:22    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:23] 13:03:23    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:24] 13:03:24    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:25] 13:03:25    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:26] 13:03:26    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:27] 13:03:27    20001     31787      0.00      0.00  478908   72544   0.59  qrail-cli
[2019-11-28 13:03:28] 13:03:28    20001     31787   4221.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:29] 13:03:29    20001     31787   1266.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:30] 13:03:30    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:31] 13:03:31    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:32] 13:03:32    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:33] 13:03:33    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:34] 13:03:34    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:35] 13:03:35    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:36] 13:03:36    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:37] 13:03:37    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:38] 13:03:38    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:39] 13:03:39    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:40] 13:03:40    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:41] 13:03:41    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:42] 13:03:42    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:43] 13:03:43    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:44] 13:03:44    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:45] 13:03:45    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
[2019-11-28 13:03:46] 13:03:46    20001     31787      0.00      0.00  478908   72548   0.59  qrail-cli
