[2019-11-28 11:17:28] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 11:17:29] 
[2019-11-28 11:17:29] 11:17:28      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2019-11-28 11:17:29] 11:17:29    20001     14824   2270.00      0.00  431316   24188   0.20  qrail-cli
[2019-11-28 11:17:30] 11:17:30    20001     14824  10477.00      0.00  450672   43516   0.35  qrail-cli
[2019-11-28 11:17:31] 11:17:31    20001     14824   3751.00      0.00  462208   55032   0.45  qrail-cli
[2019-11-28 11:17:32] 11:17:32    20001     14824   6736.00      0.00  469288   62240   0.51  qrail-cli
[2019-11-28 11:17:33] 11:17:33    20001     14824   3266.00      0.00  478828   71764   0.58  qrail-cli
[2019-11-28 11:17:34] 11:17:34    20001     14824   1228.00      0.00  477772   71228   0.58  qrail-cli
[2019-11-28 11:17:35] 11:17:35    20001     14824   5815.00      0.00  477888   71484   0.58  qrail-cli
[2019-11-28 11:17:36] 11:17:36    20001     14824  17028.00      0.00  478244   71484   0.58  qrail-cli
[2019-11-28 11:17:37] 11:17:37    20001     14824  15339.00      0.00  478792   72128   0.59  qrail-cli
[2019-11-28 11:17:38] 11:17:38    20001     14824  11619.00      0.00  478528   72128   0.59  qrail-cli
[2019-11-28 11:17:39] 11:17:39    20001     14824     24.00      0.00  478528   72540   0.59  qrail-cli
[2019-11-28 11:17:40] 11:17:40    20001     14824      0.00      0.00  478528   72540   0.59  qrail-cli
[2019-11-28 11:17:41] 11:17:41    20001     14824      0.00      0.00  478528   72540   0.59  qrail-cli
[2019-11-28 11:17:42] 11:17:42    20001     14824      0.00      0.00  478528   72540   0.59  qrail-cli
[2019-11-28 11:17:43] 11:17:43    20001     14824      0.00      0.00  478528   72540   0.59  qrail-cli
[2019-11-28 11:17:44] 11:17:44    20001     14824      0.00      0.00  478528   72540   0.59  qrail-cli
[2019-11-28 11:17:45] 11:17:45    20001     14824      0.00      0.00  478528   72540   0.59  qrail-cli
