time(s),mem(%)
0,0.18
1,0.36
2,0.46
3,0.53
4,0.59
5,0.59
6,0.59
7,0.59
8,0.59
9,0.61
10,0.60
11,0.60
12,0.60
13,0.60
14,0.60
15,0.60
16,0.60
17,0.60
18,0.60
19,0.60
20,0.60
21,0.60
22,0.60
23,0.60
24,0.60
25,0.60
26,0.60
27,0.60
28,0.60
29,0.60
30,0.60
31,0.60
32,0.60
33,0.60
34,0.60
35,0.60
36,0.60
37,0.60
38,0.60
39,0.64
40,0.64
41,0.63
42,0.63
43,0.62
44,0.64
45,0.62
46,0.64
47,0.63
48,0.62
49,0.63
50,0.63
51,0.62
52,0.62
53,0.62
54,0.62
55,0.62
56,0.62
57,0.62
58,0.62
59,0.62
60,0.62
61,0.62
62,0.62
63,0.62
64,0.62
65,0.62
66,0.62
67,0.62
68,0.62
69,0.65
70,0.65
71,0.65
72,0.64
73,0.64
74,0.64
75,0.64
76,0.64
77,0.66
78,0.64
79,0.65
80,0.64
81,0.64
82,0.64
83,0.64
84,0.64
85,0.64
86,0.64
87,0.64
88,0.64
89,0.64
90,0.64
91,0.64
92,0.64
93,0.64
94,0.64
95,0.64
96,0.64
97,0.64
98,0.64
99,0.64
100,0.64
101,0.64
102,0.64
103,0.64
104,0.64
105,0.64
106,0.64
107,0.64
108,0.64
109,0.64
110,0.64
111,0.64
112,0.64
113,0.64
114,0.64
115,0.64
116,0.64
117,0.64
118,0.64
119,0.64
120,0.64
121,0.64
122,0.64
123,0.64
124,0.64
125,0.64
126,0.64
127,0.64
128,0.64
129,0.64
130,0.64
131,0.64
132,0.64
133,0.64
134,0.64
135,0.64
136,0.64
137,0.64
138,0.64
139,0.64
140,0.64
141,0.64
142,0.64
143,0.64
144,0.64
145,0.64
146,0.64
147,0.64
148,0.64
149,0.64
150,0.64
151,0.64
152,0.64
153,0.64
154,0.64
155,0.64
156,0.64
157,0.64
158,0.64
159,0.66
160,0.65
161,0.65
162,0.65
163,0.65
164,0.66
165,0.64
166,0.65
167,0.64
168,0.64
169,0.65
170,0.64
171,0.64
172,0.64
173,0.64
174,0.64
175,0.64
176,0.64
177,0.64
178,0.64
179,0.64
180,0.64
181,0.64
182,0.64
183,0.64
184,0.64
185,0.64
186,0.64
187,0.64
188,0.64
189,0.63
190,0.65
191,0.63
192,0.63
193,0.63
194,0.65
195,0.63
196,0.63
197,0.63
198,0.63
199,0.63
200,0.63
201,0.63
202,0.63
203,0.63
204,0.63
205,0.63
206,0.63
207,0.63
208,0.63
209,0.63
210,0.63
211,0.63
212,0.63
213,0.63
214,0.63
215,0.63
216,0.63
217,0.63
218,0.63
219,0.63
220,0.64
221,0.63
222,0.63
223,0.64
224,0.63
225,0.63
226,0.63
227,0.63
228,0.63
229,0.63
230,0.63
231,0.63
232,0.63
233,0.63
234,0.63
235,0.63
236,0.63
237,0.63
238,0.63
239,0.63
240,0.63
241,0.63
242,0.63
243,0.63
244,0.63
245,0.63
246,0.63
247,0.63
248,0.63
249,0.64
250,0.64
251,0.64
252,0.64
253,0.64
254,0.64
255,0.64
256,0.64
257,0.64
258,0.64
259,0.64
260,0.64
261,0.64
262,0.64
263,0.64
264,0.64
265,0.64
266,0.64
267,0.64
268,0.64
269,0.64
270,0.64
271,0.64
272,0.64
273,0.64
274,0.64
275,0.64
276,0.64
277,0.64
278,0.64
279,0.65
280,0.64
281,0.65
282,0.65
283,0.64
284,0.65
285,0.64
286,0.66
287,0.64
288,0.64
289,0.65
290,0.64
291,0.64
292,0.65
293,0.64
294,0.64
295,0.64
296,0.64
297,0.64
298,0.64
299,0.64
300,0.64
301,0.64
302,0.64
303,0.64
304,0.64
305,0.64
306,0.64
307,0.64
308,0.64
309,0.63
310,0.63
311,0.63
312,0.65
313,0.65
314,0.65
315,0.63
316,0.64
317,0.63
318,0.63
319,0.63
320,0.63
321,0.63
322,0.63
323,0.63
324,0.63
325,0.63
326,0.63
327,0.63
328,0.63
329,0.63
330,0.63
331,0.63
332,0.63
333,0.63
334,0.63
335,0.63
336,0.63
337,0.63
338,0.63
339,0.64
340,0.64
341,0.64
342,0.64
343,0.64
344,0.64
345,0.64
346,0.64
347,0.64
348,0.64
349,0.64
350,0.64
351,0.64
352,0.64
353,0.64
354,0.64
355,0.64
356,0.64
357,0.64
358,0.64
359,0.64
360,0.64
361,0.64
362,0.64
363,0.64
364,0.64
365,0.64
366,0.64
367,0.64
368,0.64
369,0.64
370,0.64
371,0.64
372,0.64
373,0.64
374,0.64
375,0.64
376,0.64
377,0.64
378,0.64
379,0.64
380,0.64
381,0.64
382,0.64
383,0.64
384,0.64
385,0.64
386,0.64
387,0.64
388,0.64
389,0.64
390,0.64
391,0.64
392,0.64
393,0.64
394,0.64
395,0.64
396,0.64
397,0.64
398,0.64
399,0.65
400,0.65
401,0.63
402,0.63
403,0.65
404,0.64
405,0.63
406,0.63
407,0.63
408,0.63
409,0.63
410,0.63
411,0.63
412,0.63
413,0.63
414,0.63
415,0.63
416,0.63
417,0.63
418,0.63
419,0.63
420,0.63
421,0.63
422,0.63
423,0.63
424,0.63
425,0.63
426,0.63
427,0.63
428,0.63
429,0.63
430,0.63
431,0.63
432,0.63
433,0.64
434,0.65
435,0.64
436,0.63
437,0.65
438,0.63
439,0.63
440,0.63
441,0.63
442,0.63
443,0.63
444,0.63
445,0.63
446,0.63
447,0.63
448,0.63
449,0.63
450,0.63
451,0.63
452,0.63
453,0.63
454,0.63
455,0.63
456,0.63
457,0.63
458,0.63
459,0.63
460,0.63
461,0.63
462,0.63
463,0.64
464,0.65
465,0.63
466,0.65
467,0.63
468,0.63
469,0.63
470,0.63
471,0.63
472,0.63
473,0.63
474,0.63
475,0.63
476,0.63
477,0.63
478,0.63
479,0.63
480,0.63
481,0.63
482,0.63
483,0.63
484,0.63
485,0.63
486,0.63
487,0.63
488,0.63
489,0.64
490,0.64
491,0.64
492,0.64
493,0.64
494,0.64
495,0.64
496,0.64
497,0.64
498,0.64
499,0.64
500,0.64
501,0.64
502,0.64
503,0.64
504,0.64
505,0.64
506,0.64
507,0.64
508,0.64
509,0.64
510,0.64
511,0.64
512,0.64
513,0.64
514,0.64
515,0.64
516,0.64
517,0.64
518,0.64
519,0.64
520,0.63
521,0.63
522,0.63
523,0.63
524,0.65
525,0.63
526,0.63
527,0.65
528,0.63
529,0.63
530,0.63
531,0.63
532,0.63
533,0.63
534,0.63
535,0.63
536,0.63
537,0.63
538,0.63
539,0.63
540,0.63
541,0.63
542,0.63
543,0.63
544,0.63
545,0.63
546,0.63
547,0.63
548,0.63
549,0.64
550,0.65
551,0.64
552,0.65
553,0.64
554,0.64
555,0.65
556,0.65
557,0.63
558,0.63
559,0.63
560,0.63
561,0.63
562,0.63
563,0.63
564,0.63
565,0.63
566,0.63
567,0.63
568,0.63
569,0.63
570,0.63
571,0.63
572,0.63
573,0.63
574,0.63
575,0.63
576,0.63
577,0.63
578,0.63
579,0.63
580,0.65
581,0.64
582,0.65
583,0.65
584,0.63
585,0.63
586,0.63
587,0.63
588,0.63
589,0.63
590,0.63
591,0.63
592,0.63
593,0.63
594,0.63
595,0.63
596,0.63
597,0.63
598,0.63
599,0.63
600,0.63
601,0.63
602,0.63
603,0.63
604,0.63
605,0.63
606,0.63
607,0.63
608,0.63
609,0.63
610,0.63
611,0.64
612,0.65
613,0.65
614,0.63
615,0.64
616,0.63
617,0.64
618,0.63
619,0.63
620,0.63
621,0.63
622,0.63
623,0.63
624,0.63
625,0.63
626,0.63
627,0.63
628,0.63
629,0.63
630,0.63
631,0.63
632,0.63
633,0.63
634,0.63
635,0.63
636,0.63
637,0.63
638,0.63
639,0.65
640,0.65
641,0.65
642,0.65
643,0.65
644,0.65
645,0.67
646,0.66
647,0.67
648,0.65
649,0.67
650,0.65
651,0.63
652,0.63
653,0.63
654,0.63
655,0.63
656,0.63
657,0.63
658,0.63
659,0.63
660,0.63
661,0.63
662,0.63
663,0.63
664,0.63
665,0.63
666,0.63
667,0.63
668,0.63
669,0.65
670,0.64
671,0.64
672,0.65
673,0.65
674,0.63
675,0.65
676,0.65
677,0.65
678,0.63
679,0.63
680,0.63
681,0.63
682,0.63
683,0.63
684,0.63
685,0.63
686,0.63
687,0.63
688,0.63
689,0.63
690,0.63
691,0.63
692,0.63
693,0.63
694,0.63
695,0.63
696,0.63
697,0.63
698,0.63
699,0.63
700,0.64
701,0.65
702,0.63
703,0.64
704,0.65
705,0.63
706,0.65
707,0.63
708,0.63
709,0.63
710,0.63
711,0.63
712,0.63
713,0.63
714,0.63
715,0.63
716,0.63
