[2020-02-01 09:44:09] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 09:44:10] 
[2020-02-01 09:44:10] 09:44:09      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-02-01 09:44:10] 09:44:10    20001     14157   1887.13      0.00  429628   22720   0.18  qrail-cli
[2020-02-01 09:44:11] 09:44:11    20001     14157  11519.00      0.00  450572   44556   0.36  qrail-cli
[2020-02-01 09:44:12] 09:44:12    20001     14157   3784.00      0.00  461976   56084   0.46  qrail-cli
[2020-02-01 09:44:13] 09:44:13    20001     14157   7766.00      0.00  471444   65664   0.53  qrail-cli
[2020-02-01 09:44:14] 09:44:14    20001     14157   2734.00      0.00  478868   72948   0.59  qrail-cli
[2020-02-01 09:44:15] 09:44:15    20001     14157     50.00      0.00  478868   73056   0.59  qrail-cli
[2020-02-01 09:44:16] 09:44:16    20001     14157      0.00      0.00  478868   73056   0.59  qrail-cli
[2020-02-01 09:44:17] 09:44:17    20001     14157      0.00      0.00  478868   73056   0.59  qrail-cli
[2020-02-01 09:44:18] 09:44:18    20001     14157      0.00      0.00  478868   73056   0.59  qrail-cli
[2020-02-01 09:44:19] 09:44:19    20001     14157   6327.00      0.00  481224   74748   0.61  qrail-cli
[2020-02-01 09:44:20] 09:44:20    20001     14157  17055.00      0.00  480144   74228   0.60  qrail-cli
[2020-02-01 09:44:21] 09:44:21    20001     14157  15971.00      0.00  479604   73968   0.60  qrail-cli
[2020-02-01 09:44:22] 09:44:22    20001     14157  17526.00      0.00  480220   73968   0.60  qrail-cli
[2020-02-01 09:44:23] 09:44:23    20001     14157  15469.00      0.00  480068   73968   0.60  qrail-cli
[2020-02-01 09:44:24] 09:44:24    20001     14157  18410.00      0.00  480164   74228   0.60  qrail-cli
[2020-02-01 09:44:25] 09:44:25    20001     14157  15790.00      0.00  480076   74224   0.60  qrail-cli
[2020-02-01 09:44:26] 09:44:26    20001     14157  17502.00      0.00  479604   73968   0.60  qrail-cli
[2020-02-01 09:44:27] 09:44:27    20001     14157  17294.00      0.00  480220   74232   0.60  qrail-cli
[2020-02-01 09:44:28] 09:44:28    20001     14157   2975.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:29] 09:44:29    20001     14157     24.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:30] 09:44:30    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:31] 09:44:31    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:32] 09:44:32    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:33] 09:44:33    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:34] 09:44:34    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:35] 09:44:35    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:36] 09:44:36    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:37] 09:44:37    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:38] 09:44:38    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:39] 09:44:39    20001     14157      0.00      0.00  479604   73972   0.60  qrail-cli
[2020-02-01 09:44:40] 09:44:40    20001     14157     29.00      0.00  479604   73976   0.60  qrail-cli
[2020-02-01 09:44:41] 09:44:41    20001     14157      0.00      0.00  479604   73976   0.60  qrail-cli
[2020-02-01 09:44:42] 09:44:42    20001     14157      0.00      0.00  479604   73976   0.60  qrail-cli
[2020-02-01 09:44:43] 09:44:43    20001     14157      0.00      0.00  479604   73976   0.60  qrail-cli
[2020-02-01 09:44:44] 09:44:44    20001     14157      0.00      0.00  479604   73976   0.60  qrail-cli
[2020-02-01 09:44:45] 09:44:45    20001     14157      0.00      0.00  479604   73976   0.60  qrail-cli
[2020-02-01 09:44:46] 09:44:46    20001     14157      0.00      0.00  479604   73976   0.60  qrail-cli
[2020-02-01 09:44:47] 09:44:47    20001     14157      0.00      0.00  479604   73976   0.60  qrail-cli
[2020-02-01 09:44:48] 09:44:48    20001     14157      0.00      0.00  479604   73976   0.60  qrail-cli
[2020-02-01 09:44:49] 09:44:49    20001     14157   9751.00      0.00  486156   78088   0.64  qrail-cli
[2020-02-01 09:44:50] 09:44:50    20001     14157  17495.00      0.00  486212   78272   0.64  qrail-cli
[2020-02-01 09:44:51] 09:44:51    20001     14157  17479.00      0.00  485244   77744   0.63  qrail-cli
[2020-02-01 09:44:52] 09:44:52    20001     14157  16221.00      0.00  485360   77760   0.63  qrail-cli
[2020-02-01 09:44:53] 09:44:53    20001     14157  15713.00      0.00  482244   75916   0.62  qrail-cli
[2020-02-01 09:44:54] 09:44:54    20001     14157  16060.00      0.00  485188   78024   0.64  qrail-cli
[2020-02-01 09:44:55] 09:44:55    20001     14157  16323.00      0.00  482244   75916   0.62  qrail-cli
[2020-02-01 09:44:56] 09:44:56    20001     14157  16475.00      0.00  485244   78056   0.64  qrail-cli
[2020-02-01 09:44:57] 09:44:57    20001     14157  18845.00      0.00  484520   76992   0.63  qrail-cli
[2020-02-01 09:44:58] 09:44:58    20001     14157  15625.00      0.00  482856   76200   0.62  qrail-cli
[2020-02-01 09:44:59] 09:44:59    20001     14157  16810.00      0.00  485180   77844   0.63  qrail-cli
[2020-02-01 09:45:00] 09:45:00    20001     14157  17257.00      0.00  483880   76792   0.63  qrail-cli
[2020-02-01 09:45:01] 09:45:01    20001     14157   8347.00      0.00  482244   76004   0.62  qrail-cli
[2020-02-01 09:45:02] 09:45:02    20001     14157    769.00      0.00  482640   76348   0.62  qrail-cli
[2020-02-01 09:45:03] 09:45:03    20001     14157      0.00      0.00  482640   76348   0.62  qrail-cli
[2020-02-01 09:45:04] 09:45:04    20001     14157      0.00      0.00  482640   76348   0.62  qrail-cli
[2020-02-01 09:45:05] 09:45:05    20001     14157      0.00      0.00  482640   76348   0.62  qrail-cli
[2020-02-01 09:45:06] 09:45:06    20001     14157      0.00      0.00  482640   76348   0.62  qrail-cli
[2020-02-01 09:45:07] 09:45:07    20001     14157      0.00      0.00  482640   76348   0.62  qrail-cli
[2020-02-01 09:45:08] 09:45:08    20001     14157      0.00      0.00  482640   76348   0.62  qrail-cli
