time(s),mem(%)
0,0.15
1,0.30
2,0.37
3,0.43
4,0.48
5,0.52
6,0.55
7,0.56
8,0.56
9,0.56
10,0.56
11,0.56
12,0.56
13,0.56
14,0.56
15,0.56
16,0.56
17,0.56
18,0.56
19,0.56
20,0.56
21,0.56
22,0.56
23,0.56
24,0.56
25,0.56
26,0.56
27,0.56
28,0.56
29,0.56
30,0.56
31,0.59
32,0.58
33,0.60
34,0.60
35,0.61
36,0.59
37,0.59
38,0.59
39,0.59
40,0.59
41,0.59
42,0.59
43,0.59
44,0.59
45,0.59
46,0.59
47,0.59
48,0.59
49,0.59
50,0.59
51,0.59
52,0.59
53,0.59
54,0.59
55,0.59
56,0.59
57,0.59
58,0.59
59,0.59
60,0.59
61,0.61
62,0.61
63,0.61
64,0.61
65,0.61
66,0.62
67,0.61
68,0.61
69,0.61
70,0.61
71,0.61
72,0.61
73,0.61
74,0.61
75,0.61
76,0.61
77,0.61
78,0.61
79,0.61
80,0.61
81,0.61
82,0.61
83,0.61
84,0.61
85,0.61
86,0.61
87,0.61
88,0.61
89,0.61
90,0.61
91,0.63
92,0.63
93,0.63
94,0.64
95,0.64
96,0.64
97,0.64
98,0.64
99,0.64
100,0.64
101,0.64
102,0.64
103,0.64
104,0.64
105,0.64
106,0.64
107,0.64
108,0.64
109,0.64
110,0.64
111,0.64
112,0.64
113,0.64
114,0.64
115,0.64
116,0.64
117,0.64
118,0.64
119,0.64
120,0.64
121,0.65
122,0.65
123,0.66
124,0.66
125,0.66
126,0.66
127,0.67
128,0.66
129,0.66
130,0.66
131,0.66
132,0.66
133,0.66
134,0.66
135,0.66
136,0.66
137,0.66
138,0.66
139,0.66
140,0.66
141,0.66
142,0.66
143,0.66
144,0.66
145,0.66
146,0.66
147,0.66
148,0.66
149,0.66
150,0.66
151,0.68
152,0.68
153,0.68
154,0.69
155,0.69
156,0.69
157,0.69
158,0.69
159,0.69
160,0.69
161,0.69
162,0.69
163,0.69
164,0.69
165,0.69
166,0.69
167,0.69
168,0.69
169,0.69
170,0.69
171,0.69
172,0.69
173,0.69
174,0.69
175,0.69
176,0.69
177,0.69
178,0.69
179,0.69
180,0.69
181,0.70
182,0.70
183,0.71
184,0.71
185,0.72
186,0.69
187,0.72
188,0.71
189,0.71
190,0.71
191,0.71
192,0.71
193,0.71
194,0.71
195,0.71
196,0.71
197,0.71
198,0.71
199,0.71
200,0.71
201,0.71
202,0.71
203,0.71
204,0.71
205,0.71
206,0.71
207,0.71
208,0.71
209,0.71
210,0.71
211,0.72
212,0.73
213,0.73
214,0.74
215,0.74
216,0.74
217,0.74
218,0.74
219,0.74
220,0.74
221,0.74
222,0.74
223,0.74
224,0.74
225,0.74
226,0.74
227,0.74
228,0.74
229,0.74
230,0.74
231,0.74
232,0.74
233,0.74
234,0.74
235,0.74
236,0.74
237,0.74
238,0.74
239,0.74
240,0.74
241,0.75
242,0.75
243,0.76
244,0.75
245,0.76
246,0.76
247,0.77
248,0.76
249,0.76
250,0.76
251,0.76
252,0.76
253,0.76
254,0.76
255,0.76
256,0.76
257,0.76
258,0.76
259,0.76
260,0.76
261,0.76
262,0.76
263,0.76
264,0.76
265,0.76
266,0.76
267,0.76
268,0.76
269,0.76
270,0.76
271,0.77
272,0.77
273,0.78
274,0.78
