time(s),total_rx(bytes)
0,0
1,1003
2,1069
3,1069
4,1069
5,1069
6,1069
7,1069
8,1069
9,1069
10,1069
11,1069
12,1069
13,1069
14,1069
15,1069
16,1069
17,1069
18,1069
19,1069
20,1069
21,1069
22,1069
24,1069
25,1069
26,1069
27,1069
28,1069
29,1069
30,1069
31,2152
32,2152
33,2152
34,2152
35,2194
36,2194
37,2194
38,2194
39,2194
40,2194
41,2194
42,2194
43,2194
44,2194
45,2194
46,2194
48,2194
49,2194
50,2194
51,2194
52,2194
53,2194
54,2194
55,2194
56,2194
57,2194
58,2194
59,2194
60,3013
61,3013
62,3013
63,3013
64,3013
65,3055
66,3055
67,3055
68,3055
69,3055
70,3055
71,3055
73,3055
74,3055
75,3055
76,3055
77,3055
78,3055
79,3055
80,3055
81,3055
82,3055
83,3055
84,3055
85,3055
86,3055
87,3055
88,3055
89,3055
90,4005
91,4005
92,4005
93,4005
94,4005
95,4005
96,4005
98,4005
99,4005
100,4005
101,4005
102,4005
103,4005
104,4005
105,4005
106,4005
107,4005
108,4005
109,4005
110,4005
111,4005
112,4005
113,4005
114,4005
115,4005
116,4005
117,4005
118,4005
119,4005
120,5022
122,5022
123,5022
124,5022
125,5022
126,5064
127,5064
128,5064
129,5064
130,5064
131,5064
132,5064
133,5064
134,5064
135,5064
136,5064
137,5064
138,5064
139,5064
140,5064
141,5064
142,5064
143,5064
144,5064
145,5064
147,5064
148,5064
149,5064
150,5064
151,6081
152,6081
153,6081
154,6081
155,6081
156,6123
157,6123
158,6123
159,6123
160,6123
161,6123
162,6123
163,6123
164,6123
165,6123
166,6123
167,6123
168,6123
169,6123
171,6123
172,6123
173,6123
174,6123
175,6123
176,6123
177,6123
178,6123
179,6123
180,7272
181,7272
182,7272
183,7272
184,7272
185,7314
186,7314
187,7314
188,7314
189,7314
190,7314
191,7314
192,7314
193,7314
194,7314
196,7314
197,7314
198,7314
199,7314
200,7314
201,7314
202,7314
203,7314
204,7314
205,7314
206,7314
207,7314
208,7314
209,7314
210,8199
211,8199
212,8199
213,8199
214,8199
215,8199
216,8199
217,8199
218,8199
220,8199
221,8199
222,8199
223,8199
224,8199
225,8199
226,8199
227,8199
228,8199
229,8199
230,8199
231,8199
232,8199
233,8199
234,8199
235,8199
236,8199
237,8199
238,8199
239,8199
240,9150
241,9150
242,9150
243,9150
245,9150
246,9192
247,9192
248,9192
249,9192
250,9192
251,9192
252,9192
253,9192
254,9192
255,9192
256,9192
257,9192
258,9192
259,9192
260,9192
261,9192
262,9192
263,9192
264,9192
265,9192
266,9192
267,9192
268,9192
270,9192
271,10275
272,10275
273,10275
274,10275
275,10275
276,10317
277,10317
278,10317
279,10317
280,10317
281,10317
282,10317
283,10317
284,10317
285,10317
286,10317
287,10317
288,10317
