time(s),total_rx(bytes)
0,0
1,553
2,553
3,553
4,553
5,553
6,637
7,637
8,637
9,637
10,637
11,637
12,637
13,637
14,637
15,637
16,637
17,637
18,637
19,637
21,637
22,637
23,637
24,637
25,637
26,637
27,637
28,637
29,637
30,637
31,637
32,637
33,637
34,637
35,637
36,637
37,637
38,637
39,637
40,637
41,637
42,637
43,637
45,637
46,637
47,637
48,637
49,637
50,637
51,637
52,637
53,637
54,637
55,637
56,637
57,637
58,637
59,637
60,637
61,637
62,637
63,637
64,637
65,637
66,703
67,703
68,703
70,703
71,703
72,787
73,787
74,787
75,787
76,787
77,787
78,787
79,787
80,787
81,787
82,787
83,787
84,787
85,787
86,787
87,787
88,787
89,787
90,787
91,787
92,787
93,787
95,787
96,787
97,787
98,787
99,787
100,787
101,787
102,787
103,787
104,787
105,787
106,787
107,787
108,787
109,787
110,787
111,787
112,787
113,787
114,787
115,787
116,787
117,787
119,787
120,787
121,787
122,787
123,787
124,787
125,787
126,787
127,787
128,787
129,787
130,787
131,787
132,787
133,787
134,787
135,787
136,787
137,787
138,787
139,787
140,787
141,787
142,787
144,787
145,787
146,787
147,787
148,787
149,787
150,787
151,787
152,787
153,787
154,787
155,787
156,787
157,787
158,787
159,787
160,787
161,787
162,787
163,787
164,787
165,787
166,787
168,787
169,787
170,787
171,787
172,787
173,787
174,787
175,787
176,787
177,787
178,787
179,787
180,787
181,787
182,787
183,787
184,787
185,787
186,787
187,787
188,787
189,787
190,787
191,787
193,787
194,787
195,787
196,787
197,787
198,787
199,787
200,787
201,787
202,787
203,787
204,787
205,787
206,787
207,787
208,787
209,787
210,787
211,787
212,787
213,787
214,787
215,787
217,787
218,787
219,787
220,787
221,787
222,787
223,787
224,787
225,787
226,787
227,787
228,787
229,787
230,787
231,787
232,787
233,787
234,787
235,787
236,787
237,787
238,787
239,787
240,787
242,787
243,787
244,787
245,787
246,787
247,787
248,787
249,787
250,787
251,787
252,787
253,787
254,787
255,787
256,787
257,787
258,787
259,787
260,787
261,787
262,787
263,787
264,787
265,787
267,787
268,787
269,787
270,787
271,787
272,787
273,787
274,787
275,787
276,787
277,787
278,787
279,787
280,787
281,787
282,787
283,787
284,787
285,787
286,787
287,787
288,787
289,787
291,787
292,787
293,787
294,787
295,787
296,787
297,787
298,787
299,787
300,787
301,787
302,787
303,787
304,787
305,787
306,787
307,787
308,787
309,787
310,787
311,787
312,787
313,787
314,787
316,787
317,787
318,787
319,787
320,787
321,787
322,787
323,787
324,787
325,787
326,787
327,787
328,787
329,787
330,787
331,787
332,787
333,787
334,787
335,787
336,787
337,787
338,787
339,787
341,787
342,787
343,787
344,787
345,787
346,787
347,787
348,787
349,787
350,787
351,787
352,787
353,787
354,787
355,787
356,787
357,787
358,787
359,787
360,787
361,787
362,787
363,787
365,787
366,787
367,787
368,787
369,787
370,787
371,787
372,787
373,787
374,787
375,787
376,787
377,787
378,787
379,787
380,787
381,787
382,787
383,787
384,787
385,787
386,787
387,787
388,787
390,787
391,787
392,787
393,787
394,787
395,787
396,787
397,787
398,787
399,787
400,787
401,787
402,787
403,787
404,787
405,787
406,787
407,787
408,787
409,787
410,787
411,787
412,787
414,787
415,787
416,787
417,787
418,787
419,787
420,787
421,787
422,787
423,787
424,787
425,787
426,787
427,787
428,787
429,787
430,787
431,787
432,787
433,787
434,787
435,787
436,787
437,787
439,787
440,787
441,787
442,787
443,787
444,787
445,787
446,787
447,787
448,787
449,787
450,787
451,787
452,787
453,787
454,787
455,787
456,787
457,787
458,787
459,787
460,787
461,787
462,787
464,787
465,787
466,787
467,787
468,787
469,787
470,787
471,787
472,787
473,787
474,787
475,787
476,787
477,787
478,787
479,787
480,787
481,787
482,787
483,787
484,787
485,787
486,787
488,787
489,787
490,787
491,787
492,787
493,787
494,787
495,787
496,787
497,787
498,787
499,787
500,787
501,787
502,787
503,787
504,787
505,787
506,787
507,787
508,787
509,787
510,787
512,787
513,787
514,787
515,787
516,787
517,787
518,787
519,787
520,787
521,787
522,787
523,787
524,787
525,787
526,787
527,787
528,787
529,787
530,787
531,787
532,787
533,787
534,787
535,787
537,787
538,787
539,787
540,787
541,787
542,787
543,787
544,787
545,787
546,787
547,787
548,787
549,787
550,787
551,787
552,787
553,787
554,787
555,787
556,787
557,787
558,787
559,787
561,787
562,787
563,787
564,787
565,787
566,787
567,787
568,787
569,787
570,787
571,787
572,787
573,787
574,787
575,787
576,787
577,787
578,787
579,787
580,787
581,787
582,787
583,787
584,787
586,787
587,787
588,787
589,787
590,787
591,787
592,787
593,787
594,787
595,787
596,787
597,787
598,787
599,787
600,787
601,787
602,787
603,787
604,787
605,787
606,787
607,787
608,787
609,787
611,787
612,787
613,787
614,787
615,787
616,787
617,787
618,787
619,787
620,787
621,787
622,787
623,787
624,787
625,787
626,787
627,787
628,787
629,787
630,787
631,787
632,787
633,787
635,787
636,787
637,787
638,787
639,787
640,787
641,787
642,787
643,787
644,787
645,787
646,787
647,787
648,787
649,787
650,787
651,787
652,787
653,787
654,787
655,787
656,787
657,787
658,787
660,787
661,787
662,787
663,787
664,787
665,787
666,787
667,787
668,787
669,787
670,787
671,787
672,787
673,787
674,787
675,787
676,787
677,787
678,787
679,787
680,787
681,787
682,787
684,787
685,787
686,787
687,787
688,787
689,787
690,787
691,787
692,787
693,787
694,787
695,787
696,787
697,787
698,787
699,787
700,787
701,787
702,787
703,787
704,787
705,787
706,787
707,787
709,787
710,787
711,787
712,787
713,787
714,787
715,787
716,787
717,787
718,787
719,787
720,787
721,787
722,787
723,787
724,787
725,787
726,787
727,787
728,787
729,787
730,787
731,787
733,787
734,787
735,787
736,787
737,787
738,787
739,787
740,787
741,787
742,787
743,787
744,787
745,787
746,787
747,787
748,787
749,787
750,787
751,787
752,787
753,787
754,787
755,787
756,787
758,787
759,787
760,787
761,787
762,787
763,787
764,787
765,787
766,787
767,787
768,787
769,787
770,787
771,787
772,787
773,787
774,787
775,787
776,787
777,787
778,787
779,787
780,787
782,787
783,787
784,787
785,787
786,787
787,787
788,787
789,787
790,787
791,787
792,787
793,787
794,787
795,787
796,787
797,787
798,787
799,787
800,787
801,787
802,787
803,787
804,787
805,787
807,787
808,787
809,787
810,787
811,787
812,787
813,787
814,787
815,787
816,787
817,787
818,787
819,787
820,787
821,787
822,787
823,787
824,787
825,787
826,787
827,787
828,787
829,787
830,787
832,787
833,787
834,787
835,787
836,787
837,787
838,787
839,787
840,787
841,787
842,787
843,787
844,787
845,787
846,787
847,787
848,787
849,787
850,787
851,787
852,787
853,787
854,787
856,787
857,787
858,787
859,787
860,787
861,787
862,787
863,787
864,787
865,787
866,787
867,787
868,787
869,787
870,787
871,787
872,787
873,787
874,787
875,787
876,787
877,787
878,787
879,787
881,787
882,787
883,787
884,787
885,787
886,787
887,787
888,787
889,787
890,787
891,787
892,787
893,787
894,787
895,787
896,787
897,787
898,787
899,787
900,787
901,787
902,787
903,787
905,787
906,787
907,787
908,787
909,787
910,787
911,787
912,787
913,787
914,787
915,787
916,787
917,787
918,787
919,787
920,787
921,787
922,787
923,787
924,787
925,787
926,787
927,787
928,787
930,787
931,787
932,787
933,787
934,787
935,787
936,787
937,787
938,787
