time(s),total_tx(bytes)
0,0
1,929
2,929
3,929
4,929
5,929
6,929
7,929
8,929
9,929
10,929
11,929
12,929
13,929
14,929
15,929
16,929
17,929
18,929
19,929
20,929
21,929
22,929
24,929
25,929
26,929
27,929
28,929
29,929
30,929
31,128229
32,128229
33,128229
34,128229
35,128289
36,128289
37,128289
38,128289
39,128289
40,128289
41,128289
42,128289
43,128289
44,128289
45,128289
46,128289
48,128289
49,128289
50,128289
51,128289
52,128289
53,128289
54,128289
55,128289
56,128289
57,128289
58,128289
59,128289
60,181072
61,181072
62,181072
63,181072
64,181072
65,181132
66,181132
67,181132
68,181132
69,181132
70,181132
71,181132
73,181132
74,181132
75,181132
76,181132
77,181132
78,181132
79,181132
80,181132
81,181132
82,181132
83,181132
84,181132
85,181132
86,181132
87,181132
88,181132
89,181132
90,285924
91,285924
92,285924
93,285924
94,285924
95,285924
96,285924
98,285924
99,285924
100,285924
101,285924
102,285924
103,285924
104,285924
105,285924
106,285924
107,285924
108,285924
109,285924
110,285924
111,285924
112,285924
113,285924
114,285924
115,285924
116,285924
117,285924
118,285924
119,285924
120,380764
122,380764
123,380764
124,380764
125,380764
126,380824
127,380824
128,380824
129,380824
130,380824
131,380824
132,380824
133,380824
134,380824
135,380824
136,380824
137,380824
138,380824
139,380824
140,380824
141,380824
142,380824
143,380824
144,380824
145,380824
147,380824
148,380824
149,380824
150,380824
151,487686
152,487686
153,487686
154,487686
155,487686
156,487746
157,487746
158,487746
159,487746
160,487746
161,487746
162,487746
163,487746
164,487746
165,487746
166,487746
167,487746
168,487746
169,487746
171,487746
172,487746
173,487746
174,487746
175,487746
176,487746
177,487746
178,487746
179,487746
180,627065
181,627065
182,627065
183,627065
184,627065
185,627125
186,627125
187,627125
188,627125
189,627125
190,627125
191,627125
192,627125
193,627125
194,627125
196,627125
197,627125
198,627125
199,627125
200,627125
201,627125
202,627125
203,627125
204,627125
205,627125
206,627125
207,627125
208,627125
209,627125
210,717513
211,717513
212,717513
213,717513
214,717513
215,717513
216,717513
217,717513
218,717513
220,717513
221,717513
222,717513
223,717513
224,717513
225,717513
226,717513
227,717513
228,717513
229,717513
230,717513
231,717513
232,717513
233,717513
234,717513
235,717513
236,717513
237,717513
238,717513
239,717513
240,817504
241,817504
242,817504
243,817504
245,817504
246,817564
247,817564
248,817564
249,817564
250,817564
251,817564
252,817564
253,817564
254,817564
255,817564
256,817564
257,817564
258,817564
259,817564
260,817564
261,817564
262,817564
263,817564
264,817564
265,817564
266,817564
267,817564
268,817564
270,817564
271,940606
272,940606
273,940606
274,940606
275,940606
276,940666
277,940666
278,940666
279,940666
280,940666
281,940666
282,940666
283,940666
284,940666
285,940666
286,940666
287,940666
288,940666
289,940666
290,940666
291,940666
292,940666
294,940666
295,940666
296,940666
297,940666
298,940666
299,940666
300,940666
301,1068043
302,1068043
303,1068043
304,1068043
305,1068043
306,1068103
307,1068103
308,1068103
309,1068103
310,1068103
311,1068103
312,1068103
313,1068103
314,1068103
315,1068103
