time(s),total_rx(bytes)
0,0
1,1798
2,1798
3,1798
4,1798
5,1798
6,1864
7,1864
8,1864
9,1864
10,1864
11,1930
13,1930
14,1930
15,1930
16,1930
17,1996
18,1996
19,2524
20,2524
21,2524
22,2590
23,2590
24,2590
25,2590
26,2656
27,2656
28,2656
29,2656
30,2656
31,2722
32,2722
33,2722
34,2722
35,2722
37,2788
38,2788
39,2788
40,2788
41,2788
42,2854
43,2854
44,2854
45,2854
46,2854
47,2962
48,3490
49,3490
50,3490
51,3556
52,3556
53,3556
54,3556
55,3556
56,3622
57,3622
58,3622
59,3622
60,3622
62,3688
63,3688
64,3688
65,3688
66,3688
67,3820
68,3820
69,3820
70,3820
71,3820
72,3886
73,3886
74,3886
75,3886
76,3952
77,3952
78,4414
79,4414
80,4414
81,4480
82,4480
83,4480
84,4480
86,4480
87,4546
88,4546
89,4546
90,4546
91,4546
92,4654
93,4654
94,4654
95,4654
96,4654
97,4720
98,4720
99,4720
100,4720
101,4786
102,4786
103,4786
104,4786
105,4786
106,4852
107,4852
108,5446
109,5446
111,5446
112,5512
113,5512
114,5512
115,5512
116,5512
117,5578
118,5578
119,5578
120,5578
121,5644
122,5644
123,5644
124,5644
125,5644
126,5710
127,5710
128,5710
129,5710
130,5710
131,5776
132,5776
133,5776
134,5776
136,5776
137,5884
138,5884
139,6214
140,6214
141,6214
142,6280
143,6280
144,6280
145,6280
146,6346
147,6346
148,6346
149,6346
150,6346
151,6412
152,6412
153,6412
154,6412
155,6412
156,6478
157,6478
158,6478
160,6478
161,6478
162,6544
163,6544
164,6544
165,6544
166,6544
167,6610
168,6610
169,6940
170,6940
171,7006
172,7006
173,7006
174,7006
175,7006
176,7072
177,7072
178,7072
179,7072
180,7072
181,7180
182,7180
183,7180
185,7180
186,7180
187,7246
188,7246
189,7246
190,7246
191,7246
192,7312
193,7312
194,7312
195,7312
196,7378
197,7378
198,7972
199,7972
200,7972
201,8038
202,8038
203,8038
204,8038
205,8038
206,8104
207,8104
209,8104
210,8104
211,8104
212,8170
213,8170
214,8170
215,8170
216,8170
217,8236
218,8236
219,8236
220,8236
221,8302
222,8302
223,8302
224,8302
225,8302
226,8410
227,8410
228,9202
229,9202
230,9202
231,9268
232,9268
234,9268
235,9268
236,9268
237,9334
238,9334
239,9334
240,9334
241,9334
242,9400
243,9400
244,9400
245,9400
246,9466
247,9466
248,9466
249,9466
250,9466
251,9532
252,9532
253,9532
254,9532
255,9532
256,9598
257,9598
259,10390
260,10390
261,10390
262,10456
263,10456
264,10456
265,10456
266,10456
267,10522
268,10522
269,10522
270,10522
271,10630
272,10630
273,10630
274,10630
275,10630
276,10696
277,10696
278,10696
279,10696
280,10696
281,10762
283,10762
284,10762
285,10762
286,10762
287,10828
288,10828
289,11290
290,11290
291,11290
292,11356
293,11356
294,11356
295,11356
296,11422
297,11422
298,11422
299,11422
300,11422
301,11530
302,11530
303,11530
304,11530
305,11530
306,11596
308,11596
309,11596
310,11596
311,11596
312,11662
313,11662
314,11662
315,11662
316,11662
317,11728
318,11728
319,12388
320,12388
321,12454
322,12454
323,12454
324,12454
325,12454
326,12520
327,12520
328,12520
329,12520
330,12520
332,12628
333,12628
334,12628
335,12628
336,12628
337,12694
338,12694
339,12694
340,12694
341,12694
342,12760
343,12760
344,12760
345,12760
346,12826
347,12826
348,13420
349,13420
350,13420
351,13486
352,13486
353,13486
354,13486
355,13486
357,13552
358,13552
359,13552
360,13552
361,13552
362,13660
363,13660
364,13660
365,13660
366,13660
367,13726
368,13726
369,13726
370,13726
371,13792
372,13792
373,13792
374,13792
375,13792
376,13858
377,13858
378,14386
379,14386
381,14386
382,14452
383,14452
384,14452
385,14452
386,14452
387,14518
388,14518
389,14518
390,14518
391,14518
392,14626
393,14626
394,14626
395,14626
396,14692
397,14692
398,14692
399,14692
400,14692
401,14758
402,14758
403,14758
404,14758
406,14758
407,14824
408,14824
409,15220
410,15220
411,15220
412,15286
413,15286
414,15286
415,15286
416,15286
417,15352
418,15352
419,15352
420,15352
421,15460
422,15460
423,15460
424,15460
425,15460
426,15526
427,15526
428,15526
429,15526
431,15526
432,15592
433,15592
434,15592
435,15592
436,15592
437,15658
438,15658
439,16054
440,16054
441,16054
442,16120
443,16120
444,16120
445,16120
446,16186
447,16186
448,16186
449,16186
450,16186
451,16294
452,16294
453,16294
455,16294
456,16294
457,16360
458,16360
459,16360
460,16360
461,16360
462,16426
463,16426
464,16426
465,16426
466,16426
467,16492
468,17152
469,17152
470,17152
471,17218
472,17218
473,17218
474,17218
475,17218
476,17284
477,17284
478,17284
480,17284
481,17284
482,17392
483,17392
484,17392
485,17392
486,17392
487,17458
488,17458
489,17458
490,17458
491,17458
492,17524
493,17524
494,17524
495,17524
496,17590
497,17590
498,18316
499,18316
500,18316
501,18382
502,18382
504,18382
505,18382
506,18382
507,18448
508,18448
509,18448
510,18448
511,18448
512,18556
513,18556
514,18556
515,18556
516,18622
517,18622
518,18622
519,18622
520,18622
521,18688
522,18688
523,18688
524,18688
525,18688
526,18754
527,18754
529,19150
530,19150
531,19150
532,19216
533,19216
534,19216
535,19216
536,19216
537,19282
538,19282
539,19282
540,19282
541,19348
542,19390
543,19390
544,19390
545,19390
546,19456
547,19456
548,19456
549,19456
550,19456
551,19522
553,19522
554,19522
555,19522
556,19522
557,19588
558,19588
559,20116
560,20116
561,20116
562,20182
563,20182
564,20182
565,20182
566,20248
567,20248
568,20248
569,20248
570,20248
571,20356
572,20356
573,20356
574,20356
575,20356
576,20422
578,20422
579,20422
580,20422
581,20422
582,20488
583,20488
584,20488
585,20488
586,20488
587,20554
588,20554
589,21082
590,21082
591,21148
592,21148
593,21148
594,21148
595,21148
596,21214
597,21214
598,21214
599,21214
600,21214
601,21322
603,21322
604,21322
605,21322
606,21322
607,21388
608,21388
609,21388
610,21388
611,21388
612,21454
613,21454
614,21454
615,21454
616,21520
617,21520
618,22048
619,22048
620,22048
621,22114
622,22114
623,22114
624,22114
625,22114
627,22222
628,22222
629,22222
630,22222
631,22222
632,22288
633,22288
634,22288
635,22288
636,22288
637,22354
638,22354
639,22354
640,22354
641,22420
642,22420
643,22420
644,22420
645,22420
646,22486
647,22486
648,23146
649,23146
650,23146
652,23254
653,23254
654,23254
655,23254
656,23254
657,23320
658,23320
659,23320
660,23320
661,23320
662,23386
663,23386
664,23386
665,23386
666,23452
667,23452
668,23452
669,23452
670,23452
671,23518
672,23518
673,23518
674,23518
676,23518
677,23584
678,23584
679,24046
680,24046
681,24046
682,24154
683,24154
684,24154
685,24154
686,24154
687,24220
688,24220
689,24220
690,24220
691,24286
692,24286
693,24286
694,24286
695,24286
696,24352
697,24352
698,24352
699,24352
701,24352
702,24418
703,24418
704,24418
705,24418
706,24418
707,24526
708,24526
709,25054
710,25054
711,25054
712,25120
713,25120
714,25120
715,25120
716,25186
717,25186
718,25186
719,25186
720,25186
721,25252
722,25252
723,25252
725,25252
726,25252
727,25318
728,25318
729,25318
730,25318
731,25318
732,25384
733,25384
734,25384
735,25384
736,25384
737,25492
738,26218
739,26218
740,26218
741,26284
742,26284
743,26284
744,26284
745,26284
746,26350
747,26350
748,26350
750,26350
751,26350
752,26416
753,26416
754,26416
755,26416
756,26416
757,26482
758,26482
759,26482
760,26482
761,26482
762,26590
763,26590
764,26590
765,26590
766,26656
767,26656
768,27382
769,27382
770,27382
771,27448
772,27448
773,27448
775,27448
776,27448
777,27514
778,27514
779,27514
780,27514
781,27514
782,27580
783,27580
784,27580
785,27580
786,27580
787,27688
788,27688
789,27688
790,27688
791,27754
792,27754
793,27754
794,27754
795,27754
796,27820
797,27820
799,28480
800,28480
801,28480
802,28546
803,28546
804,28546
805,28546
806,28546
807,28612
808,28612
809,28612
810,28612
811,28612
812,28678
813,28678
814,28678
815,28678
816,28744
817,28786
818,28786
819,28786
820,28786
821,28852
822,28852
824,28852
825,28852
826,28852
827,28918
828,28918
829,29248
830,29248
831,29248
832,29314
833,29314
834,29314
835,29314
836,29314
837,29380
838,29380
839,29380
840,29380
841,29488
842,29488
843,29488
844,29488
845,29488
846,29554
848,29554
849,29554
850,29554
851,29554
852,29620
853,29620
854,29620
855,29620
856,29620
857,29686
858,29686
859,30346
860,30346
861,30412
862,30412
863,30412
864,30412
865,30412
866,30520
867,30520
868,30520
869,30520
870,30520
872,30586
873,30586
874,30586
875,30586
876,30586
877,30652
878,30652
879,30652
880,30652
881,30652
882,30718
883,30718
884,30718
885,30718
886,30784
887,30784
888,31444
889,31444
890,31444
891,31552
892,31552
893,31552
894,31552
895,31552
897,31618
898,31618
899,31618
900,31618
901,31618
902,31684
903,31684
904,31684
905,31684
906,31684
907,31750
908,31750
