time(s),total_rx(bytes)
0,0
1,0
2,4521
3,4521
4,4521
5,4521
6,4521
7,4521
8,4521
9,4521
10,4521
11,4521
12,4521
13,4521
14,4521
15,4521
16,4521
17,4521
18,4521
19,4521
20,4521
21,5709
22,5709
23,5709
25,5709
26,5709
27,5751
28,5751
29,5751
30,5751
31,5751
32,5751
33,5751
34,5751
35,5751
36,5751
37,5751
38,5751
39,5751
40,5751
41,5751
42,5751
43,5751
44,5751
45,5751
46,5751
47,5751
49,5751
50,5751
51,5751
52,6411
53,6411
54,6411
55,6411
56,6411
57,6453
58,6453
59,6453
60,6453
61,6453
62,6453
63,6453
64,6453
65,6453
66,6519
67,6519
68,6519
69,6519
70,6519
71,6519
72,6519
74,6519
75,6519
76,6519
77,6519
78,6519
79,6519
80,6519
81,7377
82,7377
83,7377
84,7377
85,7377
86,7377
87,7377
88,7377
89,7377
90,7377
91,7377
92,7377
93,7377
94,7377
95,7377
96,7377
97,7377
99,7377
100,7377
101,7377
102,7377
103,7377
104,7377
105,7377
106,7377
107,7377
108,7377
109,7377
110,7377
111,8697
112,8697
113,8697
114,8697
115,8697
116,8781
117,8781
118,8781
119,8781
120,8781
121,8781
123,8781
124,8781
125,8781
126,8781
127,8781
128,8781
129,8781
130,8781
131,8781
132,8781
133,8781
134,8781
135,8781
136,8781
137,8781
138,8781
139,8781
140,8781
141,10167
142,10167
143,10167
144,10167
145,10167
146,10209
148,10209
149,10209
150,10209
151,10209
152,10209
153,10209
154,10209
155,10209
156,10209
157,10209
158,10209
159,10209
160,10209
161,10209
162,10209
163,10209
164,10209
165,10209
166,10209
167,10209
168,10209
169,10209
170,10209
172,11661
173,11661
174,11661
175,11661
176,11661
177,11745
178,11745
179,11745
180,11745
181,11745
182,11745
183,11745
184,11745
185,11745
186,11745
187,11745
188,11745
189,11745
190,11745
191,11745
192,11745
193,11745
194,11745
195,11745
197,11745
198,11745
199,11745
200,11745
201,11745
202,13197
203,13197
204,13197
205,13197
206,13197
207,13239
208,13239
209,13239
210,13239
211,13239
212,13239
213,13239
214,13239
215,13239
216,13239
217,13239
218,13239
219,13239
220,13239
222,13239
223,13239
224,13239
225,13239
226,13239
227,13239
228,13239
229,13239
230,13239
231,14691
232,14691
233,14691
234,14691
235,14691
236,14775
237,14775
238,14775
239,14775
240,14775
241,14775
242,14775
243,14775
244,14775
246,14775
247,14775
248,14775
249,14775
250,14775
251,14775
252,14775
253,14775
254,14775
255,14775
256,14775
257,14775
258,14775
259,14775
260,14775
261,15765
262,15765
263,15765
264,15765
265,15765
266,15807
267,15807
268,15807
269,15807
271,15807
272,15807
273,15807
274,15807
275,15807
276,15807
277,15807
278,15807
279,15807
280,15807
281,15807
282,15807
283,15807
284,15807
285,15807
286,15807
287,15807
288,15807
289,15807
290,15807
291,16731
292,16731
293,16731
294,16731
296,16731
297,16773
298,16773
299,16773
300,16773
301,16773
302,16773
303,16773
304,16773
305,16773
306,16773
307,16773
308,16773
309,16773
310,16773
311,16773
312,16773
313,16773
314,16773
315,16773
316,16773
317,16773
318,16773
320,16773
321,16773
322,17895
323,17895
324,17895
325,17895
326,17895
327,17937
328,17937
329,17937
330,17937
331,17937
332,17937
333,17937
334,17937
335,17937
336,17937
337,17937
338,17937
339,17937
340,17937
341,17937
342,17937
343,17937
345,17937
346,17937
347,17937
348,17937
349,17937
350,17937
351,18003
352,19125
353,19125
354,19125
355,19125
356,19167
357,19167
358,19167
359,19167
360,19167
361,19167
362,19167
363,19167
364,19167
365,19167
366,19167
367,19167
369,19167
370,19167
371,19167
372,19167
373,19167
374,19167
375,19167
376,19167
377,19167
378,19167
379,19167
380,19167
381,20355
382,20355
383,20355
384,20355
385,20355
386,20397
387,20397
388,20397
389,20397
390,20397
391,20397
392,20397
394,20397
395,20397
396,20397
397,20397
398,20397
399,20397
400,20397
401,20397
402,20397
403,20397
404,20397
405,20397
406,20397
407,20397
408,20397
409,20397
410,20397
411,21717
412,21717
413,21717
414,21717
415,21717
416,21759
417,21759
419,21759
420,21759
421,21759
422,21759
423,21759
424,21759
425,21759
426,21759
427,21759
428,21759
429,21759
430,21759
431,21759
432,21759
433,21759
434,21759
435,21759
436,21759
437,21759
438,21759
439,21759
440,21759
441,23013
