time(s),total_tx(bytes)
0,0
1,115684
2,115684
3,115684
4,115684
5,115684
6,115773
7,115773
8,115773
9,115773
10,115773
11,115862
13,115862
14,115862
15,115862
16,115862
17,115951
18,115951
19,217924
20,217924
21,217924
22,218013
23,218013
24,218013
25,218013
26,218102
27,218102
28,218102
29,218102
30,218102
31,218191
32,218191
33,218191
34,218191
35,218191
37,218280
38,218280
39,218280
40,218280
41,218280
42,218369
43,218369
44,218369
45,218369
46,218369
47,218518
48,314454
49,314454
50,314454
51,314543
52,314543
53,314543
54,314543
55,314543
56,314632
57,314632
58,314632
59,314632
60,314632
62,314721
63,314721
64,314721
65,314721
66,314721
67,314942
68,314942
69,314942
70,314942
71,314942
72,315031
73,315031
74,315031
75,315031
76,315120
77,315120
78,396587
79,396587
80,396587
81,396676
82,396676
83,396676
84,396676
86,396676
87,396765
88,396765
89,396765
90,396765
91,396765
92,396914
93,396914
94,396914
95,396914
96,396914
97,397003
98,397003
99,397003
100,397003
101,397092
102,397092
103,397092
104,397092
105,397092
106,397181
107,397181
108,526854
109,526854
111,526854
112,526943
113,526943
114,526943
115,526943
116,526943
117,527032
118,527032
119,527032
120,527032
121,527121
122,527121
123,527121
124,527121
125,527121
126,527210
127,527210
128,527210
129,527210
130,527210
131,527299
132,527299
133,527299
134,527299
136,527299
137,527448
138,527448
139,566044
140,566044
141,566044
142,566133
143,566133
144,566133
145,566133
146,566222
147,566222
148,566222
149,566222
150,566222
151,566311
152,566311
153,566311
154,566311
155,566311
156,566400
157,566400
158,566400
160,566400
161,566400
162,566489
163,566489
164,566489
165,566489
166,566489
167,566578
168,566578
169,611190
170,611190
171,611279
172,611279
173,611279
174,611279
175,611279
176,611368
177,611368
178,611368
179,611368
180,611368
181,611517
182,611517
183,611517
185,611517
186,611517
187,611606
188,611606
189,611606
190,611606
191,611606
192,611695
193,611695
194,611695
195,611695
196,611784
197,611784
198,722179
199,722179
200,722179
201,722268
202,722268
203,722268
204,722268
205,722268
206,722357
207,722357
209,722357
210,722357
211,722357
212,722446
213,722446
214,722446
215,722446
216,722446
217,722535
218,722535
219,722535
220,722535
221,722624
222,722624
223,722624
224,722624
225,722624
226,722773
227,722773
228,882013
229,882013
230,882013
231,882102
232,882102
234,882102
235,882102
236,882102
237,882191
238,882191
239,882191
240,882191
241,882191
242,882280
243,882280
244,882280
245,882280
246,882369
247,882369
248,882369
249,882369
250,882369
251,882458
252,882458
253,882458
254,882458
255,882458
256,882547
257,882547
259,1058880
260,1058880
261,1058880
262,1058969
263,1058969
264,1058969
265,1058969
266,1058969
267,1059058
268,1059058
269,1059058
270,1059058
271,1059207
272,1059207
273,1059207
274,1059207
275,1059207
276,1059296
277,1059296
278,1059296
279,1059296
280,1059296
281,1059385
283,1059385
284,1059385
285,1059385
286,1059385
287,1059474
288,1059474
289,1141937
290,1141937
291,1141937
292,1142026
293,1142026
294,1142026
295,1142026
296,1142115
297,1142115
298,1142115
299,1142115
300,1142115
301,1142264
302,1142264
303,1142264
304,1142264
305,1142264
306,1142353
308,1142353
309,1142353
310,1142353
311,1142353
312,1142442
313,1142442
314,1142442
315,1142442
316,1142442
317,1142531
318,1142531
319,1257878
320,1257878
321,1257967
322,1257967
323,1257967
324,1257967
325,1257967
326,1258056
327,1258056
328,1258056
329,1258056
330,1258056
332,1258205
333,1258205
334,1258205
335,1258205
336,1258205
337,1258294
338,1258294
339,1258294
340,1258294
341,1258294
342,1258383
343,1258383
344,1258383
345,1258383
346,1258472
347,1258472
348,1372796
349,1372796
350,1372796
351,1372885
352,1372885
353,1372885
354,1372885
355,1372885
357,1372974
358,1372974
359,1372974
360,1372974
361,1372974
362,1373123
363,1373123
364,1373123
365,1373123
366,1373123
367,1373212
368,1373212
369,1373212
370,1373212
371,1373301
372,1373301
373,1373301
374,1373301
375,1373301
376,1373390
377,1373390
378,1464135
379,1464135
381,1464135
382,1464224
383,1464224
384,1464224
385,1464224
386,1464224
387,1464313
388,1464313
389,1464313
390,1464313
391,1464313
392,1464462
393,1464462
394,1464462
395,1464462
396,1464551
397,1464551
398,1464551
399,1464551
400,1464551
401,1464640
402,1464640
403,1464640
404,1464640
406,1464640
407,1464729
408,1464729
409,1535644
410,1535644
411,1535644
412,1535733
413,1535733
414,1535733
415,1535733
416,1535733
417,1535822
418,1535822
419,1535822
420,1535822
421,1535971
422,1535971
423,1535971
424,1535971
425,1535971
426,1536060
427,1536060
428,1536060
429,1536060
431,1536060
432,1536149
433,1536149
434,1536149
435,1536149
436,1536149
437,1536238
438,1536238
439,1590004
440,1590004
441,1590004
442,1590093
443,1590093
444,1590093
445,1590093
446,1590182
447,1590182
448,1590182
449,1590182
450,1590182
451,1590331
452,1590331
453,1590331
455,1590331
456,1590331
457,1590420
458,1590420
459,1590420
460,1590420
461,1590420
462,1590509
463,1590509
464,1590509
465,1590509
466,1590509
467,1590598
468,1695251
469,1695251
470,1695251
471,1695340
472,1695340
473,1695340
474,1695340
475,1695340
476,1695429
477,1695429
478,1695429
480,1695429
481,1695429
482,1695578
483,1695578
484,1695578
485,1695578
486,1695578
487,1695667
488,1695667
489,1695667
490,1695667
491,1695667
492,1695756
493,1695756
494,1695756
495,1695756
496,1695845
497,1695845
498,1822801
499,1822801
500,1822801
501,1822890
502,1822890
504,1822890
505,1822890
506,1822890
507,1822979
508,1822979
509,1822979
510,1822979
511,1822979
512,1823128
513,1823128
514,1823128
515,1823128
516,1823217
517,1823217
518,1823217
519,1823217
520,1823217
521,1823306
522,1823306
523,1823306
524,1823306
525,1823306
526,1823395
527,1823395
529,1875634
530,1875634
531,1875634
532,1875723
533,1875723
534,1875723
535,1875723
536,1875723
537,1875812
538,1875812
539,1875812
540,1875812
541,1875901
542,1875961
543,1875961
544,1875961
545,1875961
