time(s),total_tx(bytes)
0,0
1,0
2,780071
3,780071
4,780071
5,780071
6,780071
7,780071
8,780071
9,780071
10,780071
11,780071
12,780071
13,780071
14,780071
15,780071
16,780071
17,780071
18,780071
19,780071
20,780071
21,1010430
22,1010430
23,1010430
25,1010430
26,1010430
27,1010490
28,1010490
29,1010490
30,1010490
31,1010490
32,1010490
33,1010490
34,1010490
35,1010490
36,1010490
37,1010490
38,1010490
39,1010490
40,1010490
41,1010490
42,1010490
43,1010490
44,1010490
45,1010490
46,1010490
47,1010490
49,1010490
50,1010490
51,1010490
52,1103738
53,1103738
54,1103738
55,1103738
56,1103738
57,1103798
58,1103798
59,1103798
60,1103798
61,1103798
62,1103798
63,1103798
64,1103798
65,1103798
66,1103930
67,1103930
68,1103930
69,1103930
70,1103930
71,1103930
72,1103930
74,1103930
75,1103930
76,1103930
77,1103930
78,1103930
79,1103930
80,1103930
81,1271791
82,1271791
83,1271791
84,1271791
85,1271791
86,1271791
87,1271791
88,1271791
89,1271791
90,1271791
91,1271791
92,1271791
93,1271791
94,1271791
95,1271791
96,1271791
97,1271791
99,1271791
100,1271791
101,1271791
102,1271791
103,1271791
104,1271791
105,1271791
106,1271791
107,1271791
108,1271791
109,1271791
110,1271791
111,1549146
112,1549146
113,1549146
114,1549146
115,1549146
116,1549266
117,1549266
118,1549266
119,1549266
120,1549266
121,1549266
123,1549266
124,1549266
125,1549266
126,1549266
127,1549266
128,1549266
129,1549266
130,1549266
131,1549266
132,1549266
133,1549266
134,1549266
135,1549266
136,1549266
137,1549266
138,1549266
139,1549266
140,1549266
141,1861540
142,1861540
143,1861540
144,1861540
145,1861540
146,1861600
148,1861600
149,1861600
150,1861600
151,1861600
152,1861600
153,1861600
154,1861600
155,1861600
156,1861600
157,1861600
158,1861600
159,1861600
160,1861600
161,1861600
162,1861600
163,1861600
164,1861600
165,1861600
166,1861600
167,1861600
168,1861600
169,1861600
170,1861600
172,2183516
173,2183516
174,2183516
175,2183516
176,2183516
177,2183636
178,2183636
179,2183636
180,2183636
181,2183636
182,2183636
183,2183636
184,2183636
185,2183636
186,2183636
187,2183636
188,2183636
189,2183636
190,2183636
191,2183636
192,2183636
193,2183636
194,2183636
195,2183636
197,2183636
198,2183636
199,2183636
200,2183636
201,2183636
202,2521652
203,2521652
204,2521652
205,2521652
206,2521652
207,2521712
208,2521712
209,2521712
210,2521712
211,2521712
212,2521712
213,2521712
214,2521712
215,2521712
216,2521712
217,2521712
218,2521712
219,2521712
220,2521712
222,2521712
223,2521712
224,2521712
225,2521712
226,2521712
227,2521712
228,2521712
229,2521712
230,2521712
231,2819277
232,2819277
233,2819277
234,2819277
235,2819277
236,2819397
237,2819397
238,2819397
239,2819397
240,2819397
241,2819397
242,2819397
243,2819397
244,2819397
246,2819397
247,2819397
248,2819397
249,2819397
250,2819397
251,2819397
252,2819397
253,2819397
254,2819397
255,2819397
256,2819397
257,2819397
258,2819397
259,2819397
260,2819397
261,3032927
262,3032927
263,3032927
264,3032927
265,3032927
266,3032987
267,3032987
268,3032987
269,3032987
271,3032987
272,3032987
273,3032987
274,3032987
275,3032987
276,3032987
277,3032987
278,3032987
279,3032987
280,3032987
281,3032987
282,3032987
283,3032987
284,3032987
285,3032987
286,3032987
287,3032987
288,3032987
289,3032987
290,3032987
291,3208393
292,3208393
293,3208393
294,3208393
296,3208393
297,3208453
298,3208453
299,3208453
300,3208453
301,3208453
302,3208453
303,3208453
304,3208453
305,3208453
306,3208453
307,3208453
308,3208453
309,3208453
310,3208453
311,3208453
312,3208453
313,3208453
314,3208453
315,3208453
316,3208453
317,3208453
318,3208453
320,3208453
321,3208453
322,3459998
323,3459998
324,3459998
325,3459998
326,3459998
327,3460058
328,3460058
329,3460058
330,3460058
331,3460058
332,3460058
333,3460058
334,3460058
335,3460058
336,3460058
337,3460058
338,3460058
339,3460058
340,3460058
341,3460058
342,3460058
343,3460058
345,3460058
346,3460058
347,3460058
348,3460058
349,3460058
350,3460058
351,3460147
352,3725465
353,3725465
354,3725465
355,3725465
356,3725525
357,3725525
358,3725525
359,3725525
360,3725525
361,3725525
362,3725525
363,3725525
364,3725525
365,3725525
366,3725525
367,3725525
369,3725525
370,3725525
371,3725525
