time(s),total_rx(bytes)
0,0
1,553
2,553
3,553
4,553
5,553
6,553
7,553
8,553
9,553
10,553
12,553
13,553
14,553
15,553
16,553
17,553
18,553
19,553
20,607
21,607
22,607
23,607
24,607
25,649
26,649
27,649
28,649
29,649
30,649
31,2037
32,2384
33,2384
34,2731
35,2731
36,2731
37,3078
39,3078
40,3078
41,3078
42,3078
43,3078
44,3078
45,3425
46,3425
47,3425
48,3425
49,3425
50,3425
51,3425
52,3425
53,3425
54,3425
55,3425
56,3425
57,3772
58,3772
59,3772
60,3772
61,3772
62,3814
63,3814
65,3814
66,3814
67,3814
68,3814
69,3814
70,3814
71,3814
72,3814
73,3814
74,3814
75,3814
76,3814
77,3814
78,3814
79,3814
80,3868
81,3868
82,3868
83,3868
84,3868
85,4810
86,4810
87,4810
88,4810
89,4810
90,5223
92,5223
93,5223
94,5223
95,5223
96,5223
97,5223
98,5223
99,5223
100,5223
101,5223
102,5223
103,5223
104,5223
105,5223
106,5223
107,5223
108,5223
109,5223
110,5223
111,5223
112,5223
113,5223
114,5223
115,5223
116,5223
117,5223
119,5223
120,5223
121,5917
122,6611
123,6958
124,7305
125,7305
126,7347
127,7347
128,8247
129,8247
130,8247
131,8247
132,8289
133,8289
134,8289
135,8289
136,8289
137,8289
138,8289
139,8289
140,8343
141,8343
142,8343
143,8343
145,8343
146,8343
147,8343
148,8343
149,8343
150,8343
151,8756
152,8756
153,8756
154,8756
155,8756
156,8798
157,8798
158,8798
159,8798
160,8798
161,8798
162,8798
163,8798
164,8798
165,8798
166,8798
167,8798
168,8798
169,8798
170,8852
172,8852
173,8852
174,8852
175,8852
176,8894
177,8894
178,8894
179,8894
180,8894
181,9307
182,9307
183,9307
184,9307
185,9307
186,9349
187,9349
188,9349
189,9349
190,9349
191,9349
192,9349
193,9349
194,9349
195,9349
196,9349
197,9349
199,9349
200,9349
201,9349
202,9349
203,9349
204,9349
205,9349
206,9349
207,9349
208,9349
209,9349
210,9349
211,10390
212,11084
213,11084
214,11431
215,11431
216,11431
217,11778
218,11778
219,11778
220,11778
221,11778
222,11778
223,11778
225,12125
226,12125
227,12125
228,12125
229,12125
230,12167
231,12167
232,12167
233,12167
234,12167
235,12167
236,12167
237,12167
238,13067
239,13067
240,13067
241,13067
242,13109
243,13109
244,13109
245,13109
246,13109
247,13109
248,13109
249,13109
250,13109
252,13109
253,13109
254,13109
255,13109
256,13109
257,13109
258,13109
259,13109
260,13163
261,13163
262,13163
263,13163
264,13163
265,13163
266,13163
267,13163
268,13163
269,13163
270,13163
271,14551
272,14898
273,14898
274,15245
275,15245
276,15245
278,15592
279,15592
280,15634
281,15634
282,15634
283,15634
284,16534
285,16534
286,16534
287,16534
288,16534
289,16576
290,16630
291,16630
292,16630
293,16630
294,16630
295,16630
296,16630
297,16630
298,16630
299,16630
300,17043
301,17043
302,17043
303,17043
305,17043
306,17043
307,17043
308,17043
309,17043
310,17043
311,17043
312,17043
313,17043
314,17043
315,17043
316,17043
317,17043
318,17043
319,17043
320,17043
321,17043
322,17043
323,17043
324,17043
325,17043
326,17043
327,17043
328,17043
329,17043
331,17737
332,18431
333,18778
334,18778
335,19125
336,19125
337,19125
338,19472
339,19472
340,19472
341,19472
342,19472
343,19514
344,20414
345,20414
346,20414
347,20414
348,20414
349,20456
350,20510
351,20510
352,20510
353,20510
354,20510
355,20510
356,20510
358,20510
359,20510
360,20510
361,21204
362,21898
363,22245
364,22592
365,22592
366,22592
367,22592
368,22939
369,22939
370,22939
371,22939
372,22939
373,22939
374,23286
375,23286
376,23286
377,23286
378,23286
379,23286
380,23286
381,23286
382,23286
383,23286
385,23286
386,23286
387,23286
388,23633
389,23633
390,23633
391,23633
392,23633
393,23675
394,23675
395,23675
396,23675
397,23675
398,23675
399,23675
400,23675
401,23675
402,23675
403,23675
404,23675
405,23675
406,23675
407,23675
408,23675
409,23675
411,23729
412,23729
413,23729
414,23729
415,23771
416,24118
417,24118
418,24118
419,24118
420,24118
421,24118
422,24118
423,24118
424,24118
425,24118
426,24118
427,24118
428,24118
429,24118
430,24118
431,24118
432,24118
433,24118
434,24118
435,24118
436,24118
438,24118
439,24118
440,24188
441,24188
442,24188
443,24188
444,24188
445,24188
446,24188
447,24188
448,24188
449,24188
450,24188
451,24188
452,24188
453,24188
454,24188
455,24188
456,24188
457,24188
458,24188
459,24188
460,24188
461,24188
462,24188
464,24188
465,24188
466,24188
467,24188
468,24188
469,24535
470,24535
471,24535
472,24535
473,24535
474,24577
475,24577
476,24577
477,24577
478,24577
479,24577
480,24577
481,24577
482,24577
483,24577
484,24577
485,24577
486,24577
487,24577
488,24577
489,24577
491,24577
492,24577
493,24577
494,24577
495,24577
496,24577
497,24577
498,24577
499,24577
500,24577
501,24577
502,24577
503,24577
504,24577
505,24577
506,24577
507,24577
508,24577
509,24577
510,24577
511,24577
512,24577
513,24577
514,24577
515,24577
516,24577
518,24577
519,24577
520,24577
521,24577
522,24577
523,24577
524,24577
525,24577
526,24577
527,24577
528,24577
529,24577
530,24577
531,24577
532,24577
533,24577
534,24577
535,24577
536,24577
537,24577
538,24577
539,24577
540,24791
541,24939
542,24939
544,25087
545,25087
546,25129
547,25129
548,25822
549,25822
550,25822
551,25822
552,25822
553,25864
554,25864
555,25864
556,25864
557,25864
558,25864
559,25864
560,25918
561,25918
562,25918
563,25918
564,25918
565,25918
566,25918
567,25972
568,26026
569,26026
571,26720
572,27414
573,27761
574,28108
575,28108
576,28108
577,28108
578,28455
579,28455
580,28455
581,28455
582,28455
583,28455
584,28802
585,28802
586,28802
587,28802
588,28802
589,28802
590,28802
591,28802
592,28802
593,28802
594,28802
595,28802
597,28802
598,29149
599,29149
600,29149
601,29149
602,29149
603,29191
604,29191
605,29191
606,29191
607,29191
608,29257
609,29257
610,29257
611,29257
612,29257
613,29299
614,29299
615,29299
616,29299
617,29299
618,29299
619,29299
620,29299
621,29299
622,29299
624,29299
625,30199
626,30199
627,30253
628,30253
629,30253
630,30253
631,30253
632,30253
633,30253
634,30253
635,30253
636,30253
637,30253
638,30253
639,30253
640,30253
641,30253
642,30253
643,30253
644,30253
645,30253
646,30253
647,30253
648,30253
650,30253
651,30253
652,30253
653,30253
654,30253
655,30253
656,30253
657,30253
658,30253
659,30253
660,30253
661,31294
662,31988
663,31988
664,32335
665,32335
666,32335
667,32682
668,32682
669,32682
670,32682
671,32682
672,32724
673,32724
674,33624
675,33624
677,33624
678,33624
679,33624
680,33666
681,33666
682,33666
683,33666
684,33666
685,33666
686,33666
687,33720
688,33720
689,33720
690,33720
691,34133
692,34133
693,34133
694,34133
695,34133
696,34133
697,34133
698,34133
699,34133
700,34133
701,34133
703,34133
704,34133
705,34133
706,34133
707,34133
708,34133
709,34133
710,34133
711,34133
712,34133
713,34133
714,34133
715,34133
716,34133
717,34133
718,34133
719,34133
720,34133
721,35521
722,35868
723,35868
724,36215
725,36215
726,36215
727,36562
728,36562
730,36562
731,36562
732,36562
733,36562
734,36562
735,36909
736,36909
737,36909
738,36909
739,36951
740,36951
741,36951
742,36951
743,36951
744,36951
745,36951
746,36951
747,37905
748,37905
749,37905
750,37905
751,37905
752,37905
753,37905
754,37905
756,37905
757,37905
758,37905
759,37905
760,37905
761,37905
762,37905
763,37905
764,37905
765,37905
766,37905
767,37905
768,37905
769,37905
770,37905
771,37905
772,37905
773,37905
774,37905
775,37905
776,37905
777,37905
778,37905
779,37905
780,38252
781,39293
783,39640
784,39640
785,39987
786,39987
787,39987
788,40334
789,40334
790,40334
791,40334
792,40334
793,40334
794,40681
795,40681
796,40681
797,40681
798,40681
799,40723
800,40723
801,40723
802,40723
803,40723
804,40723
805,40723
