time(s),total_tx(bytes)
0,0
1,0
2,3731
3,6066
4,7467
5,8868
6,9802
8,10736
9,10736
10,10736
11,10736
12,10736
13,10736
14,10736
15,10736
16,10736
17,10736
18,10736
19,10736
20,10736
21,10736
22,10736
23,10736
24,10736
25,10736
26,10736
27,10736
28,10736
29,10736
30,10736
31,13860
33,16195
34,18063
35,19464
36,20398
37,21332
38,21332
39,21332
40,21332
41,21332
42,21332
43,21332
44,21332
45,21332
46,21332
47,21332
48,21332
49,21332
50,21332
51,21332
52,21332
53,21332
54,21332
55,21332
56,21332
58,21332
59,21332
60,21332
61,21332
62,24923
63,26791
64,28192
65,29593
66,30994
67,31461
68,31928
69,31928
70,31928
71,31928
72,31928
73,31928
74,31928
75,31928
76,31928
77,31928
78,31928
79,31928
80,31928
82,31928
83,31928
84,31928
85,31928
86,31928
87,31928
88,31928
89,31928
90,31928
91,32717
92,35986
93,37854
94,39255
95,40189
96,41123
97,42057
98,42524
99,42524
100,42524
101,42524
102,42524
103,42524
104,42524
105,42524
107,42524
108,42524
109,42524
110,42524
111,42524
112,42524
113,42524
114,42524
115,42524
116,42524
117,42524
118,42524
119,42524
120,42524
121,44247
122,47316
123,48717
124,50118
125,51052
126,51986
127,52920
128,53387
129,53387
131,53387
132,53387
133,53387
134,53387
135,53387
136,53387
137,53387
138,53387
139,53387
140,53387
141,53387
142,53387
143,53387
144,53387
145,53387
146,53387
147,53387
148,53387
149,53387
150,53387
151,56044
152,57912
153,59780
154,60714
156,62115
157,63049
158,63983
159,63983
160,63983
161,63983
162,63983
163,63983
164,63983
165,63983
166,63983
167,63983
168,63983
169,63983
170,63983
171,63983
172,63983
173,63983
174,63983
175,63983
176,63983
177,63983
179,63983
180,63983
181,63983
182,67107
183,68975
184,70376
185,71777
186,72711
187,73645
188,74579
189,74579
190,74579
191,74579
192,74579
193,74579
194,74579
195,74579
196,74579
197,74579
198,74579
199,74579
200,74579
201,74579
202,74579
204,74579
205,74579
206,74579
207,74579
208,74579
209,74579
210,74579
211,74901
212,78170
213,80038
214,81439
215,82373
216,83307
217,84241
218,85175
220,85175
221,85175
222,85175
223,85175
224,85175
225,85175
226,85175
227,85175
228,85175
229,85175
230,85175
231,85175
232,85175
233,85175
234,85175
235,85175
236,85175
237,85175
238,85175
239,85175
240,85175
241,87832
242,89700
243,91568
245,92629
246,93703
247,94637
248,95571
249,96038
250,96038
251,96038
252,96038
253,96038
254,96038
255,96038
256,96038
257,96038
258,96038
259,96038
260,96038
261,96038
262,96038
263,96038
264,96038
265,96038
266,96038
267,96038
268,96038
270,96038
271,96038
272,99162
273,101030
274,102431
275,103832
276,104766
277,105700
278,106167
279,106634
280,106634
281,106634
282,106634
283,106634
284,106634
285,106634
286,106634
287,106634
288,106634
289,106634
290,106634
291,106634
292,106634
294,106634
295,106634
296,106634
297,106634
298,106634
299,106634
300,106634
301,106634
302,110225
303,112093
304,113494
305,114428
306,115362
307,116296
308,117230
309,117230
310,117230
311,117230
312,117230
313,117230
314,117230
315,117230
316,117230
317,117230
319,117230
320,117230
321,117230
322,117230
323,117230
324,117230
325,117230
326,117230
327,117230
328,117230
329,117230
330,117230
331,118486
332,121288
333,122689
334,124090
335,125024
336,125958
337,126892
338,127826
339,127826
340,127826
341,127826
342,127826
344,127826
345,127826
346,127826
347,127826
348,127826
349,127826
350,127826
351,127826
352,127826
353,127826
354,127826
355,127826
356,127826
357,127826
358,127826
359,127826
360,127826
361,130016
362,132351
363,133752
364,135153
365,136087
366,137021
368,137955
369,138422
370,138422
371,138422
372,138422
373,138422
374,138422
375,138422
376,138422
377,138422
378,138422
379,138422
380,138422
381,138422
382,138422
383,138422
384,138422
385,138422
386,138422
387,138422
388,138422
389,138422
390,138422
391,141346
393,143214
394,144615
395,146016
396,146950
397,147884
398,148351
399,149285
400,149285
401,149285
402,149285
403,149285
404,149285
405,149285
406,149285
407,149285
408,149285
409,149285
410,149285
411,149285
412,149285
413,149285
414,149285
415,149285
417,149285
418,149285
419,149285
420,149285
421,149285
422,152409
423,154277
424,155678
425,157079
426,158013
427,158480
428,159414
429,159881
430,159881
431,159881
432,159881
433,159881
434,159881
435,159881
436,159881
437,159881
438,159881
439,159881
440,159881
442,159881
443,159881
