time(s),total_tx(bytes)
0,0
1,420
2,420
3,420
4,420
5,420
6,420
7,420
8,420
9,420
10,420
12,420
13,420
14,420
15,420
16,420
17,420
18,420
19,420
20,728
21,866
22,912
23,912
24,958
25,1004
26,1004
27,1004
28,1004
29,1004
30,1004
31,1004
32,1004
33,1004
34,1004
35,1004
36,1004
37,1004
39,1004
40,1004
41,1004
42,1004
43,1004
44,1004
45,1004
46,1004
47,1004
48,1004
49,1004
50,1004
51,1004
52,1004
53,1004
54,1004
55,1004
56,1004
57,1004
58,1004
59,1004
60,1004
61,1004
62,1050
63,1050
65,1050
66,1050
67,1050
68,1050
69,1050
70,1050
71,1050
72,1050
73,1050
74,1050
75,1050
76,1050
77,1050
78,1050
79,1050
80,1450
81,1496
82,1542
83,1588
84,1588
85,2100
86,2100
87,2146
88,2146
89,2146
90,2454
92,2454
93,2454
94,2454
95,2454
96,2454
97,2454
98,2454
99,2454
100,2454
101,2454
102,2454
103,2454
104,2454
105,2454
106,2454
107,2454
108,2454
109,2454
110,2454
111,2454
112,2454
113,2454
114,2454
115,2454
116,2454
117,2454
119,2454
120,2454
121,2454
122,2454
123,2454
124,2454
125,2454
126,2500
127,2500
128,2966
129,2966
130,2966
131,2966
132,3012
133,3012
134,3012
135,3012
136,3012
137,3012
138,3012
139,3012
140,3412
141,3504
142,3504
143,3550
145,3550
146,3550
147,3596
148,3596
149,3596
150,3596
151,3904
152,3904
153,3904
154,3904
155,3904
156,3950
157,3950
158,3950
159,3950
160,3950
161,3950
162,3950
163,3950
164,3950
165,3950
166,3950
167,3950
168,3950
169,3950
170,4396
172,4442
173,4442
174,4488
175,4488
176,4534
177,4580
178,4580
179,4580
180,4580
181,4888
182,4888
183,4888
184,4934
185,4934
186,4980
187,4980
188,4980
189,4980
190,4980
191,4980
192,4980
193,4980
194,4980
195,4980
196,5026
197,5026
199,5026
200,5026
201,5026
202,5026
203,5026
204,5026
205,5026
206,5026
207,5026
208,5026
209,5026
210,5026
211,5026
212,5026
213,5026
214,5026
215,5026
216,5026
217,5026
218,5026
219,5026
220,5026
221,5026
222,5026
223,5026
225,5026
226,5026
227,5026
228,5026
229,5026
230,5072
231,5072
232,5072
233,5072
234,5072
235,5072
236,5072
237,5072
238,5538
239,5538
240,5538
241,5538
242,5584
243,5584
244,5584
245,5584
246,5584
247,5584
248,5584
249,5584
250,5584
252,5584
253,5584
254,5584
255,5584
256,5584
257,5584
258,5584
259,5584
260,5938
261,6030
262,6076
263,6076
264,6122
265,6122
266,6122
267,6122
268,6122
269,6122
270,6122
271,6122
272,6122
273,6122
274,6122
275,6122
276,6122
278,6122
279,6122
280,6168
281,6168
282,6168
283,6168
284,6634
285,6634
286,6634
287,6634
288,6634
289,6680
290,7034
291,7126
292,7172
293,7218
294,7218
295,7218
296,7218
297,7264
298,7264
299,7264
300,7572
301,7572
302,7572
303,7618
305,7618
306,7618
307,7618
308,7618
309,7618
310,7618
311,7618
312,7618
313,7618
314,7618
315,7618
316,7618
317,7618
318,7618
319,7618
320,7618
321,7618
322,7618
323,7618
324,7618
325,7618
326,7618
327,7618
328,7618
329,7618
331,7618
332,7618
333,7618
334,7618
335,7618
336,7618
337,7618
338,7618
339,7618
340,7618
341,7618
342,7618
343,7664
344,8130
345,8130
346,8130
347,8130
348,8130
349,8176
350,8576
351,8622
352,8668
353,8714
354,8714
355,8714
356,8714
358,8714
359,8714
360,8714
361,8714
362,8714
363,8714
364,8714
365,8714
366,8714
367,8714
368,8714
369,8714
370,8714
371,8714
372,8714
373,8714
374,8714
375,8714
376,8714
377,8714
378,8714
379,8714
380,8714
381,8714
382,8714
383,8714
385,8714
386,8714
387,8714
388,8714
389,8714
390,8714
391,8714
392,8714
393,8760
394,8760
395,8760
396,8760
397,8760
398,8760
399,8760
400,8760
401,8760
402,8760
403,8760
404,8760
405,8760
406,8760
407,8760
408,8760
409,8760
411,9206
412,9252
413,9252
414,9298
415,9344
416,9344
417,9344
418,9344
419,9344
420,9344
421,9344
422,9344
423,9344
424,9344
425,9344
426,9344
427,9344
428,9344
429,9344
430,9344
431,9344
432,9344
433,9344
434,9344
435,9344
436,9344
438,9344
439,9344
440,9344
441,9344
442,9344
443,9344
444,9344
445,9344
446,9344
447,9344
448,9344
449,9344
450,9344
451,9344
452,9344
453,9344
454,9344
455,9344
456,9344
457,9344
458,9344
459,9344
460,9344
461,9344
462,9344
464,9344
465,9344
466,9344
467,9344
468,9344
469,9344
470,9344
471,9344
472,9344
473,9344
474,9390
475,9390
476,9390
477,9390
478,9390
479,9390
480,9390
481,9390
482,9390
483,9390
484,9390
485,9390
486,9390
487,9390
488,9390
489,9390
491,9390
492,9390
493,9390
494,9390
495,9390
496,9390
497,9390
498,9390
499,9390
500,9390
501,9390
502,9390
503,9390
504,9390
505,9390
506,9390
507,9390
508,9390
509,9390
510,9390
511,9390
512,9390
513,9390
514,9390
515,9390
516,9390
518,9390
519,9390
520,9390
521,9390
522,9390
523,9390
524,9390
525,9390
526,9390
527,9390
528,9390
529,9390
530,9390
531,9390
532,9390
533,9390
534,9390
535,9390
536,9390
537,9390
538,9390
539,9390
540,9390
541,9390
542,9390
544,9390
545,9390
546,9436
547,9436
548,9916
549,9916
550,9916
551,9916
552,9916
553,9962
554,9962
555,9962
556,9962
557,9962
558,9962
559,9962
560,10362
561,10408
562,10454
563,10500
564,10500
565,10500
566,10592
567,10652
568,10712
569,10712
571,10712
572,10712
573,10712
574,10712
575,10712
576,10712
577,10712
578,10712
579,10712
580,10712
581,10712
582,10712
583,10712
584,10712
585,10712
586,10712
587,10712
588,10712
589,10712
590,10712
591,10712
592,10712
593,10712
594,10712
595,10712
597,10712
598,10712
599,10712
600,10712
601,10712
602,10712
603,10758
604,10758
605,10758
606,10758
607,10758
608,10862
609,10862
610,10862
611,10862
612,10862
613,10908
614,10908
615,10908
616,10908
617,10908
618,10908
619,10908
620,10908
621,10908
622,10908
624,10908
625,11374
626,11374
627,11682
628,11820
629,11866
630,11866
631,11912
632,11912
633,11912
634,11958
635,11958
636,11958
637,11958
638,11958
639,11958
640,11958
641,11958
642,11958
643,11958
644,11958
645,11958
646,11958
647,11958
648,11958
650,11958
651,11958
652,11958
653,11958
654,11958
655,11958
656,11958
657,11958
658,11958
659,11958
660,11958
661,11958
662,11958
663,11958
664,11958
665,11958
666,11958
667,11958
668,11958
669,11958
670,11958
671,11958
672,12004
673,12004
674,12470
675,12470
677,12470
678,12470
679,12470
680,12516
681,12516
682,12516
683,12516
684,12516
685,12516
686,12516
687,12870
688,12962
689,13008
690,13054
691,13362
692,13362
693,13362
694,13362
695,13362
696,13362
697,13362
698,13362
699,13362
700,13362
701,13362
703,13362
704,13362
705,13362
706,13362
707,13362
708,13362
709,13362
710,13362
711,13362
712,13362
713,13362
714,13362
715,13362
716,13362
717,13362
718,13362
719,13362
720,13362
721,13362
722,13362
723,13362
724,13362
725,13362
726,13362
727,13362
728,13362
730,13362
731,13362
732,13362
733,13362
734,13362
735,13362
736,13362
737,13362
738,13362
739,13408
740,13408
741,13408
742,13408
743,13408
744,13408
745,13408
746,13408
747,14274
748,14320
749,14366
750,14412
751,14412
752,14412
753,14412
754,14412
756,14412
757,14412
758,14412
759,14412
760,14412
761,14412
762,14412
763,14412
764,14412
765,14412
766,14412
767,14412
768,14412
769,14412
770,14412
771,14412
772,14412
773,14412
774,14412
775,14412
776,14412
777,14412
778,14412
779,14412
780,14412
781,14412
783,14412
784,14412
785,14412
786,14412
787,14412
788,14412
789,14412
790,14412
791,14412
792,14412
793,14412
794,14412
795,14412
796,14412
797,14412
798,14412
799,14458
800,14458
801,14458
802,14458
803,14458
804,14458
805,14458
806,14458
807,15370
809,15416
810,15416
811,15462
812,15462
813,15462
814,15462
815,15462
816,15462
817,15462
818,15462
819,15462
820,15462
821,15462
822,15462
823,15462
824,15462
825,15462
826,15462
827,15462
828,15462
829,15462
830,15462
831,15462
832,15462
833,15462
834,15462
836,15462
837,15462
838,15462
839,15462
840,15462
841,15462
842,15462
843,15462
844,15462
845,15462
846,15462
847,15462
848,15462
849,15462
850,15462
851,15462
852,15462
853,15462
854,15462
855,15462
856,15462
857,15462
858,15462
859,15508
860,15508
862,15508
863,15508
864,15508
865,15508
866,15508
867,15816
868,16420
869,16466
870,16466
871,16512
872,16512
873,16512
874,16512
875,16512
876,16512
877,16512
878,16512
879,16512
880,16512
881,16512
882,16512
883,16512
884,16512
885,16512
886,16512
887,16512
889,16512
890,16512
891,16512
892,16512
893,16512
894,16512
895,16512
896,16512
897,16512
898,16512
899,16512
900,16512
901,16512
902,16512
903,16512
904,16512
905,16512
906,16512
907,16512
908,16512
909,16512
910,16512
911,16512
912,16512
913,16512
914,16512
916,16512
917,16512
918,16512
919,16512
920,16558
921,16558
922,16558
923,16558
924,16558
925,16558
926,16558
927,16912
928,17470
929,17516
930,17562
931,17562
932,17562
933,17562
934,17562
935,17562
