[2020-01-30 04:02:28] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 04:02:29] 
[2020-01-30 04:02:29] 04:02:28      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 04:02:29] 04:02:29    20001     26547   27.00    2.00    0.00    0.00   29.00    12  qrail-cli
[2020-01-30 04:02:30] 04:02:30    20001     26547   97.00    2.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 04:02:31] 04:02:31    20001     26547   98.02    0.99    0.00    0.00   99.01    12  qrail-cli
[2020-01-30 04:02:32] 04:02:32    20001     26547   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 04:02:33] 04:02:33    20001     26547  100.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 04:02:34] 04:02:34    20001     26547   31.00    0.00    0.00    0.00   31.00    12  qrail-cli
[2020-01-30 04:02:35] 04:02:35    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:36] 04:02:36    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:37] 04:02:37    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:38] 04:02:38    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:39] 04:02:39    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:40] 04:02:40    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:41] 04:02:41    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:42] 04:02:42    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:43] 04:02:43    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:44] 04:02:44    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:45] 04:02:45    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:46] 04:02:46    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:47] 04:02:47    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:48] 04:02:48    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:49] 04:02:49    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:50] 04:02:50    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:51] 04:02:51    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:52] 04:02:52    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:53] 04:02:53    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:54] 04:02:54    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:55] 04:02:55    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:02:56] 04:02:56    20001     26547    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
