time(s),cpu(%)
0,28.00
1,86.00
2,100.00
3,100.00
4,100.00
5,25.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,72.00
22,100.00
23,100.00
24,99.00
25,100.00
26,98.00
27,100.00
28,100.00
29,64.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.00
38,0.00
39,0.00
40,1.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,66.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,74.00
82,99.00
83,100.00
84,99.00
85,100.00
86,99.00
87,100.00
88,100.00
89,99.00
90,100.00
91,55.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
100,0.00
101,0.00
102,0.00
103,0.00
104,0.00
105,0.00
106,0.00
107,0.00
108,0.00
110,0.00
111,0.00
111,72.00
112,100.00
113,100.00
114,100.00
115,100.00
116,100.00
117,99.00
118,100.00
119,100.00
120,99.00
121,100.00
122,99.00
124,62.00
125,0.00
126,0.00
127,0.00
128,0.00
129,0.00
130,0.00
131,0.00
132,0.00
133,0.00
134,0.00
135,0.00
136,0.00
137,0.00
138,0.00
139,0.00
140,0.00
141,0.00
142,73.00
143,98.02
144,100.00
145,100.00
146,99.00
147,100.00
148,100.00
149,99.00
150,100.00
151,100.00
152,99.00
153,100.00
154,100.00
155,46.00
156,0.00
157,0.00
158,0.00
159,0.00
160,0.00
161,0.00
162,0.00
163,0.00
164,0.00
165,0.00
166,0.00
167,0.00
168,0.00
169,0.00
170,0.00
171,0.00
172,72.00
173,100.00
174,100.00
175,100.00
176,100.00
177,100.00
178,100.00
179,100.00
180,100.00
181,100.00
182,100.00
183,100.00
184,99.00
185,78.00
186,0.00
187,0.00
188,0.00
189,0.00
190,0.00
191,1.00
192,0.00
193,0.00
194,0.00
195,0.00
196,0.00
197,0.00
198,0.00
199,0.00
200,0.00
201,0.00
202,74.00
203,99.01
204,100.00
205,100.00
206,99.00
207,100.00
208,99.00
209,100.00
210,100.00
211,99.00
212,99.00
213,100.00
214,100.00
215,100.00
216,100.00
217,100.00
218,5.00
219,0.00
220,0.00
221,0.00
222,0.00
223,0.00
224,0.00
225,0.00
226,0.00
227,0.00
228,0.00
229,0.00
230,0.00
231,0.00
232,75.00
233,100.00
234,100.00
235,100.00
236,100.00
237,99.00
238,100.00
239,100.00
240,99.00
241,100.00
242,49.00
243,0.00
244,0.00
245,0.00
246,0.00
247,0.00
248,0.00
249,0.00
250,0.00
251,0.00
252,0.00
253,0.00
254,0.00
255,0.00
256,0.00
257,0.00
258,0.00
259,0.00
260,0.00
261,0.00
262,75.00
263,98.00
264,100.00
265,100.00
266,84.00
267,0.00
268,0.00
269,0.00
270,0.00
271,1.00
272,0.00
273,0.00
274,0.00
275,0.00
276,0.00
277,0.00
278,0.00
279,0.00
280,0.00
281,0.00
282,0.00
283,0.00
284,0.00
285,0.00
286,0.00
287,0.00
288,0.00
289,0.00
290,0.00
291,0.00
292,76.00
293,98.00
294,100.00
295,100.00
296,99.00
297,100.00
298,100.00
299,99.00
300,100.00
301,35.00
302,0.00
303,0.00
304,0.00
305,0.00
306,0.00
307,0.00
308,0.00
309,0.00
310,0.00
311,0.00
312,0.00
313,0.00
314,0.00
315,0.00
316,0.00
317,0.00
318,0.00
319,0.00
320,0.00
321,0.00
322,76.00
323,100.00
324,100.00
325,99.00
326,100.00
327,99.00
328,100.00
329,100.00
330,100.00
331,100.00
332,35.00
333,0.00
334,0.00
335,0.00
336,0.00
337,0.00
338,0.00
339,0.00
340,0.00
341,0.00
342,0.00
343,0.00
344,0.00
345,0.00
346,0.00
347,0.00
348,0.00
349,0.00
350,0.00
351,0.00
352,77.00
353,100.00
354,99.00
355,100.00
356,99.00
357,100.00
358,99.00
359,100.00
360,100.00
361,100.00
362,100.00
363,89.00
364,0.00
365,0.00
366,0.00
367,0.00
368,0.00
369,0.00
370,0.00
371,0.00
372,0.00
373,0.00
374,0.00
375,0.00
376,0.00
377,0.00
378,0.00
379,0.00
380,0.00
381,0.00
382,77.00
383,100.00
384,99.00
385,99.01
386,100.00
387,99.00
388,100.00
389,100.00
390,99.00
391,6.00
392,0.00
393,0.00
394,0.00
395,0.00
396,0.00
397,0.00
398,0.00
399,0.00
400,0.00
401,1.00
402,0.00
403,0.00
404,0.00
405,0.00
406,0.00
407,0.00
408,0.00
409,0.00
410,0.00
411,0.00
412,77.00
413,99.00
414,100.00
415,100.00
416,100.00
417,99.00
418,100.00
419,100.00
420,99.00
421,100.00
422,69.00
423,0.00
424,0.00
425,0.00
426,0.00
427,0.00
428,0.00
429,0.00
430,0.00
431,1.00
432,0.00
433,0.00
434,0.00
435,0.00
436,0.00
437,0.00
438,0.00
439,0.00
440,0.00
441,0.00
442,77.00
443,100.00
444,100.00
445,99.01
446,100.00
447,99.00
448,100.00
449,100.00
450,100.00
451,100.00
452,100.00
453,100.00
454,100.00
455,13.00
456,0.00
457,0.00
458,0.00
459,0.00
460,0.00
461,0.00
462,0.00
463,0.00
464,0.00
465,0.00
466,0.00
467,0.00
468,0.00
469,0.00
470,0.00
471,0.00
472,79.00
473,100.00
474,99.00
475,100.00
476,100.00
477,100.00
478,100.00
479,100.00
480,99.00
481,100.00
482,99.00
483,44.00
484,0.00
485,0.00
486,0.00
487,0.00
488,0.00
489,0.00
490,0.00
491,0.00
492,0.00
493,0.00
494,0.00
495,0.00
496,0.00
497,0.00
498,0.00
499,0.00
500,0.00
501,1.00
502,79.00
503,100.00
504,100.00
505,99.01
506,99.00
507,100.00
508,99.00
509,100.00
510,98.00
511,100.00
512,5.00
513,0.00
514,0.00
515,0.00
516,0.00
517,0.00
518,0.00
519,0.00
520,0.00
521,0.00
522,0.00
523,0.00
524,0.00
525,0.00
526,0.00
527,0.00
528,0.00
529,0.00
530,0.00
531,0.00
532,80.00
533,100.00
534,99.00
535,100.00
536,99.00
537,100.00
538,17.00
539,0.00
540,0.00
541,0.00
542,0.00
543,0.00
544,0.00
545,0.00
546,0.00
547,0.00
548,0.00
549,0.00
550,0.00
551,0.00
552,0.00
553,0.00
554,0.00
555,0.00
556,0.00
557,0.00
558,0.00
559,0.00
560,0.00
561,0.00
562,80.00
563,100.00
564,100.00
565,100.00
566,99.01
567,100.00
568,99.00
569,100.00
570,92.00
571,0.00
572,0.00
573,0.00
574,0.00
575,0.00
576,0.00
577,0.00
578,0.00
579,0.00
580,0.00
581,0.00
582,0.00
583,0.00
584,0.00
585,0.00
586,0.00
587,0.00
588,0.00
589,0.00
590,0.00
591,0.00
592,82.00
593,99.00
594,100.00
595,100.00
596,99.00
597,100.00
598,100.00
599,100.00
600,100.00
601,100.00
602,100.00
603,29.00
604,0.00
605,0.00
606,0.00
607,0.00
608,0.00
609,0.00
610,0.00
611,0.00
612,0.00
613,0.00
614,0.00
615,0.00
616,0.00
617,0.00
618,0.00
619,0.00
620,0.00
621,0.00
622,82.00
623,99.00
624,100.00
625,99.00
626,100.00
627,100.00
628,100.00
629,99.01
630,100.00
631,100.00
632,100.00
633,100.00
634,99.00
635,100.00
636,33.00
637,0.00
638,0.00
639,0.00
640,0.00
641,0.00
642,0.00
643,0.00
644,0.00
645,0.00
646,0.00
647,0.00
648,0.00
649,0.00
650,0.00
651,1.00
652,82.00
653,100.00
654,100.00
655,100.00
656,99.00
657,100.00
658,100.00
659,100.00
660,100.00
661,100.00
662,100.00
663,100.00
664,100.00
665,6.00
666,0.00
667,0.00
668,0.00
669,0.00
670,0.00
671,0.00
672,0.00
673,0.00
674,0.00
675,0.00
676,0.00
677,0.00
678,0.00
679,0.00
680,0.00
681,0.00
682,82.00
683,99.00
684,100.00
685,100.00
686,100.00
687,98.02
688,100.00
689,100.00
690,99.00
691,100.00
692,100.00
693,3.00
694,0.00
695,0.00
696,0.00
697,0.00
698,0.00
699,0.00
700,0.00
701,0.00
702,0.00
703,0.00
704,0.00
705,0.00
706,0.00
707,0.00
708,0.00
709,0.00
710,0.00
711,0.00
712,84.00
713,99.00
714,100.00
715,100.00
716,100.00
717,100.00
718,100.00
719,100.00
720,96.00
721,0.00
722,0.00
723,0.00
724,0.00
725,0.00
726,0.00
727,0.00
728,0.00
729,0.00
730,0.00
731,1.00
732,0.00
733,0.00
734,0.00
735,0.00
736,0.00
737,0.00
738,0.00
739,0.00
740,0.00
741,0.00
742,83.00
743,99.00
744,100.00
745,100.00
746,100.00
747,99.00
748,100.00
749,99.00
750,100.00
751,100.00
752,100.00
753,100.00
754,100.00
755,100.00
756,100.00
757,100.00
758,4.00
759,0.00
760,0.00
761,0.00
762,0.00
763,0.00
764,0.00
765,0.00
766,0.00
767,0.00
768,0.00
769,0.00
770,0.00
771,0.00
772,84.00
773,99.00
774,100.00
775,99.00
776,100.00
777,100.00
778,99.00
779,100.00
780,99.00
781,100.00
782,99.01
783,28.00
784,0.00
785,0.00
786,0.00
787,0.00
788,0.00
789,0.00
790,0.00
791,0.00
792,0.00
793,0.00
794,0.00
795,0.00
796,0.00
797,0.00
798,0.00
799,0.00
800,0.00
801,0.00
802,85.00
803,100.00
804,100.00
805,100.00
806,100.00
807,100.00
808,100.00
809,100.00
810,99.00
811,100.00
812,100.00
813,100.00
814,100.00
815,34.00
816,0.00
817,0.00
818,0.00
819,0.00
820,0.00
821,0.00
822,0.00
823,0.00
824,0.00
825,0.00
826,0.00
827,0.00
828,0.00
829,0.00
830,0.00
831,0.00
832,85.00
833,100.00
834,99.01
835,100.00
836,100.00
837,100.00
838,100.00
839,99.00
840,100.00
841,57.00
842,0.00
843,0.00
844,0.00
845,0.00
846,0.00
847,0.00
848,0.00
849,0.00
850,0.00
851,0.00
852,0.00
853,0.00
854,0.00
855,0.00
856,0.00
857,0.00
858,0.00
859,0.00
860,0.00
861,0.00
862,86.00
863,100.00
864,100.00
865,100.00
866,99.00
867,100.00
868,100.00
869,100.00
870,99.00
871,100.00
872,99.00
873,100.00
874,100.00
875,100.00
876,100.00
877,60.00
878,0.00
879,0.00
880,0.00
881,0.00
882,0.00
883,0.00
884,0.00
885,0.00
886,0.00
887,0.00
888,0.00
889,0.00
890,0.00
891,0.00
892,86.00
893,100.00
894,99.00
895,100.00
896,98.02
897,100.00
898,100.00
899,100.00
900,100.00
901,99.00
902,87.00
903,0.00
904,0.00
905,0.00
906,0.00
907,0.00
908,0.00
909,0.00
910,0.00
911,0.00
912,0.00
913,0.00
914,0.00
915,0.00
916,0.00
917,0.00
918,0.00
919,0.00
920,0.00
921,1.00
922,86.00
923,100.00
924,100.00
925,100.00
926,100.00
927,99.00
928,100.00
929,100.00
930,99.00
931,100.00
932,93.00
933,0.00
934,0.00
935,0.00
936,0.00
937,0.00
938,0.00
