[2020-02-01 10:15:28] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 10:15:28] 
[2020-02-01 10:15:28] 10:15:27      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-02-01 10:15:28] 10:15:28    20001     19650   26.00    2.00    0.00    0.00   28.00    12  qrail-cli
[2020-02-01 10:15:29] 10:15:29    20001     19650   83.00    3.00    0.00    0.00   86.00    12  qrail-cli
[2020-02-01 10:15:30] 10:15:30    20001     19650  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:15:31] 10:15:31    20001     19650  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:15:32] 10:15:32    20001     19650  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:15:33] 10:15:33    20001     19650   25.00    0.00    0.00    0.00   25.00    12  qrail-cli
[2020-02-01 10:15:34] 10:15:34    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:35] 10:15:35    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:36] 10:15:36    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:37] 10:15:37    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:38] 10:15:38    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:39] 10:15:39    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:40] 10:15:40    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:41] 10:15:41    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:42] 10:15:42    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:43] 10:15:43    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:15:44] 10:15:44    20001     19650    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
