[2020-01-30 06:56:59] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 06:57:00] 
[2020-01-30 06:57:00] 06:56:59      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 06:57:00] 06:57:00    20001     17374   26.00    1.00    0.00    0.00   27.00    12  qrail-cli
[2020-01-30 06:57:01] 06:57:01    20001     17374   88.00    5.00    0.00    0.00   93.00    12  qrail-cli
[2020-01-30 06:57:02] 06:57:02    20001     17374   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 06:57:03] 06:57:03    20001     17374   97.00    3.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 06:57:04] 06:57:04    20001     17374   97.00    2.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 06:57:05] 06:57:05    20001     17374   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 06:57:06] 06:57:06    20001     17374   97.00    3.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 06:57:07] 06:57:07    20001     17374   24.00    0.00    0.00    0.00   24.00    12  qrail-cli
[2020-01-30 06:57:08] 06:57:08    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:09] 06:57:09    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:10] 06:57:10    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:11] 06:57:11    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:12] 06:57:12    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:13] 06:57:13    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:14] 06:57:14    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:15] 06:57:15    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:16] 06:57:16    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:17] 06:57:17    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:18] 06:57:18    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:19] 06:57:19    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:20] 06:57:20    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:21] 06:57:21    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:22] 06:57:22    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:23] 06:57:23    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:24] 06:57:24    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:25] 06:57:25    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:26] 06:57:26    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:27] 06:57:27    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:28] 06:57:28    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:29] 06:57:29    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:30] 06:57:30    20001     17374   37.00    1.00    0.00    0.00   38.00    12  qrail-cli
[2020-01-30 06:57:31] 06:57:31    20001     17374   96.00    3.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 06:57:32] 06:57:32    20001     17374   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 06:57:33] 06:57:33    20001     17374   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 06:57:34] 06:57:34    20001     17374   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 06:57:35] 06:57:35    20001     17374   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 06:57:36] 06:57:36    20001     17374   33.00    0.00    0.00    0.00   33.00    12  qrail-cli
[2020-01-30 06:57:37] 06:57:37    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:38] 06:57:38    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:39] 06:57:39    20001     17374    1.00    0.00    0.00    0.00    1.00    12  qrail-cli
[2020-01-30 06:57:40] 06:57:40    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:41] 06:57:41    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:42] 06:57:42    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:43] 06:57:43    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:44] 06:57:44    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:45] 06:57:45    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:46] 06:57:46    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:47] 06:57:47    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:48] 06:57:48    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:57:49] 06:57:49    20001     17374    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
