time(s),mem(%)
0,0.17
1,0.35
2,0.45
3,0.51
4,0.57
5,0.58
6,0.58
7,0.58
8,0.58
9,0.58
10,0.58
11,0.58
12,0.58
13,0.58
14,0.58
15,0.58
16,0.58
17,0.58
18,0.58
19,0.58
20,0.58
21,0.58
22,0.58
23,0.58
24,0.58
25,0.58
26,0.58
27,0.58
28,0.58
29,0.58
30,0.59
31,0.59
32,0.60
33,0.60
34,0.60
35,0.60
36,0.60
37,0.60
38,0.60
39,0.60
40,0.60
41,0.60
42,0.60
43,0.60
44,0.60
45,0.60
46,0.60
47,0.60
48,0.60
49,0.60
50,0.60
51,0.60
52,0.60
53,0.60
54,0.60
55,0.60
56,0.60
57,0.60
58,0.60
59,0.60
60,0.60
61,0.60
62,0.60
63,0.60
64,0.60
65,0.60
66,0.60
67,0.60
68,0.60
69,0.60
70,0.60
71,0.60
72,0.60
73,0.60
74,0.60
75,0.60
76,0.60
77,0.60
78,0.60
79,0.60
80,0.60
81,0.60
82,0.60
83,0.60
84,0.60
85,0.60
86,0.60
87,0.60
88,0.60
89,0.60
90,0.60
91,0.60
92,0.60
93,0.60
94,0.60
95,0.60
96,0.60
97,0.60
98,0.60
99,0.60
100,0.60
101,0.60
102,0.60
103,0.60
104,0.60
105,0.60
106,0.60
107,0.60
108,0.60
109,0.60
110,0.60
111,0.60
112,0.60
113,0.60
114,0.60
115,0.60
116,0.60
117,0.60
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.60
129,0.60
130,0.60
131,0.60
132,0.60
133,0.60
134,0.60
135,0.60
136,0.60
137,0.60
138,0.60
139,0.60
140,0.60
141,0.60
142,0.60
143,0.60
144,0.60
145,0.60
146,0.60
147,0.60
148,0.60
149,0.60
150,0.60
151,0.61
152,0.61
153,0.61
154,0.61
155,0.61
156,0.61
157,0.61
158,0.61
159,0.61
160,0.61
161,0.61
162,0.61
163,0.61
164,0.61
165,0.61
166,0.61
167,0.61
168,0.61
169,0.61
170,0.61
171,0.61
172,0.61
173,0.61
174,0.61
175,0.61
176,0.61
177,0.61
178,0.61
179,0.61
180,0.61
181,0.61
182,0.61
183,0.59
184,0.59
185,0.59
186,0.59
187,0.59
188,0.59
189,0.59
190,0.59
191,0.59
192,0.59
193,0.59
194,0.59
195,0.59
196,0.59
197,0.59
198,0.59
199,0.59
200,0.59
201,0.59
202,0.59
203,0.59
204,0.59
205,0.59
206,0.59
207,0.59
208,0.59
209,0.59
210,0.60
211,0.60
212,0.60
213,0.60
214,0.60
215,0.60
216,0.60
217,0.60
218,0.60
219,0.60
220,0.60
221,0.60
222,0.60
223,0.60
224,0.60
225,0.60
226,0.60
227,0.60
228,0.60
229,0.60
230,0.60
231,0.60
232,0.60
233,0.60
234,0.60
235,0.60
236,0.60
237,0.60
238,0.60
239,0.60
240,0.60
241,0.60
242,0.60
243,0.60
244,0.60
245,0.60
246,0.60
247,0.60
248,0.60
249,0.60
250,0.60
251,0.60
252,0.60
253,0.60
254,0.60
255,0.60
256,0.60
257,0.60
258,0.60
259,0.60
260,0.60
261,0.60
262,0.60
263,0.60
264,0.60
265,0.60
266,0.60
267,0.60
268,0.60
269,0.60
270,0.61
271,0.61
272,0.61
273,0.59
274,0.59
275,0.59
276,0.59
277,0.59
278,0.59
279,0.59
280,0.59
281,0.59
282,0.59
283,0.59
284,0.59
285,0.59
286,0.59
287,0.59
288,0.59
289,0.59
290,0.59
291,0.59
292,0.59
293,0.59
294,0.59
295,0.59
296,0.59
297,0.59
298,0.59
299,0.59
300,0.60
301,0.59
302,0.60
303,0.59
304,0.60
305,0.59
306,0.59
307,0.59
308,0.59
309,0.59
310,0.59
311,0.59
312,0.59
313,0.59
314,0.59
315,0.59
316,0.59
317,0.59
318,0.59
319,0.59
320,0.59
321,0.59
322,0.59
323,0.59
324,0.59
325,0.59
326,0.59
327,0.59
328,0.59
329,0.59
330,0.60
331,0.61
332,0.61
333,0.61
334,0.61
335,0.61
336,0.61
337,0.61
338,0.61
339,0.61
340,0.61
341,0.61
342,0.61
343,0.61
344,0.61
345,0.61
346,0.61
347,0.61
348,0.61
349,0.61
350,0.61
351,0.61
352,0.61
353,0.61
354,0.61
355,0.61
356,0.61
357,0.61
358,0.61
359,0.61
360,0.61
361,0.61
362,0.61
363,0.61
364,0.61
365,0.61
366,0.61
367,0.61
368,0.61
369,0.61
370,0.61
371,0.61
372,0.61
373,0.61
374,0.61
375,0.61
376,0.61
377,0.61
378,0.61
379,0.61
380,0.61
381,0.61
382,0.61
383,0.61
384,0.61
385,0.61
386,0.61
387,0.61
388,0.61
389,0.61
390,0.61
391,0.61
392,0.61
393,0.61
394,0.61
395,0.61
396,0.61
397,0.61
398,0.61
399,0.61
400,0.61
401,0.61
402,0.61
403,0.61
404,0.61
405,0.61
406,0.61
407,0.61
408,0.61
409,0.61
410,0.61
411,0.61
412,0.61
413,0.61
414,0.61
415,0.61
416,0.61
417,0.61
418,0.61
419,0.61
420,0.61
421,0.61
422,0.62
423,0.61
424,0.61
425,0.61
426,0.61
427,0.61
428,0.61
429,0.61
430,0.61
431,0.61
432,0.61
433,0.61
434,0.61
435,0.61
436,0.61
437,0.61
438,0.61
439,0.61
440,0.61
441,0.61
442,0.61
443,0.61
444,0.61
445,0.61
446,0.61
447,0.61
448,0.61
449,0.61
450,0.62
451,0.62
452,0.62
453,0.62
454,0.62
455,0.62
456,0.62
457,0.62
458,0.62
459,0.62
460,0.62
461,0.62
462,0.62
463,0.62
464,0.62
465,0.62
466,0.62
467,0.62
468,0.62
469,0.62
470,0.62
471,0.62
472,0.62
473,0.62
474,0.62
475,0.62
476,0.62
477,0.62
478,0.62
479,0.62
480,0.61
481,0.61
482,0.61
483,0.61
484,0.61
485,0.61
486,0.61
487,0.61
488,0.61
489,0.61
490,0.61
491,0.61
492,0.61
493,0.61
494,0.61
495,0.61
496,0.61
497,0.61
498,0.61
499,0.61
500,0.61
501,0.61
502,0.61
503,0.61
504,0.61
505,0.61
506,0.61
507,0.61
508,0.61
509,0.61
510,0.62
511,0.61
512,0.61
513,0.61
514,0.61
515,0.61
516,0.61
517,0.61
518,0.61
519,0.61
520,0.61
521,0.61
522,0.61
523,0.61
524,0.61
525,0.61
526,0.61
527,0.61
528,0.61
529,0.61
530,0.61
531,0.61
532,0.61
533,0.61
534,0.61
535,0.61
536,0.61
537,0.61
538,0.61
539,0.61
540,0.62
541,0.61
542,0.61
543,0.61
544,0.61
545,0.61
546,0.61
547,0.61
548,0.61
549,0.61
550,0.61
551,0.61
552,0.61
553,0.61
554,0.61
555,0.61
556,0.61
557,0.61
558,0.61
559,0.61
560,0.61
561,0.61
562,0.61
563,0.61
564,0.61
565,0.61
566,0.61
567,0.61
568,0.61
569,0.61
570,0.62
571,0.62
572,0.63
573,0.62
574,0.62
575,0.62
576,0.62
577,0.62
578,0.62
579,0.62
580,0.62
581,0.62
582,0.62
583,0.62
584,0.62
585,0.62
586,0.62
587,0.62
588,0.62
589,0.62
590,0.62
591,0.62
592,0.62
593,0.62
594,0.62
595,0.62
596,0.62
597,0.62
598,0.62
599,0.62
600,0.62
601,0.62
602,0.63
603,0.62
604,0.62
605,0.62
606,0.62
607,0.62
608,0.62
