[2019-11-28 13:34:16] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 13:34:17] 
[2019-11-28 13:34:17] 13:34:16      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2019-11-28 13:34:17] 13:34:17    20001      5146   3148.51      0.00  431672   25096   0.20  qrail-cli
[2019-11-28 13:34:18] 13:34:18    20001      5146  10687.00      0.00  452660   46180   0.38  qrail-cli
[2019-11-28 13:34:19] 13:34:19    20001      5146   3636.00      0.00  463616   57256   0.47  qrail-cli
[2019-11-28 13:34:20] 13:34:20    20001      5146   7718.00      0.00  471752   65392   0.53  qrail-cli
[2019-11-28 13:34:21] 13:34:21    20001      5146   2708.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:22] 13:34:22    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:23] 13:34:23    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:24] 13:34:24    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:25] 13:34:25    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:26] 13:34:26    20001      5146     25.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:27] 13:34:27    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:28] 13:34:28    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:29] 13:34:29    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:30] 13:34:30    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:31] 13:34:31    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:32] 13:34:32    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:33] 13:34:33    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:34] 13:34:34    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:35] 13:34:35    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:36] 13:34:36    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:37] 13:34:37    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:38] 13:34:38    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:39] 13:34:39    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:40] 13:34:40    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:41] 13:34:41    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:42] 13:34:42    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:43] 13:34:43    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:44] 13:34:44    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:45] 13:34:45    20001      5146      0.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:46] 13:34:46    20001      5146   3990.00      0.00  479036   72740   0.59  qrail-cli
[2019-11-28 13:34:47] 13:34:47    20001      5146    717.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:48] 13:34:48    20001      5146    525.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:49] 13:34:49    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:50] 13:34:50    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:51] 13:34:51    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:52] 13:34:52    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:53] 13:34:53    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:54] 13:34:54    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:55] 13:34:55    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:56] 13:34:56    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:57] 13:34:57    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:58] 13:34:58    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:34:59] 13:34:59    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:00] 13:35:00    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:01] 13:35:01    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:02] 13:35:02    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:03] 13:35:03    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:04] 13:35:04    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:05] 13:35:05    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:06] 13:35:06    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:07] 13:35:07    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:08] 13:35:08    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:09] 13:35:09    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:10] 13:35:10    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:11] 13:35:11    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:12] 13:35:12    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:13] 13:35:13    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:14] 13:35:14    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:15] 13:35:15    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:16] 13:35:16    20001      5146      3.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:17] 13:35:17    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:18] 13:35:18    20001      5146  11721.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:19] 13:35:19    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:20] 13:35:20    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:21] 13:35:21    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:22] 13:35:22    20001      5146     26.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:23] 13:35:23    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:24] 13:35:24    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:25] 13:35:25    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:26] 13:35:26    20001      5146     24.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:27] 13:35:27    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:28] 13:35:28    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:29] 13:35:29    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:30] 13:35:30    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:31] 13:35:31    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:32] 13:35:32    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:33] 13:35:33    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:34] 13:35:34    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:35] 13:35:35    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:36] 13:35:36    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:37] 13:35:37    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:38] 13:35:38    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:39] 13:35:39    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:40] 13:35:40    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:41] 13:35:41    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:42] 13:35:42    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:43] 13:35:43    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:44] 13:35:44    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:45] 13:35:45    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:46] 13:35:46    20001      5146    227.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:47] 13:35:47    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:48] 13:35:48    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:49] 13:35:49    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:50] 13:35:50    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:51] 13:35:51    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:52] 13:35:52    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:53] 13:35:53    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:54] 13:35:54    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:55] 13:35:55    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:56] 13:35:56    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:57] 13:35:57    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:58] 13:35:58    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:35:59] 13:35:59    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:00] 13:36:00    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:01] 13:36:01    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:02] 13:36:02    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:03] 13:36:03    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:04] 13:36:04    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:05] 13:36:05    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:06] 13:36:06    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:07] 13:36:07    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:08] 13:36:08    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:09] 13:36:09    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:10] 13:36:10    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:11] 13:36:11    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:12] 13:36:12    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:13] 13:36:13    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:14] 13:36:14    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:15] 13:36:15    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:16] 13:36:16    20001      5146      5.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:17] 13:36:17    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:18] 13:36:18    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:19] 13:36:19    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:20] 13:36:20    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:21] 13:36:21    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:22] 13:36:22    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:23] 13:36:23    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:24] 13:36:24    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:25] 13:36:25    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:26] 13:36:26    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:27] 13:36:27    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:28] 13:36:28    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:29] 13:36:29    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:30] 13:36:30    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:31] 13:36:31    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:32] 13:36:32    20001      5146      7.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:33] 13:36:33    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:34] 13:36:34    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:35] 13:36:35    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:36] 13:36:36    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:37] 13:36:37    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:38] 13:36:38    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:39] 13:36:39    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:40] 13:36:40    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:41] 13:36:41    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:42] 13:36:42    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:43] 13:36:43    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
[2019-11-28 13:36:44] 13:36:44    20001      5146      0.00      0.00  479036   72744   0.59  qrail-cli
