time(s),mem(%)
0,0.21
1,0.36
2,0.45
3,0.53
4,0.59
5,0.58
6,0.58
7,0.58
8,0.58
9,0.58
10,0.58
11,0.58
12,0.58
13,0.58
14,0.58
15,0.58
16,0.58
17,0.59
18,0.60
19,0.59
20,0.60
21,0.59
22,0.59
23,0.59
24,0.59
25,0.59
26,0.59
27,0.59
28,0.59
29,0.59
30,0.59
31,0.59
32,0.59
33,0.59
34,0.59
35,0.59
36,0.59
37,0.59
38,0.59
39,0.59
40,0.59
41,0.59
42,0.59
43,0.59
44,0.59
45,0.59
46,0.59
47,0.60
48,0.59
49,0.61
50,0.59
51,0.59
52,0.59
53,0.59
54,0.59
55,0.59
56,0.59
57,0.59
58,0.59
59,0.59
60,0.59
61,0.59
62,0.59
63,0.59
64,0.59
65,0.59
66,0.59
67,0.59
68,0.59
69,0.59
70,0.59
71,0.59
72,0.59
73,0.59
74,0.59
75,0.59
76,0.59
77,0.59
78,0.61
79,0.60
80,0.59
81,0.59
82,0.59
83,0.59
84,0.59
85,0.59
86,0.59
87,0.59
88,0.59
89,0.59
90,0.59
91,0.59
92,0.59
93,0.59
94,0.59
95,0.59
96,0.59
97,0.59
98,0.59
99,0.59
100,0.59
101,0.59
102,0.59
103,0.59
104,0.59
105,0.59
106,0.59
107,0.61
108,0.61
109,0.60
110,0.60
111,0.60
112,0.60
113,0.60
114,0.60
115,0.60
116,0.60
117,0.60
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.60
129,0.60
130,0.60
131,0.60
132,0.60
133,0.60
134,0.60
135,0.60
136,0.60
137,0.60
138,0.60
139,0.60
140,0.60
141,0.60
142,0.60
143,0.60
144,0.60
145,0.60
146,0.60
147,0.60
148,0.60
149,0.60
150,0.60
151,0.60
152,0.60
153,0.60
154,0.60
155,0.60
156,0.60
157,0.60
158,0.60
159,0.60
160,0.60
161,0.60
162,0.60
163,0.60
164,0.60
165,0.60
166,0.60
167,0.59
168,0.61
169,0.59
170,0.59
171,0.59
172,0.59
173,0.59
174,0.59
175,0.59
176,0.59
177,0.59
178,0.59
179,0.59
180,0.59
181,0.59
182,0.59
183,0.59
184,0.59
185,0.59
186,0.59
187,0.59
188,0.59
189,0.59
190,0.59
191,0.59
192,0.59
193,0.59
194,0.59
195,0.59
196,0.59
197,0.60
198,0.60
199,0.60
200,0.61
201,0.60
202,0.60
203,0.60
204,0.60
205,0.60
206,0.60
207,0.60
208,0.60
209,0.60
210,0.60
211,0.60
212,0.60
213,0.60
214,0.60
215,0.60
216,0.60
217,0.60
218,0.60
219,0.60
220,0.60
221,0.60
222,0.60
223,0.60
224,0.60
225,0.60
226,0.60
227,0.61
228,0.61
229,0.61
230,0.61
231,0.61
232,0.61
233,0.61
234,0.61
235,0.61
236,0.61
237,0.61
238,0.61
239,0.61
240,0.61
241,0.61
242,0.61
243,0.61
244,0.61
245,0.61
246,0.61
247,0.61
248,0.61
249,0.61
250,0.61
251,0.61
252,0.61
253,0.61
254,0.61
255,0.61
256,0.61
257,0.61
258,0.61
259,0.62
260,0.61
261,0.61
262,0.61
263,0.61
264,0.61
265,0.61
266,0.61
267,0.61
268,0.61
269,0.61
270,0.61
271,0.61
272,0.61
273,0.61
274,0.61
275,0.61
276,0.61
277,0.61
278,0.61
279,0.61
280,0.61
281,0.61
282,0.61
283,0.61
284,0.61
285,0.61
286,0.61
287,0.61
288,0.60
289,0.60
290,0.60
291,0.60
292,0.60
293,0.60
294,0.60
295,0.60
296,0.60
297,0.60
298,0.60
299,0.60
300,0.60
301,0.60
302,0.60
303,0.60
304,0.60
305,0.60
306,0.60
307,0.60
308,0.60
309,0.60
310,0.60
311,0.60
312,0.60
313,0.60
314,0.60
315,0.60
316,0.60
317,0.61
318,0.61
319,0.61
320,0.62
321,0.60
322,0.61
323,0.61
324,0.60
325,0.60
326,0.60
327,0.60
328,0.60
329,0.60
330,0.60
331,0.60
332,0.60
333,0.60
334,0.60
335,0.60
336,0.60
337,0.60
338,0.60
339,0.60
340,0.60
341,0.60
342,0.60
343,0.60
344,0.60
345,0.60
346,0.60
347,0.61
348,0.62
349,0.60
350,0.60
351,0.60
352,0.60
353,0.60
354,0.60
355,0.60
356,0.60
357,0.60
358,0.60
359,0.60
360,0.60
361,0.60
362,0.60
363,0.60
364,0.60
365,0.60
366,0.60
367,0.60
368,0.60
369,0.60
370,0.60
371,0.60
372,0.60
373,0.60
374,0.60
375,0.60
376,0.60
377,0.60
378,0.61
379,0.60
380,0.61
381,0.60
382,0.60
383,0.60
384,0.60
385,0.60
386,0.60
387,0.60
388,0.60
389,0.60
390,0.60
391,0.60
392,0.60
393,0.60
394,0.60
395,0.60
396,0.60
397,0.60
398,0.60
399,0.60
400,0.60
401,0.60
402,0.60
403,0.60
404,0.60
405,0.60
406,0.60
407,0.60
408,0.61
409,0.62
410,0.62
411,0.62
412,0.62
413,0.62
414,0.62
415,0.62
416,0.62
417,0.62
418,0.62
419,0.62
420,0.62
421,0.62
422,0.62
423,0.62
424,0.62
425,0.62
426,0.62
427,0.62
428,0.62
429,0.62
430,0.62
431,0.62
432,0.62
433,0.62
434,0.62
435,0.62
436,0.62
437,0.62
438,0.62
439,0.62
440,0.62
441,0.62
442,0.62
443,0.62
444,0.62
445,0.62
446,0.62
447,0.62
448,0.62
449,0.62
450,0.62
451,0.62
452,0.62
453,0.62
454,0.62
455,0.62
456,0.62
457,0.62
458,0.62
459,0.62
460,0.62
461,0.62
462,0.62
463,0.62
464,0.62
465,0.62
466,0.62
467,0.61
468,0.62
469,0.60
470,0.62
471,0.60
472,0.60
473,0.60
474,0.60
475,0.60
476,0.60
477,0.60
478,0.60
479,0.60
480,0.60
481,0.60
482,0.60
483,0.60
484,0.60
485,0.60
486,0.60
487,0.60
488,0.60
489,0.60
490,0.60
491,0.60
492,0.60
493,0.60
494,0.60
495,0.60
496,0.60
497,0.60
498,0.62
499,0.60
500,0.60
501,0.60
502,0.60
503,0.60
504,0.60
505,0.60
506,0.60
507,0.60
508,0.60
509,0.60
510,0.60
511,0.60
512,0.60
513,0.60
514,0.60
515,0.60
516,0.60
517,0.60
518,0.60
519,0.60
520,0.60
521,0.60
522,0.60
523,0.60
524,0.60
525,0.60
526,0.60
527,0.61
528,0.61
529,0.61
530,0.61
531,0.61
532,0.61
533,0.61
534,0.61
535,0.61
536,0.61
537,0.61
538,0.61
539,0.61
540,0.61
541,0.61
542,0.61
543,0.61
544,0.61
545,0.61
546,0.61
547,0.61
548,0.61
549,0.61
550,0.61
551,0.61
552,0.61
553,0.61
554,0.61
555,0.61
556,0.61
557,0.62
558,0.62
559,0.62
560,0.62
561,0.60
562,0.60
563,0.60
564,0.60
565,0.60
566,0.60
567,0.60
568,0.60
569,0.60
570,0.60
571,0.60
572,0.60
573,0.60
574,0.60
575,0.60
576,0.60
577,0.60
578,0.60
579,0.60
580,0.60
581,0.60
582,0.60
583,0.60
584,0.60
585,0.60
586,0.60
587,0.61
588,0.61
589,0.60
590,0.60
591,0.60
592,0.60
593,0.60
594,0.60
595,0.60
596,0.60
597,0.60
598,0.60
599,0.60
600,0.60
601,0.60
602,0.60
603,0.60
604,0.60
605,0.60
606,0.60
607,0.60
608,0.60
609,0.60
610,0.60
611,0.60
612,0.60
613,0.60
614,0.60
615,0.60
616,0.60
617,0.60
618,0.61
619,0.62
620,0.60
621,0.60
622,0.60
623,0.60
624,0.60
625,0.60
626,0.60
627,0.60
628,0.60
629,0.60
630,0.60
631,0.60
632,0.60
633,0.60
634,0.60
635,0.60
636,0.60
637,0.60
638,0.60
639,0.60
640,0.60
641,0.60
642,0.60
643,0.60
644,0.60
645,0.60
646,0.60
647,0.61
648,0.61
649,0.61
650,0.61
651,0.61
652,0.61
653,0.61
654,0.61
655,0.61
656,0.61
657,0.61
658,0.61
659,0.61
660,0.61
661,0.61
662,0.61
663,0.61
664,0.61
665,0.61
666,0.61
667,0.61
668,0.61
669,0.61
670,0.61
671,0.61
672,0.61
673,0.61
674,0.61
675,0.61
676,0.61
677,0.60
678,0.60
679,0.61
680,0.60
681,0.60
682,0.60
683,0.60
684,0.60
685,0.60
686,0.60
687,0.60
688,0.60
689,0.60
690,0.60
691,0.60
692,0.60
693,0.60
694,0.60
695,0.60
696,0.60
697,0.60
698,0.60
699,0.60
700,0.60
701,0.60
702,0.60
703,0.60
704,0.60
705,0.60
706,0.60
707,0.60
708,0.60
709,0.60
710,0.60
711,0.61
712,0.60
713,0.60
714,0.60
715,0.60
716,0.60
717,0.60
718,0.60
719,0.60
720,0.60
721,0.60
722,0.60
723,0.60
724,0.60
725,0.60
726,0.60
727,0.60
728,0.60
729,0.60
730,0.60
731,0.60
732,0.60
733,0.60
734,0.60
735,0.60
736,0.60
737,0.60
738,0.62
739,0.62
740,0.60
741,0.60
742,0.60
743,0.60
744,0.60
745,0.60
746,0.60
747,0.60
748,0.60
749,0.60
750,0.60
751,0.60
752,0.60
753,0.60
754,0.60
755,0.60
756,0.60
757,0.60
758,0.60
759,0.60
760,0.60
761,0.60
762,0.60
763,0.60
764,0.60
765,0.60
766,0.60
767,0.62
768,0.62
769,0.60
770,0.61
771,0.60
772,0.62
773,0.60
774,0.60
775,0.60
776,0.60
777,0.60
778,0.60
779,0.60
780,0.60
781,0.60
782,0.60
783,0.60
784,0.60
785,0.60
786,0.60
787,0.60
788,0.60
789,0.60
790,0.60
791,0.60
792,0.60
793,0.60
794,0.60
795,0.60
796,0.60
797,0.62
798,0.61
799,0.61
800,0.61
801,0.61
802,0.61
803,0.61
804,0.61
805,0.61
806,0.61
807,0.61
808,0.61
809,0.61
810,0.61
811,0.61
812,0.61
813,0.61
814,0.61
815,0.61
816,0.61
817,0.61
818,0.61
819,0.61
820,0.61
821,0.61
822,0.61
823,0.61
824,0.61
825,0.61
826,0.61
827,0.61
828,0.61
829,0.61
830,0.61
831,0.61
832,0.61
833,0.61
834,0.61
835,0.61
836,0.61
837,0.61
838,0.61
839,0.61
840,0.61
841,0.61
842,0.61
843,0.61
844,0.61
845,0.61
846,0.61
847,0.61
848,0.61
849,0.61
850,0.61
851,0.61
852,0.61
853,0.61
854,0.61
855,0.61
856,0.61
857,0.60
858,0.61
859,0.60
860,0.60
861,0.60
862,0.61
863,0.60
864,0.61
865,0.61
866,0.61
867,0.61
868,0.61
869,0.61
870,0.61
871,0.61
872,0.61
873,0.61
874,0.61
875,0.61
876,0.61
877,0.61
878,0.61
879,0.61
880,0.61
881,0.61
882,0.61
883,0.61
884,0.61
885,0.61
886,0.61
887,0.63
888,0.63
889,0.63
890,0.63
891,0.63
892,0.63
893,0.63
894,0.63
895,0.63
896,0.63
897,0.63
898,0.63
899,0.63
900,0.63
901,0.63
902,0.63
903,0.63
904,0.63
905,0.63
906,0.63
907,0.63
908,0.63
909,0.63
910,0.63
911,0.63
912,0.63
913,0.63
914,0.63
915,0.63
916,0.63
917,0.63
918,0.63
919,0.64
920,0.63
921,0.63
922,0.63
923,0.63
924,0.63
925,0.63
926,0.63
927,0.63
928,0.63
929,0.63
930,0.63
931,0.63
932,0.63
933,0.63
934,0.63
935,0.63
936,0.63
937,0.63
938,0.63
