[2019-11-28 11:48:46] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 11:48:47] 
[2019-11-28 11:48:47] 11:48:46      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2019-11-28 11:48:47] 11:48:47    20001     20380   3196.00      0.00  433316   26196   0.21  qrail-cli
[2019-11-28 11:48:48] 11:48:48    20001     20380   9701.00      0.00  450744   43740   0.36  qrail-cli
[2019-11-28 11:48:49] 11:48:49    20001     20380   3786.00      0.00  462380   55360   0.45  qrail-cli
[2019-11-28 11:48:50] 11:48:50    20001     20380   7893.00      0.00  472124   65220   0.53  qrail-cli
[2019-11-28 11:48:51] 11:48:51    20001     20380   2541.00      0.00  479388   72340   0.59  qrail-cli
[2019-11-28 11:48:52] 11:48:52    20001     20380   1131.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:48:53] 11:48:53    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:48:54] 11:48:54    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:48:55] 11:48:55    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:48:56] 11:48:56    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:48:57] 11:48:57    20001     20380     18.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:48:58] 11:48:58    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:48:59] 11:48:59    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:49:00] 11:49:00    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:49:01] 11:49:01    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:49:02] 11:49:02    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:49:03] 11:49:03    20001     20380      0.00      0.00  478332   71824   0.58  qrail-cli
[2019-11-28 11:49:04] 11:49:04    20001     20380   3373.00      0.00  478340   72060   0.59  qrail-cli
[2019-11-28 11:49:05] 11:49:05    20001     20380  10364.00      0.00  480132   73120   0.60  qrail-cli
[2019-11-28 11:49:06] 11:49:06    20001     20380  17765.00      0.00  478340   72068   0.59  qrail-cli
[2019-11-28 11:49:07] 11:49:07    20001     20380  16840.00      0.00  481368   74084   0.60  qrail-cli
[2019-11-28 11:49:08] 11:49:08    20001     20380  16720.00      0.00  478340   72508   0.59  qrail-cli
[2019-11-28 11:49:09] 11:49:09    20001     20380      0.00      0.00  478340   72508   0.59  qrail-cli
[2019-11-28 11:49:10] 11:49:10    20001     20380      0.00      0.00  478340   72508   0.59  qrail-cli
[2019-11-28 11:49:11] 11:49:11    20001     20380      0.00      0.00  478340   72508   0.59  qrail-cli
[2019-11-28 11:49:12] 11:49:12    20001     20380     20.00      0.00  478340   72508   0.59  qrail-cli
[2019-11-28 11:49:13] 11:49:13    20001     20380      0.00      0.00  478340   72508   0.59  qrail-cli
[2019-11-28 11:49:14] 11:49:14    20001     20380      0.00      0.00  478340   72508   0.59  qrail-cli
[2019-11-28 11:49:15] 11:49:15    20001     20380      0.00      0.00  478340   72508   0.59  qrail-cli
[2019-11-28 11:49:16] 11:49:16    20001     20380      0.00      0.00  478340   72508   0.59  qrail-cli
[2019-11-28 11:49:17] 11:49:17    20001     20380     43.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:18] 11:49:18    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:19] 11:49:19    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:20] 11:49:20    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:21] 11:49:21    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:22] 11:49:22    20001     20380      3.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:23] 11:49:23    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:24] 11:49:24    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:25] 11:49:25    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:26] 11:49:26    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:27] 11:49:27    20001     20380      1.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:28] 11:49:28    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:29] 11:49:29    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:30] 11:49:30    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:31] 11:49:31    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:32] 11:49:32    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:33] 11:49:33    20001     20380      0.00      0.00  478340   72564   0.59  qrail-cli
[2019-11-28 11:49:34] 11:49:34    20001     20380   1088.00      0.00  480772   73884   0.60  qrail-cli
[2019-11-28 11:49:35] 11:49:35    20001     20380  20226.00      0.00  478956   72824   0.59  qrail-cli
[2019-11-28 11:49:36] 11:49:36    20001     20380  17669.00      0.00  481536   74676   0.61  qrail-cli
[2019-11-28 11:49:37] 11:49:37    20001     20380  10815.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:38] 11:49:38    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:39] 11:49:39    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:40] 11:49:40    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:41] 11:49:41    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:42] 11:49:42    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:43] 11:49:43    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:44] 11:49:44    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:45] 11:49:45    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:46] 11:49:46    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:47] 11:49:47    20001     20380      1.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:48] 11:49:48    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:49] 11:49:49    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:50] 11:49:50    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:51] 11:49:51    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:52] 11:49:52    20001     20380     13.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:53] 11:49:53    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
[2019-11-28 11:49:54] 11:49:54    20001     20380      0.00      0.00  478340   72568   0.59  qrail-cli
