time(s),mem(%)
0,0.18
1,0.34
2,0.44
3,0.52
4,0.59
5,0.59
6,0.59
7,0.59
8,0.59
9,0.59
10,0.59
11,0.59
12,0.59
13,0.59
14,0.59
15,0.59
16,0.59
17,0.59
18,0.59
19,0.59
20,0.59
21,0.61
22,0.60
23,0.60
24,0.60
25,0.60
26,0.60
27,0.60
28,0.62
29,0.60
30,0.60
31,0.60
32,0.60
33,0.60
34,0.60
35,0.60
36,0.60
37,0.60
38,0.60
39,0.60
40,0.60
41,0.60
42,0.60
43,0.60
44,0.60
45,0.60
46,0.60
47,0.60
48,0.60
49,0.60
50,0.60
51,0.62
52,0.62
53,0.62
54,0.62
55,0.62
56,0.62
57,0.62
58,0.62
59,0.62
60,0.62
61,0.62
62,0.62
63,0.62
64,0.62
65,0.62
66,0.62
67,0.62
68,0.62
69,0.62
70,0.62
71,0.62
72,0.62
73,0.62
74,0.62
75,0.62
76,0.62
77,0.62
78,0.62
79,0.62
80,0.62
81,0.62
82,0.62
83,0.62
84,0.62
85,0.60
86,0.62
87,0.62
88,0.60
89,0.61
90,0.60
91,0.60
92,0.60
93,0.60
94,0.60
95,0.60
96,0.60
97,0.60
98,0.60
99,0.60
100,0.60
101,0.60
102,0.60
103,0.60
104,0.60
105,0.60
106,0.60
107,0.60
108,0.60
110,0.60
111,0.60
112,0.61
113,0.63
114,0.61
115,0.63
116,0.61
117,0.63
118,0.63
119,0.61
120,0.61
121,0.62
122,0.61
123,0.61
124,0.61
125,0.61
126,0.61
127,0.61
128,0.61
129,0.61
130,0.61
131,0.61
132,0.61
133,0.61
134,0.61
135,0.61
136,0.61
137,0.61
138,0.61
139,0.61
140,0.61
141,0.61
142,0.63
143,0.63
144,0.63
145,0.64
146,0.63
147,0.63
148,0.63
149,0.63
150,0.65
151,0.63
152,0.63
153,0.63
154,0.64
155,0.60
156,0.60
157,0.60
158,0.60
159,0.60
160,0.60
161,0.60
162,0.60
163,0.60
164,0.60
165,0.60
166,0.60
167,0.60
168,0.60
169,0.60
170,0.60
171,0.60
172,0.63
173,0.63
174,0.63
175,0.63
176,0.63
177,0.64
178,0.63
179,0.64
180,0.64
181,0.64
182,0.63
183,0.63
184,0.63
185,0.63
186,0.63
187,0.63
188,0.63
189,0.63
190,0.63
191,0.63
192,0.63
193,0.63
194,0.63
195,0.63
196,0.63
197,0.63
198,0.63
199,0.63
200,0.63
201,0.63
202,0.65
203,0.66
204,0.66
205,0.65
206,0.65
207,0.67
208,0.66
209,0.66
210,0.65
211,0.66
212,0.65
213,0.65
214,0.66
215,0.65
216,0.65
217,0.65
218,0.65
219,0.65
220,0.65
221,0.65
222,0.65
223,0.65
224,0.65
225,0.65
226,0.65
227,0.65
228,0.65
229,0.65
230,0.65
231,0.65
232,0.64
233,0.64
234,0.66
235,0.64
236,0.65
237,0.64
238,0.64
239,0.65
240,0.65
241,0.65
242,0.64
243,0.64
244,0.64
245,0.64
246,0.64
247,0.64
248,0.64
249,0.64
250,0.64
251,0.64
252,0.64
253,0.64
254,0.64
255,0.64
256,0.64
257,0.64
258,0.64
259,0.64
260,0.64
261,0.64
262,0.64
263,0.64
264,0.65
265,0.65
266,0.65
267,0.65
268,0.65
269,0.65
270,0.65
271,0.65
272,0.65
273,0.65
274,0.65
275,0.65
276,0.65
277,0.65
278,0.65
279,0.65
280,0.65
281,0.65
282,0.65
283,0.65
284,0.65
285,0.65
286,0.65
287,0.65
288,0.65
289,0.65
290,0.65
291,0.65
292,0.65
293,0.65
294,0.65
295,0.65
296,0.65
297,0.65
298,0.65
299,0.65
300,0.65
301,0.65
302,0.65
303,0.65
304,0.65
305,0.65
306,0.65
307,0.65
308,0.65
309,0.65
310,0.65
311,0.65
312,0.65
313,0.65
314,0.65
315,0.65
316,0.65
317,0.65
318,0.65
319,0.65
320,0.65
321,0.65
322,0.64
323,0.65
324,0.64
325,0.64
326,0.64
327,0.65
328,0.66
329,0.65
330,0.66
331,0.64
332,0.64
333,0.64
334,0.64
335,0.64
336,0.64
337,0.64
338,0.64
339,0.64
340,0.64
341,0.64
342,0.64
343,0.64
344,0.64
345,0.64
346,0.64
347,0.64
348,0.64
349,0.64
350,0.64
351,0.64
352,0.64
353,0.65
354,0.64
355,0.64
356,0.64
357,0.65
358,0.64
359,0.64
360,0.64
361,0.64
362,0.64
363,0.64
364,0.64
365,0.64
366,0.64
367,0.64
368,0.64
369,0.64
370,0.64
371,0.64
372,0.64
373,0.64
374,0.64
375,0.64
376,0.64
377,0.64
378,0.64
379,0.64
380,0.64
381,0.64
382,0.64
383,0.66
384,0.64
385,0.64
386,0.64
387,0.64
388,0.64
389,0.66
390,0.66
391,0.64
392,0.64
393,0.64
394,0.64
395,0.64
396,0.64
397,0.64
398,0.64
399,0.64
400,0.64
401,0.64
402,0.64
403,0.64
404,0.64
405,0.64
406,0.64
407,0.64
408,0.64
409,0.64
410,0.64
411,0.64
412,0.65
413,0.65
414,0.66
415,0.65
416,0.65
417,0.66
418,0.66
419,0.66
420,0.65
421,0.65
422,0.65
423,0.65
424,0.65
425,0.65
426,0.65
427,0.65
428,0.65
429,0.65
430,0.65
431,0.65
432,0.65
433,0.65
434,0.65
435,0.65
436,0.65
437,0.65
438,0.65
439,0.65
440,0.65
441,0.65
442,0.64
443,0.66
444,0.66
445,0.66
446,0.65
447,0.64
448,0.65
449,0.64
450,0.66
451,0.64
452,0.64
453,0.64
454,0.64
455,0.64
456,0.64
457,0.64
458,0.64
459,0.64
460,0.64
461,0.64
462,0.64
463,0.64
464,0.64
465,0.64
466,0.64
467,0.64
468,0.64
469,0.64
470,0.64
471,0.64
472,0.66
473,0.65
474,0.66
475,0.66
476,0.64
477,0.64
478,0.64
479,0.64
480,0.64
481,0.64
482,0.66
483,0.64
484,0.64
485,0.64
486,0.64
487,0.64
488,0.64
489,0.64
490,0.64
491,0.64
492,0.64
493,0.64
494,0.64
495,0.64
496,0.64
497,0.64
498,0.64
499,0.64
500,0.64
501,0.64
502,0.65
503,0.65
504,0.66
505,0.65
506,0.65
507,0.65
508,0.66
509,0.65
510,0.66
511,0.66
512,0.65
513,0.65
514,0.65
515,0.65
516,0.65
517,0.65
518,0.65
519,0.65
520,0.65
521,0.65
522,0.65
523,0.65
524,0.65
525,0.65
526,0.65
527,0.65
528,0.65
529,0.65
530,0.65
531,0.65
532,0.64
533,0.65
534,0.64
535,0.63
536,0.63
537,0.63
538,0.63
539,0.63
540,0.63
541,0.63
542,0.63
543,0.63
544,0.63
545,0.63
546,0.63
547,0.63
548,0.63
549,0.63
550,0.63
551,0.63
552,0.63
553,0.63
554,0.63
555,0.63
556,0.63
557,0.63
558,0.63
559,0.63
560,0.63
561,0.63
562,0.65
563,0.63
564,0.65
565,0.64
566,0.64
567,0.65
568,0.65
569,0.65
570,0.63
571,0.63
572,0.63
573,0.63
574,0.63
575,0.63
576,0.63
577,0.63
578,0.63
579,0.63
580,0.63
581,0.63
582,0.63
583,0.63
584,0.63
585,0.63
586,0.63
587,0.63
588,0.63
589,0.63
590,0.63
591,0.63
592,0.64
593,0.64
594,0.64
595,0.65
596,0.64
597,0.64
598,0.64
599,0.64
600,0.64
601,0.64
602,0.64
603,0.64
604,0.64
605,0.64
606,0.64
607,0.64
608,0.64
609,0.64
610,0.64
611,0.64
612,0.64
613,0.64
614,0.64
615,0.64
616,0.64
617,0.64
618,0.64
619,0.64
620,0.64
621,0.64
622,0.67
623,0.67
624,0.66
625,0.65
626,0.65
627,0.65
628,0.66
629,0.66
630,0.67
631,0.65
632,0.67
633,0.67
634,0.65
635,0.65
636,0.65
637,0.65
638,0.65
639,0.65
640,0.65
641,0.65
642,0.65
643,0.65
644,0.65
645,0.65
646,0.65
647,0.65
648,0.65
649,0.65
650,0.65
651,0.65
652,0.65
653,0.64
654,0.65
655,0.65
656,0.65
657,0.64
658,0.66
659,0.64
660,0.66
661,0.65
662,0.64
663,0.64
664,0.64
665,0.64
666,0.64
667,0.64
668,0.64
669,0.64
670,0.64
671,0.64
672,0.64
673,0.64
674,0.64
675,0.64
676,0.64
677,0.64
678,0.64
679,0.64
680,0.64
681,0.64
682,0.64
683,0.64
684,0.64
685,0.64
686,0.64
687,0.65
688,0.64
689,0.64
690,0.65
691,0.64
692,0.64
693,0.64
694,0.64
695,0.64
696,0.64
697,0.64
698,0.64
699,0.64
700,0.64
701,0.64
702,0.64
703,0.64
704,0.64
705,0.64
706,0.64
707,0.64
708,0.64
709,0.64
710,0.64
711,0.64
712,0.65
713,0.65
714,0.63
715,0.63
716,0.63
717,0.65
718,0.63
719,0.63
720,0.63
721,0.63
722,0.63
723,0.63
724,0.63
725,0.63
726,0.63
727,0.63
728,0.63
729,0.63
730,0.63
731,0.63
732,0.63
733,0.63
734,0.63
735,0.63
736,0.63
737,0.63
738,0.63
739,0.63
740,0.63
741,0.63
742,0.64
743,0.66
744,0.64
745,0.64
746,0.65
747,0.64
748,0.66
749,0.66
750,0.65
751,0.66
752,0.66
753,0.66
754,0.64
755,0.66
756,0.64
757,0.64
758,0.64
759,0.64
760,0.64
761,0.64
762,0.64
763,0.64
764,0.64
765,0.64
766,0.64
767,0.64
768,0.64
769,0.64
770,0.64
771,0.64
772,0.65
773,0.65
774,0.65
775,0.64
776,0.64
777,0.66
778,0.66
779,0.66
780,0.64
781,0.64
782,0.64
783,0.64
784,0.64
785,0.64
786,0.64
787,0.64
788,0.64
789,0.64
790,0.64
791,0.64
