[2020-02-01 10:15:28] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 10:15:28] 
[2020-02-01 10:15:28] 10:15:27      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-02-01 10:15:28] 10:15:28    20001     19650   1760.00      0.00  277888   21940   0.18  qrail-cli
[2020-02-01 10:15:29] 10:15:29    20001     19650  10882.00      0.00  448256   42064   0.34  qrail-cli
[2020-02-01 10:15:30] 10:15:30    20001     19650   3917.00      0.00  459924   53560   0.44  qrail-cli
[2020-02-01 10:15:31] 10:15:31    20001     19650   6725.00      0.00  469528   63356   0.52  qrail-cli
[2020-02-01 10:15:32] 10:15:32    20001     19650   4664.00      0.00  478264   71872   0.59  qrail-cli
[2020-02-01 10:15:33] 10:15:33    20001     19650    270.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:34] 10:15:34    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:35] 10:15:35    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:36] 10:15:36    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:37] 10:15:37    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:38] 10:15:38    20001     19650     27.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:39] 10:15:39    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:40] 10:15:40    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:41] 10:15:41    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:42] 10:15:42    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:43] 10:15:43    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:44] 10:15:44    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:45] 10:15:45    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:46] 10:15:46    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:47] 10:15:47    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:48] 10:15:48    20001     19650      0.00      0.00  479188   73012   0.59  qrail-cli
[2020-02-01 10:15:49] 10:15:49    20001     19650  10500.00      0.00  482896   75420   0.61  qrail-cli
[2020-02-01 10:15:50] 10:15:50    20001     19650  15971.00      0.00  480524   73848   0.60  qrail-cli
[2020-02-01 10:15:51] 10:15:51    20001     19650  19153.00      0.00  480464   74024   0.60  qrail-cli
[2020-02-01 10:15:52] 10:15:52    20001     19650  17747.00      0.00  479904   73852   0.60  qrail-cli
