time(s),mem(%)
0,0.15
1,0.30
2,0.37
3,0.44
4,0.48
5,0.53
6,0.56
7,0.56
8,0.56
9,0.56
10,0.56
11,0.56
12,0.56
13,0.56
14,0.56
15,0.56
16,0.56
17,0.56
18,0.56
19,0.56
20,0.56
21,0.56
22,0.56
23,0.56
24,0.56
25,0.56
26,0.56
27,0.56
28,0.56
29,0.56
30,0.59
31,0.58
32,0.60
33,0.60
34,0.61
35,0.59
36,0.59
37,0.59
38,0.59
39,0.59
40,0.59
41,0.59
42,0.59
43,0.59
44,0.59
45,0.59
46,0.59
47,0.59
48,0.59
49,0.59
50,0.59
51,0.59
52,0.59
53,0.59
54,0.59
55,0.59
56,0.59
57,0.59
58,0.59
59,0.59
60,0.62
61,0.61
62,0.62
63,0.61
64,0.62
65,0.62
66,0.62
67,0.62
68,0.62
69,0.62
70,0.62
71,0.62
72,0.62
73,0.62
74,0.62
75,0.62
76,0.62
77,0.62
78,0.62
79,0.62
80,0.62
81,0.62
82,0.62
83,0.62
84,0.62
85,0.62
86,0.62
87,0.62
88,0.62
89,0.62
90,0.63
91,0.63
92,0.63
93,0.64
94,0.64
95,0.65
96,0.64
97,0.64
98,0.64
99,0.64
100,0.64
101,0.64
102,0.64
103,0.64
104,0.64
105,0.64
106,0.64
107,0.64
108,0.64
109,0.64
110,0.64
111,0.64
112,0.64
113,0.64
114,0.64
115,0.64
116,0.64
117,0.64
118,0.64
119,0.64
120,0.66
121,0.66
122,0.66
123,0.67
124,0.67
125,0.67
126,0.67
127,0.67
128,0.67
129,0.67
130,0.67
131,0.67
132,0.67
133,0.67
134,0.67
135,0.67
136,0.67
137,0.67
138,0.67
139,0.67
140,0.67
141,0.67
142,0.67
143,0.67
144,0.67
145,0.67
146,0.67
147,0.67
148,0.67
149,0.67
150,0.69
151,0.68
152,0.69
153,0.69
154,0.69
155,0.70
156,0.70
157,0.70
158,0.70
159,0.70
160,0.70
161,0.70
162,0.70
163,0.70
164,0.70
165,0.70
166,0.70
167,0.70
168,0.70
169,0.70
170,0.70
171,0.70
172,0.70
173,0.70
174,0.70
175,0.70
176,0.70
177,0.70
178,0.70
179,0.70
180,0.71
181,0.71
182,0.71
183,0.72
184,0.72
185,0.72
186,0.73
187,0.72
188,0.72
189,0.72
190,0.72
191,0.72
192,0.72
193,0.72
194,0.72
195,0.72
196,0.72
197,0.72
198,0.72
199,0.72
200,0.72
201,0.72
202,0.72
203,0.72
204,0.72
205,0.72
206,0.72
207,0.72
208,0.72
209,0.72
210,0.74
211,0.74
212,0.74
213,0.74
214,0.75
215,0.75
216,0.75
217,0.75
218,0.75
219,0.75
220,0.75
221,0.75
222,0.75
223,0.75
224,0.75
225,0.75
226,0.75
227,0.75
228,0.75
229,0.75
230,0.75
231,0.75
232,0.75
233,0.75
234,0.75
235,0.75
236,0.75
237,0.75
238,0.75
239,0.75
240,0.77
241,0.76
242,0.77
243,0.76
244,0.77
245,0.78
246,0.78
247,0.77
248,0.77
249,0.77
250,0.77
251,0.77
252,0.77
253,0.77
254,0.77
255,0.77
256,0.77
257,0.77
258,0.77
259,0.77
260,0.77
261,0.77
262,0.77
263,0.77
264,0.77
265,0.77
266,0.77
267,0.77
268,0.77
269,0.77
270,0.79
271,0.80
272,0.79
273,0.80
274,0.80
