[2020-01-30 06:56:59] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 06:57:00] 
[2020-01-30 06:57:00] 06:56:59      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-30 06:57:00] 06:57:00    20001     17374   1619.00      0.00  270124   18824   0.15  qrail-cli
[2020-01-30 06:57:01] 06:57:01    20001     17374  11604.00      0.00  444060   37236   0.30  qrail-cli
[2020-01-30 06:57:02] 06:57:02    20001     17374   6010.00      0.00  452304   45812   0.37  qrail-cli
[2020-01-30 06:57:03] 06:57:03    20001     17374   4433.00      0.00  461128   54508   0.44  qrail-cli
[2020-01-30 06:57:04] 06:57:04    20001     17374   3251.00      0.00  465780   59284   0.48  qrail-cli
[2020-01-30 06:57:05] 06:57:05    20001     17374   8455.00      0.00  471972   65480   0.53  qrail-cli
[2020-01-30 06:57:06] 06:57:06    20001     17374   2970.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:07] 06:57:07    20001     17374     43.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:08] 06:57:08    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:09] 06:57:09    20001     17374     13.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:10] 06:57:10    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:11] 06:57:11    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:12] 06:57:12    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:13] 06:57:13    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:14] 06:57:14    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:15] 06:57:15    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:16] 06:57:16    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:17] 06:57:17    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:18] 06:57:18    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:19] 06:57:19    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:20] 06:57:20    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:21] 06:57:21    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:22] 06:57:22    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:23] 06:57:23    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:24] 06:57:24    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:25] 06:57:25    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:26] 06:57:26    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:27] 06:57:27    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:28] 06:57:28    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:29] 06:57:29    20001     17374      0.00      0.00  475564   69072   0.56  qrail-cli
[2020-01-30 06:57:30] 06:57:30    20001     17374   4458.00      0.00  480508   72380   0.59  qrail-cli
[2020-01-30 06:57:31] 06:57:31    20001     17374   6374.00      0.00  478280   71304   0.58  qrail-cli
[2020-01-30 06:57:32] 06:57:32    20001     17374   3129.00      0.00  481944   73980   0.60  qrail-cli
[2020-01-30 06:57:33] 06:57:33    20001     17374   9101.00      0.00  480892   73920   0.60  qrail-cli
[2020-01-30 06:57:34] 06:57:34    20001     17374   3369.00      0.00  482276   74612   0.61  qrail-cli
[2020-01-30 06:57:35] 06:57:35    20001     17374   3482.00      0.00  480092   73016   0.59  qrail-cli
[2020-01-30 06:57:36] 06:57:36    20001     17374    394.00      0.00  478924   72464   0.59  qrail-cli
[2020-01-30 06:57:37] 06:57:37    20001     17374      0.00      0.00  478924   72464   0.59  qrail-cli
[2020-01-30 06:57:38] 06:57:38    20001     17374      0.00      0.00  478924   72464   0.59  qrail-cli
[2020-01-30 06:57:39] 06:57:39    20001     17374     13.00      0.00  478924   72464   0.59  qrail-cli
