time(s),mem(%)
0,undefined
1,0.24
2,0.36
3,0.43
4,0.48
5,0.51
6,0.57
7,0.55
8,0.55
9,0.55
10,0.55
11,0.55
12,0.55
13,0.55
14,0.55
15,0.55
16,0.55
17,0.55
18,0.55
19,0.55
20,0.55
21,0.55
22,0.55
23,0.55
24,0.55
25,0.55
26,0.55
27,0.55
28,0.55
29,0.55
30,0.55
31,0.55
32,0.55
33,0.55
34,0.55
35,0.55
36,0.55
37,0.55
38,0.55
39,0.55
40,0.55
41,0.55
42,0.55
43,0.55
44,0.55
45,0.55
46,0.55
47,0.55
48,0.55
49,0.55
50,0.55
51,0.55
52,0.55
53,0.55
54,0.55
55,0.55
56,0.55
57,0.55
58,0.55
59,0.55
60,0.55
61,0.55
62,0.55
63,0.55
64,0.55
65,0.55
66,0.55
67,0.55
68,0.55
69,0.55
70,0.55
71,0.55
72,0.55
73,0.55
74,0.55
75,0.55
76,0.55
77,0.55
78,0.55
79,0.55
80,0.55
81,0.55
82,0.55
83,0.55
84,0.55
85,0.55
86,0.59
87,0.59
88,0.61
89,0.59
90,0.61
91,0.62
92,0.62
93,0.62
94,0.63
95,0.62
96,0.61
97,0.61
98,0.61
99,0.61
100,0.61
101,0.61
102,0.61
103,0.61
104,0.61
105,0.61
106,0.61
107,0.61
108,0.61
109,0.61
110,0.61
111,0.61
112,0.61
113,0.61
114,0.61
115,0.61
116,0.61
117,0.61
118,0.61
119,0.61
120,0.61
121,0.61
122,0.61
123,0.61
124,0.61
125,0.61
126,0.61
127,0.63
128,0.64
129,0.65
130,0.64
131,0.65
132,0.65
133,0.66
134,0.64
135,0.64
136,0.64
137,0.64
138,0.64
139,0.64
140,0.64
141,0.64
142,0.64
143,0.64
144,0.64
145,0.64
146,0.64
147,0.64
148,0.64
149,0.64
150,0.64
151,0.67
152,0.66
153,0.67
154,0.67
155,0.67
156,0.68
157,0.66
158,0.66
159,0.66
160,0.66
161,0.66
162,0.66
163,0.66
164,0.66
165,0.66
166,0.66
167,0.66
168,0.66
169,0.66
170,0.66
171,0.66
172,0.66
173,0.66
174,0.66
175,0.66
176,0.66
177,0.66
178,0.66
179,0.66
180,0.66
181,0.70
182,0.68
183,0.70
184,0.69
185,0.70
186,0.70
187,0.69
188,0.69
189,0.69
190,0.69
191,0.69
192,0.69
193,0.69
194,0.69
195,0.69
196,0.69
197,0.69
198,0.69
199,0.69
200,0.69
201,0.69
202,0.69
203,0.69
204,0.69
205,0.69
206,0.69
207,0.69
208,0.69
209,0.69
210,0.69
211,0.69
212,0.69
213,0.69
214,0.69
215,0.69
216,0.69
217,0.69
218,0.69
219,0.69
220,0.69
221,0.69
222,0.69
223,0.69
224,0.69
225,0.69
226,0.69
227,0.69
228,0.69
229,0.69
230,0.69
231,0.69
232,0.69
233,0.69
234,0.69
235,0.69
236,0.69
237,0.71
238,0.73
239,0.73
240,0.73
241,0.72
242,0.73
243,0.74
244,0.73
245,0.72
246,0.72
247,0.72
248,0.72
249,0.72
250,0.72
251,0.72
252,0.72
253,0.72
254,0.72
255,0.72
256,0.72
257,0.72
258,0.72
259,0.72
260,0.72
261,0.72
262,0.72
263,0.72
264,0.72
265,0.72
266,0.72
267,0.72
268,0.72
269,0.72
270,0.72
271,0.72
272,0.72
273,0.72
274,0.72
275,0.72
276,0.72
277,0.72
278,0.72
279,0.72
280,0.72
281,0.72
282,0.72
283,0.72
284,0.74
285,0.75
286,0.75
287,0.75
288,0.75
289,0.76
290,0.77
291,0.74
292,0.74
293,0.74
294,0.74
295,0.74
296,0.74
297,0.74
298,0.74
299,0.74
300,0.74
301,0.78
302,0.76
303,0.78
304,0.77
305,0.78
306,0.78
307,0.80
308,0.77
309,0.77
310,0.77
311,0.77
312,0.77
313,0.77
314,0.77
315,0.77
316,0.77
317,0.77
318,0.77
319,0.77
320,0.77
321,0.77
322,0.77
323,0.77
324,0.77
325,0.77
326,0.77
327,0.77
328,0.77
329,0.77
330,0.77
331,0.77
332,0.77
333,0.77
334,0.77
335,0.77
336,0.77
337,0.77
338,0.77
339,0.77
340,0.77
341,0.77
342,0.77
343,0.77
344,0.79
345,0.79
346,0.81
347,0.81
348,0.80
349,0.81
350,0.81
351,0.80
352,0.80
353,0.80
354,0.80
355,0.80
356,0.80
357,0.80
358,0.80
359,0.80
360,0.80
361,0.80
362,0.80
363,0.80
364,0.80
365,0.80
366,0.80
367,0.80
368,0.80
369,0.80
370,0.80
371,0.80
372,0.80
373,0.80
374,0.80
375,0.80
376,0.80
377,0.80
378,0.80
379,0.80
380,0.80
381,0.80
382,0.80
383,0.80
384,0.80
385,0.80
386,0.80
387,0.80
388,0.80
389,0.80
390,0.80
391,0.80
392,0.80
393,0.80
394,0.80
395,0.80
396,0.80
397,0.80
398,0.80
399,0.80
400,0.80
401,0.80
402,0.80
403,0.80
404,0.80
405,0.80
406,0.80
407,0.80
408,0.80
409,0.80
410,0.80
411,0.80
412,0.80
413,0.80
414,0.80
415,0.80
416,0.80
417,0.80
418,0.80
419,0.80
420,0.80
421,0.80
422,0.80
423,0.80
424,0.80
425,0.80
426,0.80
427,0.80
428,0.80
429,0.80
430,0.80
431,0.80
432,0.80
433,0.80
434,0.80
435,0.80
436,0.80
437,0.80
438,0.80
439,0.80
440,0.80
441,0.80
442,0.80
443,0.80
444,0.80
445,0.80
446,0.80
447,0.80
448,0.80
449,0.80
450,0.80
451,0.80
452,0.80
453,0.80
454,0.80
455,0.80
456,0.80
457,0.80
458,0.80
459,0.80
460,0.80
461,0.80
462,0.80
463,0.80
464,0.80
465,0.80
466,0.80
467,0.80
468,0.80
469,0.80
470,0.80
471,0.80
472,0.80
