[2020-01-31 10:55:30] Linux 4.15.0-72-generic (node0.sharedlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/31/20 	_x86_64_	(16 CPU)
[2020-01-31 10:55:31] 
[2020-01-31 10:55:31] 10:55:30      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-31 10:55:31] 10:55:31    20001     12055   5650.00      0.00  437768   29924   0.24  qrail-cli
[2020-01-31 10:55:32] 10:55:32    20001     12055  12380.00      0.00  450968   44408   0.36  qrail-cli
[2020-01-31 10:55:33] 10:55:33    20001     12055   4917.00      0.00  459632   53068   0.43  qrail-cli
[2020-01-31 10:55:34] 10:55:34    20001     12055   8548.00      0.00  465500   59244   0.48  qrail-cli
[2020-01-31 10:55:35] 10:55:35    20001     12055   3407.00      0.00  469188   63060   0.51  qrail-cli
[2020-01-31 10:55:36] 10:55:36    20001     12055   4018.00      0.00  476516   69836   0.57  qrail-cli
[2020-01-31 10:55:37] 10:55:37    20001     12055      4.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:38] 10:55:38    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:39] 10:55:39    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:40] 10:55:40    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:41] 10:55:41    20001     12055     16.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:42] 10:55:42    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:43] 10:55:43    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:44] 10:55:44    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:45] 10:55:45    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:46] 10:55:46    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:47] 10:55:47    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:48] 10:55:48    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:49] 10:55:49    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:50] 10:55:50    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:51] 10:55:51    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:52] 10:55:52    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
[2020-01-31 10:55:53] 10:55:53    20001     12055      0.00      0.00  473588   67460   0.55  qrail-cli
