time(s),total_rx(bytes)
0,0
1,553
2,553
3,553
4,553
5,553
6,637
7,637
8,703
9,703
10,703
11,703
12,703
13,703
14,703
15,703
16,703
17,703
18,703
19,703
21,703
22,703
23,703
24,703
25,703
26,703
27,703
28,703
29,703
30,703
31,703
32,703
33,703
34,703
35,703
36,703
37,703
38,703
39,703
40,703
41,703
42,703
43,703
44,703
46,703
47,703
48,703
49,703
50,703
51,703
52,703
53,703
54,703
55,703
56,703
57,703
58,703
59,703
60,703
61,703
62,703
63,703
64,703
65,703
66,769
67,769
68,769
69,769
71,769
72,853
73,853
74,853
75,853
76,853
77,853
78,853
79,853
80,853
81,853
82,853
83,853
84,853
85,853
86,853
87,853
88,853
89,853
90,853
91,853
92,853
93,853
95,853
96,853
97,853
98,853
99,853
100,853
101,853
102,853
103,853
104,853
105,853
106,853
107,853
108,853
109,853
110,853
111,853
112,853
113,853
114,853
115,853
116,853
117,853
118,853
120,853
121,853
122,853
123,853
124,853
125,853
126,853
127,853
128,853
129,853
130,853
131,853
132,853
133,853
134,853
135,853
136,853
137,853
138,853
139,853
140,853
141,853
142,853
143,853
145,853
146,853
147,853
148,853
149,853
150,853
151,853
152,853
153,853
154,853
155,853
156,853
157,853
158,853
159,853
160,853
161,853
162,853
163,853
164,853
165,853
166,853
167,853
169,853
170,853
171,853
172,853
173,853
174,853
175,853
176,853
177,853
178,853
179,853
180,853
181,853
182,853
183,853
184,853
185,853
186,853
187,853
188,853
189,853
190,853
191,853
192,853
194,853
195,853
196,853
197,853
198,853
199,853
200,853
201,853
202,853
203,853
204,853
205,853
206,853
207,853
208,853
209,853
210,853
211,853
212,853
213,853
214,853
215,853
216,853
217,853
219,853
220,853
221,853
222,853
223,853
224,853
225,853
226,853
227,853
228,853
229,853
230,853
231,853
232,853
233,853
234,853
235,853
236,853
237,853
238,853
239,853
240,853
241,853
243,853
244,853
245,853
246,853
247,853
248,853
249,853
250,853
251,853
252,853
253,853
254,853
255,853
256,853
257,853
258,853
259,853
260,853
261,853
262,853
263,853
264,853
265,853
266,853
268,853
269,853
270,853
271,853
272,853
273,853
274,853
275,853
276,853
277,853
278,853
279,853
280,853
281,853
282,853
283,853
284,853
285,853
286,853
287,853
288,853
289,853
290,853
292,853
293,853
294,853
295,853
296,853
297,853
298,853
299,853
300,853
301,853
302,853
303,853
304,853
305,853
306,853
307,853
308,853
309,853
310,853
311,853
312,853
313,853
314,853
315,853
317,853
318,853
319,853
320,853
321,853
322,853
323,853
324,853
325,853
326,853
327,853
328,853
329,853
330,853
331,853
332,853
333,853
334,853
335,853
336,853
337,853
338,853
339,853
340,853
342,853
343,853
344,853
345,853
346,853
347,853
348,853
349,853
350,853
351,853
352,853
353,853
354,853
355,853
356,853
357,853
358,853
359,853
360,853
361,853
362,853
363,853
364,853
366,853
367,853
368,853
369,853
370,853
371,853
372,853
373,853
374,853
375,853
376,853
377,853
378,853
379,853
380,853
381,853
382,853
383,853
384,853
385,853
386,853
387,853
388,853
389,853
391,853
392,853
393,853
394,853
395,853
396,853
397,853
398,853
399,853
400,853
401,853
402,853
403,853
404,853
405,853
406,853
407,853
408,853
409,853
410,853
411,853
412,853
413,853
414,853
416,853
417,853
418,853
419,853
420,853
421,853
422,853
423,853
424,853
425,853
426,853
427,853
428,853
429,853
430,853
431,853
432,853
433,853
434,853
435,853
436,853
437,853
438,853
440,853
441,853
442,853
443,853
444,853
445,853
446,853
447,853
448,853
449,853
450,853
451,853
452,853
453,853
454,853
455,853
456,853
457,853
458,853
459,853
460,853
461,853
462,853
463,853
465,853
466,853
467,853
468,853
469,853
470,853
471,853
472,853
473,853
474,853
475,853
476,853
477,853
478,853
479,853
480,853
481,853
482,853
483,853
484,853
485,853
486,853
487,853
488,853
490,853
491,853
492,853
493,853
494,853
495,853
496,853
497,853
498,853
499,853
500,853
501,853
502,853
503,853
504,853
505,853
506,853
507,853
508,853
509,853
510,853
511,853
512,853
514,853
515,853
516,853
517,853
518,853
519,853
520,853
521,853
522,853
523,853
524,853
525,853
526,853
527,853
528,853
529,853
530,853
531,853
532,853
533,853
534,853
535,853
536,853
537,853
539,853
540,853
541,853
542,853
543,853
544,853
545,853
546,853
547,853
548,853
549,853
550,853
551,853
552,853
553,853
554,853
555,853
556,853
557,853
558,853
559,853
560,853
561,853
562,853
564,853
565,853
566,853
567,853
568,853
569,853
570,853
571,853
572,853
573,853
574,853
575,853
576,853
577,853
578,853
579,853
580,853
581,853
582,853
583,853
584,853
585,853
586,853
588,853
589,853
590,853
591,853
592,853
593,853
594,853
595,853
596,853
597,853
598,853
599,853
600,853
601,853
602,853
603,853
604,853
605,853
606,853
607,853
608,853
609,853
610,853
611,853
613,853
614,853
615,853
616,853
617,853
618,853
619,853
620,853
621,853
622,853
623,853
624,853
625,853
626,853
627,853
628,853
629,853
630,853
631,853
632,853
633,853
634,853
635,853
636,853
638,853
639,853
640,853
641,853
642,853
643,853
644,853
645,853
646,853
647,853
648,853
649,853
650,853
651,853
652,853
653,853
654,853
655,853
656,853
657,853
658,853
659,853
660,853
662,853
663,853
664,853
665,853
666,853
667,853
668,853
669,853
670,853
671,853
672,853
673,853
674,853
675,853
676,853
677,853
678,853
679,853
680,853
681,853
682,853
683,853
684,853
685,853
687,853
688,853
689,853
690,853
691,853
692,853
693,853
694,853
695,853
696,853
697,853
698,853
699,853
700,853
701,853
702,853
703,853
704,853
705,853
706,853
707,853
708,853
709,853
711,853
712,853
713,853
714,853
715,853
716,853
717,853
718,853
719,853
720,853
721,853
722,853
723,853
724,853
725,853
726,853
727,853
728,853
729,853
730,853
731,853
732,853
733,853
734,853
736,853
737,853
738,853
739,853
740,853
741,853
742,853
743,853
744,853
745,853
746,853
747,853
748,853
749,853
750,853
751,853
752,853
753,853
754,853
755,853
756,853
757,853
758,853
759,853
761,853
762,853
763,853
764,853
765,853
766,853
767,853
768,853
769,853
770,853
771,853
772,853
773,853
774,853
775,853
776,853
777,853
778,853
779,853
780,853
781,853
782,853
783,853
785,853
786,853
787,853
788,853
789,853
790,853
791,853
792,853
793,853
794,853
795,853
796,853
797,853
798,853
799,853
800,853
801,853
802,853
803,853
804,853
805,853
806,853
807,853
808,853
810,853
811,853
812,853
813,853
814,853
815,853
816,853
817,853
818,853
819,853
820,853
821,853
822,853
823,853
824,853
825,853
826,853
827,853
828,853
829,853
830,853
831,853
832,853
833,853
835,853
836,853
837,853
838,853
839,853
840,853
841,853
842,853
843,853
844,853
845,853
846,853
847,853
848,853
849,853
850,853
851,853
852,853
853,853
854,853
855,853
856,853
857,853
859,853
860,853
861,853
862,853
863,853
864,853
865,853
866,853
867,853
868,853
869,853
870,853
871,853
872,853
873,853
874,853
875,853
876,853
877,853
878,853
879,853
880,853
881,853
882,853
884,853
885,853
886,853
887,853
888,853
889,853
890,853
891,853
892,853
893,853
894,853
895,853
896,853
897,853
898,853
899,853
900,853
901,853
902,853
903,853
904,853
905,853
906,853
907,853
909,853
910,853
911,853
912,853
913,853
914,853
915,853
916,853
917,853
918,853
919,853
920,853
921,853
922,853
923,853
924,853
925,853
926,853
927,853
928,853
929,853
930,853
931,853
933,853
934,853
935,853
936,853
937,853
938,853
