time(s),total_rx(bytes)
0,0
1,3144
2,3144
3,3144
4,3144
5,3144
6,3144
7,3144
8,3144
9,3144
10,3144
12,3144
13,3144
14,3144
15,3144
16,3144
17,3144
18,3144
19,3144
20,3144
21,3144
22,3144
23,3144
24,3144
25,4569
26,4569
27,4569
28,4569
29,4569
30,5796
31,5796
32,5796
33,5796
34,5796
35,5796
37,5796
38,5796
39,5796
40,5796
41,5796
42,5796
43,5796
44,5796
45,5796
46,5796
47,5796
48,5796
49,5796
50,5796
51,5796
52,5796
53,5796
54,5796
55,7287
56,7287
57,7287
58,7287
59,7287
61,8514
62,8514
63,8514
64,8514
65,8514
66,8514
67,8514
68,8514
69,8514
70,8514
71,8514
72,8514
73,8514
74,8514
75,8514
76,8514
77,8514
78,8514
79,8514
80,8514
81,8514
82,8514
83,8514
84,8514
86,9807
87,9807
88,9807
89,9807
90,9807
91,10902
92,10902
93,10902
94,10902
95,10902
96,10902
97,10902
98,10902
99,10902
100,10902
101,10902
102,10902
103,10902
104,10902
105,10902
106,10902
107,10902
108,10902
109,10902
111,10902
112,10902
113,10902
114,10902
115,10902
116,12393
117,12393
118,12393
119,12393
120,13686
121,13686
122,13686
123,13686
124,13686
125,13686
126,13686
127,13686
128,13686
129,13686
130,13686
131,13686
132,13686
133,13686
135,13686
136,13686
137,13686
138,13686
139,13686
140,13686
141,13686
142,13686
143,13686
144,13686
145,15309
146,15309
147,15309
148,15309
149,15309
150,16470
151,16470
152,16470
153,16470
154,16470
155,16470
156,16470
157,16470
158,16470
160,16470
161,16470
162,16470
163,16470
164,16470
165,16470
166,16470
167,16470
168,16470
169,16470
170,16470
171,16470
172,16470
173,16470
174,16470
175,17829
176,17829
177,17829
178,17829
179,17829
180,18924
181,18924
182,18924
183,18924
185,18924
186,18924
187,18924
188,18924
189,18924
190,18924
191,18924
192,18924
193,18924
194,18924
195,18924
196,18924
197,18924
198,18924
199,18924
200,18924
201,18924
202,18924
203,18924
204,18924
205,20481
206,20481
207,20481
209,20481
210,20481
211,21642
212,21642
213,21642
214,21642
215,21642
216,21642
217,21642
218,21642
219,21642
220,21642
221,21642
222,21642
223,21642
224,21642
225,21642
226,21642
227,21642
228,21642
229,21642
230,21642
231,21642
232,21642
234,21642
235,21642
236,23529
237,23529
238,23529
239,23529
240,23832
241,25020
242,25020
243,25020
244,25020
245,25020
246,25020
247,25020
248,25020
249,25020
250,25020
251,25020
252,25020
253,25020
254,25020
255,25020
256,25020
257,25020
259,25020
260,25020
261,25020
262,25020
263,25020
264,25020
265,25323
266,26511
267,26511
268,26511
269,26511
270,27936
271,27936
272,27936
273,27936
274,27936
275,27936
276,27936
277,27936
278,27936
279,27936
280,27936
281,27936
283,27936
284,27936
285,27936
286,27936
287,27936
288,27936
289,27936
290,27936
291,27936
292,27936
293,27936
294,27936
295,29823
296,29823
297,29823
298,29823
299,29823
300,31578
301,31578
302,31578
303,31578
304,31578
305,31578
306,31578
308,31578
309,31578
310,31578
311,31578
312,31578
313,31578
314,31578
315,31578
316,31578
317,31578
318,31578
319,31578
320,31578
321,31578
322,31578
323,31578
324,31578
325,33069
326,33069
327,33069
328,33069
329,33069
330,34428
331,34428
333,34428
334,34428
335,34428
336,34428
337,34428
338,34428
339,34428
340,34428
341,34428
342,34428
343,34428
344,34428
345,34428
346,34428
347,34428
348,34428
349,34428
350,34428
351,34428
352,34428
353,34428
354,34428
355,36183
357,36183
358,36183
359,36183
360,36183
361,37740
362,37740
363,37740
364,37740
365,37740
366,37740
367,37740
368,37740
369,37740
370,37740
371,37740
372,37740
373,37740
374,37740
375,37740
376,37740
377,37740
378,37740
379,37740
380,37740
382,37740
383,37740
384,37740
385,37740
386,39297
387,39297
388,39297
389,39297
390,40722
391,40722
392,40722
393,40722
