time(s),total_tx(bytes)
0,0
1,462
2,462
3,462
4,462
5,462
6,582
7,582
8,714
9,714
10,714
11,714
12,714
13,714
14,714
15,714
16,714
17,714
18,714
19,714
21,714
22,714
23,714
24,714
25,714
26,714
27,714
28,714
29,714
30,714
31,714
32,714
33,714
34,714
35,714
36,714
37,714
38,714
39,714
40,714
41,714
42,714
43,714
44,714
46,714
47,714
48,714
49,714
50,714
51,714
52,714
53,714
54,714
55,714
56,714
57,714
58,714
59,714
60,714
61,714
62,714
63,714
64,714
65,714
66,846
67,846
68,846
69,846
71,846
72,966
73,966
74,966
75,966
76,966
77,966
78,966
79,966
80,966
81,966
82,966
83,966
84,966
85,966
86,966
87,966
88,966
89,966
90,966
91,966
92,966
93,966
95,966
96,966
97,966
98,966
99,966
100,966
101,966
102,966
103,966
104,966
105,966
106,966
107,966
108,966
109,966
110,966
111,966
112,966
113,966
114,966
115,966
116,966
117,966
118,966
120,966
121,966
122,966
123,966
124,966
125,966
126,966
127,966
128,966
129,966
130,966
131,966
132,966
133,966
134,966
135,966
136,966
137,966
138,966
139,966
140,966
141,966
142,966
143,966
145,966
146,966
147,966
148,966
149,966
150,966
151,966
152,966
153,966
154,966
155,966
156,966
157,966
158,966
159,966
160,966
161,966
162,966
163,966
164,966
165,966
166,966
167,966
169,966
170,966
171,966
172,966
173,966
174,966
175,966
176,966
177,966
178,966
179,966
180,966
181,966
182,966
183,966
184,966
185,966
186,966
187,966
188,966
189,966
190,966
191,966
192,966
194,966
195,966
196,966
197,966
198,966
199,966
200,966
201,966
202,966
203,966
204,966
205,966
206,966
207,966
208,966
209,966
210,966
211,966
212,966
213,966
214,966
215,966
216,966
217,966
219,966
220,966
221,966
222,966
223,966
224,966
225,966
226,966
227,966
228,966
229,966
230,966
231,966
232,966
233,966
234,966
235,966
236,966
237,966
238,966
239,966
240,966
241,966
243,966
244,966
245,966
246,966
247,966
248,966
249,966
250,966
251,966
252,966
253,966
254,966
255,966
256,966
257,966
258,966
259,966
260,966
261,966
262,966
263,966
264,966
265,966
266,966
268,966
269,966
270,966
271,966
272,966
273,966
274,966
275,966
276,966
277,966
278,966
279,966
280,966
281,966
282,966
283,966
284,966
285,966
286,966
287,966
288,966
289,966
290,966
292,966
293,966
294,966
295,966
296,966
297,966
298,966
299,966
300,966
301,966
302,966
303,966
304,966
305,966
306,966
307,966
308,966
309,966
310,966
311,966
312,966
313,966
314,966
315,966
317,966
318,966
319,966
320,966
321,966
322,966
323,966
324,966
325,966
326,966
327,966
328,966
329,966
330,966
331,966
332,966
333,966
334,966
335,966
336,966
337,966
338,966
339,966
340,966
342,966
343,966
344,966
345,966
346,966
347,966
348,966
349,966
350,966
351,966
352,966
353,966
354,966
355,966
356,966
357,966
358,966
359,966
360,966
361,966
362,966
363,966
364,966
366,966
367,966
368,966
369,966
370,966
371,966
372,966
373,966
374,966
375,966
376,966
377,966
378,966
379,966
380,966
381,966
382,966
383,966
384,966
385,966
386,966
387,966
388,966
389,966
391,966
392,966
393,966
394,966
395,966
396,966
397,966
398,966
399,966
400,966
401,966
402,966
403,966
404,966
405,966
406,966
407,966
408,966
409,966
410,966
411,966
412,966
413,966
414,966
416,966
417,966
418,966
419,966
420,966
421,966
422,966
423,966
424,966
425,966
426,966
427,966
428,966
429,966
430,966
431,966
432,966
433,966
434,966
435,966
436,966
437,966
438,966
440,966
441,966
442,966
443,966
444,966
445,966
446,966
447,966
448,966
449,966
450,966
451,966
452,966
453,966
454,966
455,966
456,966
457,966
458,966
459,966
460,966
461,966
462,966
463,966
465,966
466,966
467,966
468,966
469,966
470,966
471,966
472,966
473,966
474,966
475,966
476,966
477,966
478,966
479,966
480,966
481,966
482,966
483,966
484,966
485,966
486,966
487,966
488,966
490,966
491,966
492,966
493,966
494,966
495,966
496,966
497,966
498,966
499,966
500,966
501,966
502,966
503,966
504,966
505,966
506,966
507,966
508,966
509,966
510,966
511,966
512,966
514,966
515,966
516,966
517,966
518,966
519,966
520,966
521,966
522,966
523,966
524,966
525,966
526,966
527,966
528,966
529,966
530,966
531,966
532,966
533,966
534,966
535,966
536,966
537,966
539,966
540,966
541,966
542,966
543,966
544,966
545,966
546,966
547,966
548,966
549,966
550,966
551,966
552,966
553,966
554,966
555,966
556,966
557,966
558,966
559,966
560,966
561,966
562,966
564,966
565,966
566,966
567,966
568,966
569,966
570,966
571,966
572,966
573,966
574,966
575,966
576,966
577,966
578,966
579,966
580,966
581,966
582,966
583,966
584,966
585,966
586,966
588,966
589,966
590,966
591,966
592,966
593,966
594,966
595,966
596,966
597,966
598,966
599,966
600,966
601,966
602,966
603,966
604,966
605,966
606,966
607,966
608,966
609,966
610,966
611,966
613,966
614,966
615,966
616,966
617,966
618,966
619,966
620,966
621,966
622,966
623,966
624,966
625,966
626,966
627,966
628,966
629,966
630,966
631,966
632,966
633,966
634,966
635,966
636,966
638,966
639,966
640,966
641,966
642,966
643,966
644,966
645,966
646,966
647,966
648,966
649,966
650,966
651,966
652,966
653,966
654,966
655,966
656,966
657,966
658,966
659,966
660,966
662,966
663,966
664,966
665,966
666,966
667,966
668,966
669,966
670,966
671,966
672,966
673,966
674,966
675,966
676,966
677,966
678,966
679,966
680,966
681,966
682,966
683,966
684,966
685,966
687,966
688,966
689,966
690,966
691,966
692,966
693,966
694,966
695,966
696,966
697,966
698,966
699,966
700,966
701,966
702,966
703,966
704,966
705,966
706,966
707,966
708,966
709,966
711,966
712,966
713,966
714,966
715,966
716,966
717,966
718,966
