time(s),total_tx(bytes)
0,0
1,534835
2,534835
3,534835
4,534835
5,534835
6,534835
7,534835
8,534835
9,534835
10,534835
12,534835
13,534835
14,534835
15,534835
16,534835
17,534835
18,534835
19,534835
20,534835
21,534835
22,534835
23,534835
24,534835
25,783839
26,783839
27,783839
28,783839
29,783839
30,1032843
31,1032843
32,1032843
33,1032843
34,1032843
35,1032843
37,1032843
38,1032843
39,1032843
40,1032843
41,1032843
42,1032843
43,1032843
44,1032843
45,1032843
46,1032843
47,1032843
48,1032843
49,1032843
50,1032843
51,1032843
52,1032843
53,1032843
54,1032843
55,1271245
56,1271245
57,1271245
58,1271245
59,1271245
61,1509647
62,1509647
63,1509647
64,1509647
65,1509647
66,1509647
67,1509647
68,1509647
69,1509647
70,1509647
71,1509647
72,1509647
73,1509647
74,1509647
75,1509647
76,1509647
77,1509647
78,1509647
79,1509647
80,1509647
81,1509647
82,1509647
83,1509647
84,1509647
86,1709068
87,1709068
88,1709068
89,1709068
90,1709068
91,1908489
92,1908489
93,1908489
94,1908489
95,1908489
96,1908489
97,1908489
98,1908489
99,1908489
100,1908489
101,1908489
102,1908489
103,1908489
104,1908489
105,1908489
106,1908489
107,1908489
108,1908489
109,1908489
111,1908489
112,1908489
113,1908489
114,1908489
115,1908489
116,2172398
117,2172398
118,2172398
119,2172398
120,2436307
121,2436307
122,2436307
123,2436307
124,2436307
125,2436307
126,2436307
127,2436307
128,2436307
129,2436307
130,2436307
131,2436307
132,2436307
133,2436307
135,2436307
136,2436307
137,2436307
138,2436307
139,2436307
140,2436307
141,2436307
142,2436307
143,2436307
144,2436307
145,2699473
146,2699473
147,2699473
148,2699473
149,2699473
150,2962639
151,2962639
152,2962639
153,2962639
154,2962639
155,2962639
156,2962639
157,2962639
158,2962639
160,2962639
161,2962639
162,2962639
163,2962639
164,2962639
165,2962639
166,2962639
167,2962639
168,2962639
169,2962639
170,2962639
171,2962639
172,2962639
173,2962639
174,2962639
175,3193411
176,3193411
