time(s),total_rx(bytes)
0,0
1,1069
2,1069
3,1069
4,1069
5,1069
6,1153
7,1153
8,1153
9,1153
10,1153
11,1153
12,1153
13,1153
14,1153
16,1153
17,1153
18,1153
19,1153
20,1153
21,1153
22,1153
23,1153
24,1153
25,1153
26,1153
27,1153
28,1153
29,1153
30,1840
31,1840
32,1840
33,1840
34,1840
35,1840
36,1840
37,1840
38,1840
40,1840
41,1840
42,1840
43,1840
44,1840
45,1840
46,1840
47,1840
48,1840
49,1840
50,1840
51,1840
52,1840
53,1840
54,1840
55,1840
56,1840
57,1840
58,1840
59,1840
60,2724
61,2724
62,2724
63,2724
65,2724
66,2766
67,2766
68,2766
69,2766
70,2766
71,2766
72,2766
73,2766
74,2766
75,2766
76,2766
77,2766
78,2766
79,2766
80,2766
81,2766
82,2766
83,2766
84,2766
85,2766
86,2766
87,2766
89,2766
90,2766
91,3651
92,3651
93,3651
94,3651
95,3651
96,3693
97,3693
98,3693
99,3693
100,3693
101,3693
102,3693
103,3693
104,3693
105,3693
106,3693
107,3693
108,3693
109,3693
110,3693
111,3693
112,3693
114,3693
115,3693
116,3693
117,3693
118,3693
119,3693
120,3693
121,4644
122,4644
123,4644
124,4644
125,4686
126,4686
127,4686
128,4686
129,4686
130,4686
131,4686
132,4686
133,4686
134,4686
135,4686
136,4686
137,4686
139,4686
140,4686
141,4686
142,4686
143,4686
144,4686
145,4686
146,4686
147,4686
148,4686
149,4686
150,5769
151,5769
152,5769
153,5769
154,5769
155,5811
156,5811
157,5811
158,5811
159,5811
160,5811
161,5811
162,5811
164,5811
165,5811
166,5811
167,5811
168,5811
169,5811
170,5811
171,5811
172,5811
173,5811
174,5811
175,5811
176,5811
177,5811
178,5811
179,5811
180,6762
181,6762
182,6762
183,6762
184,6762
185,6762
186,6762
188,6762
189,6762
190,6762
191,6762
192,6762
193,6762
194,6762
195,6762
196,6762
197,6762
198,6762
199,6762
200,6762
201,6762
202,6762
203,6762
204,6762
205,6762
206,6762
207,6762
208,6762
209,6762
210,7779
211,7779
213,7779
214,7779
215,7779
216,7863
217,7863
218,7863
219,7863
220,7863
221,7863
222,7863
223,7863
224,7863
225,7863
226,7863
227,7863
228,7863
229,7863
230,7863
231,7863
232,7863
233,7863
234,7863
235,7863
237,7863
238,7863
239,7863
240,7863
241,8880
242,8880
243,8880
244,8880
245,8880
246,8922
247,8922
248,8922
249,8922
250,8922
251,8922
252,8922
253,8922
254,8922
255,8922
256,8922
257,8922
258,8922
259,8922
260,8922
262,8922
263,8922
264,8922
265,8922
266,8922
267,8922
268,8922
269,8922
270,9279
271,10071
272,10071
273,10071
274,10071
275,10155
276,10155
277,10155
278,10155
279,10155
280,10155
281,10155
282,10155
283,10155
284,10155
285,10155
287,10155
288,10155
289,10155
290,10155
291,10155
292,10155
293,10155
294,10155
295,10155
296,10155
297,10155
298,10155
299,10155
300,11106
301,11106
302,11106
303,11106
304,11106
305,11148
306,11148
307,11148
308,11148
309,11148
311,11148
312,11148
313,11148
314,11148
315,11148
316,11148
317,11148
318,11148
319,11148
320,11148
321,11148
322,11148
323,11148
324,11148
325,11148
326,11148
327,11148
328,11148
329,11148
330,12165
331,12165
332,12165
333,12165
334,12165
336,12207
337,12207
338,12207
339,12207
340,12207
341,12207
342,12207
343,12207
344,12207
345,12207
346,12207
347,12207
348,12207
349,12207
350,12207
351,12207
352,12207
353,12207
354,12207
355,12207
356,12207
357,12207
358,12207
360,12207
361,13488
362,13488
363,13488
364,13488
365,13488
366,13530
367,13530
368,13530
369,13530
370,13530
371,13530
372,13530
373,13530
374,13530
375,13530
376,13530
377,13530
378,13530
379,13530
380,13530
381,13530
382,13530
383,13530
385,13530
386,13530
387,13530
388,13530
389,13530
390,13530
391,14745
392,14745
393,14745
394,14745
395,14745
396,14787
397,14787
398,14787
399,14787
400,14787
401,14787
402,14787
403,14787
404,14787
405,14787
406,14787
407,14787
408,14787
410,14787
411,14787
412,14787
413,14787
414,14787
415,14787
416,14787
417,14787
418,14787
419,14787
420,15738
421,15738
422,15738
423,15738
424,15738
425,15780
426,15780
427,15780
428,15780
429,15780
430,15780
431,15780
432,15780
434,15780
435,15780
436,15780
437,15780
438,15780
439,15780
440,15780
441,15780
442,15780
443,15780
444,15780
445,15780
446,15780
447,15780
448,15780
449,15780
450,16929
451,16929
452,16929
453,16929
454,16929
455,17013
456,17013
457,17013
459,17013
460,17013
461,17013
462,17013
463,17013
464,17013
465,17013
466,17013
467,17013
468,17013
469,17013
470,17013
471,17013
472,17013
473,17013
474,17013
475,17013
476,17013
477,17013
478,17013
479,17013
480,17964
481,17964
482,17964
484,17964
485,17964
486,18006
487,18006
488,18006
489,18006
490,18006
491,18006
492,18006
493,18006
494,18006
495,18006
496,18006
497,18006
498,18006
499,18006
500,18006
501,18006
502,18006
503,18006
504,18006
505,18006
506,18006
508,18006
509,18006
510,18006
511,18825
512,18825
513,18825
514,18825
515,18825
516,18825
517,18825
518,18825
519,18825
520,18825
521,18825
522,18825
523,18825
524,18825
525,18825
526,18825
527,18825
528,18825
529,18825
530,18825
531,18825
533,18825
534,18825
535,18825
536,18825
537,18825
538,18825
539,18825
540,18825
541,19776
542,19776
543,19776
544,19776
545,19776
546,19776
547,19776
548,19776
549,19776
550,19776
551,19776
552,19776
553,19776
554,19776
555,19776
556,19776
558,19776
559,19776
560,19776
561,19776
562,19776
563,19776
564,19776
565,19776
566,19776
567,19776
568,19776
569,19776
570,20793
571,20793
572,20793
573,20793
574,20793
575,20793
576,20793
577,20793
578,20793
579,20793
580,20793
582,20793
583,20793
584,20793
585,20793
586,20793
587,20793
588,20793
589,20793
590,20793
591,20793
592,20793
593,20793
594,20793
595,20793
596,20793
597,20793
598,20793
599,20793
600,21942
601,21942
602,21942
603,21942
604,21942
605,21942
607,21942
608,21942
609,21942
610,21942
611,21942
612,21942
613,21942
614,21942
615,21942
616,21942
617,21942
618,21942
619,21942
620,21942
621,21942
622,21942
623,21942
624,21942
625,21942
626,21942
627,21942
628,21942
629,21942
631,22893
632,22893
633,22893
634,22893
635,22893
636,22893
637,22893
638,22893
639,22893
640,22893
641,22893
642,22893
643,22893
644,22893
645,22893
646,22893
647,22893
648,22893
649,22893
650,22893
651,22893
652,22893
653,22893
654,22893
656,22893
657,22893
658,22893
659,22893
660,22893
661,23844
662,23844
663,23844
664,23844
665,23844
666,23844
667,23844
668,23844
669,23844
670,23844
671,23844
672,23844
673,23844
674,23844
675,23844
676,23844
677,23844
678,23844
680,23844
681,23844
682,23844
683,23844
684,23844
685,23844
686,23844
687,23844
688,23844
689,23844
690,24597
691,24597
692,24597
693,24597
694,24597
695,24597
696,24597
697,24597
698,24597
699,24597
700,24597
701,24597
702,24597
703,24597
705,24597
706,24597
707,24597
708,24597
709,24597
710,24597
711,24597
712,24597
713,24597
714,24597
715,24597
716,24597
717,24597
718,24597
719,24597
720,25283
721,25283
722,25283
723,25283
724,25283
725,25283
726,25283
727,25283
728,25283
730,25283
731,25283
732,25283
733,25283
734,25283
735,25283
736,25283
737,25283
738,25283
739,25283
740,25283
741,25283
742,25283
743,25283
744,25283
745,25283
746,25283
747,25283
748,25283
749,25283
750,25969
751,25969
752,25969
754,25969
755,25969
756,25969
757,25969
758,25969
759,25969
760,25969
761,25969
