time(s),total_tx(bytes)
0,0
1,929
2,929
3,929
4,929
5,929
6,1049
7,1049
8,1049
9,1049
10,1049
11,1049
12,1049
13,1049
14,1049
16,1049
17,1049
18,1049
19,1049
20,1049
21,1049
22,1049
23,1049
24,1049
25,1049
26,1049
27,1049
28,1049
29,1049
30,54693
31,54693
32,54693
33,54693
34,54693
35,54693
36,54693
37,54693
38,54693
40,54693
41,54693
42,54693
43,54693
44,54693
45,54693
46,54693
47,54693
48,54693
49,54693
50,54693
51,54693
52,54693
53,54693
54,54693
55,54693
56,54693
57,54693
58,54693
59,54693
60,129504
61,129504
62,129504
63,129504
65,129504
66,129564
67,129564
68,129564
69,129564
70,129564
71,129564
72,129564
73,129564
74,129564
75,129564
76,129564
77,129564
78,129564
79,129564
80,129564
81,129564
82,129564
83,129564
84,129564
85,129564
86,129564
87,129564
89,129564
90,129564
91,222349
92,222349
93,222349
94,222349
95,222349
96,222409
97,222409
98,222409
99,222409
100,222409
101,222409
102,222409
103,222409
104,222409
105,222409
106,222409
107,222409
108,222409
109,222409
110,222409
111,222409
112,222409
114,222409
115,222409
116,222409
117,222409
118,222409
119,222409
120,222409
121,332945
122,332945
123,332945
124,332945
125,333005
126,333005
127,333005
128,333005
129,333005
130,333005
131,333005
132,333005
133,333005
134,333005
135,333005
136,333005
137,333005
139,333005
140,333005
141,333005
142,333005
143,333005
144,333005
145,333005
146,333005
147,333005
148,333005
149,333005
150,482059
151,482059
152,482059
153,482059
154,482059
155,482119
156,482119
157,482119
158,482119
159,482119
160,482119
161,482119
162,482119
164,482119
165,482119
166,482119
167,482119
168,482119
169,482119
170,482119
171,482119
172,482119
173,482119
174,482119
175,482119
176,482119
177,482119
178,482119
179,482119
180,574754
181,574754
182,574754
183,574754
184,574754
185,574754
186,574754
188,574754
189,574754
190,574754
191,574754
192,574754
193,574754
194,574754
195,574754
196,574754
197,574754
198,574754
199,574754
200,574754
201,574754
202,574754
203,574754
204,574754
205,574754
206,574754
207,574754
208,574754
209,574754
210,707316
211,707316
213,707316
214,707316
215,707316
216,707436
217,707436
218,707436
219,707436
220,707436
221,707436
222,707436
223,707436
224,707436
225,707436
226,707436
227,707436
228,707436
229,707436
230,707436
231,707436
232,707436
233,707436
234,707436
235,707436
237,707436
238,707436
239,707436
240,707436
241,829490
242,829490
243,829490
244,829490
245,829490
246,829550
247,829550
248,829550
249,829550
250,829550
251,829550
252,829550
253,829550
254,829550
255,829550
256,829550
257,829550
258,829550
259,829550
260,829550
262,829550
263,829550
264,829550
265,829550
266,829550
267,829550
268,829550
269,829550
270,829616
271,964092
272,964092
273,964092
274,964092
275,964212
276,964212
277,964212
278,964212
279,964212
280,964212
281,964212
282,964212
283,964212
284,964212
285,964212
287,964212
288,964212
289,964212
290,964212
291,964212
292,964212
293,964212
294,964212
295,964212
296,964212
297,964212
298,964212
299,964212
300,1057231
301,1057231
302,1057231
303,1057231
304,1057231
305,1057291
306,1057291
307,1057291
308,1057291
309,1057291
311,1057291
312,1057291
