time(s),total_rx(bytes)
0,0
1,74
2,148
3,148
4,222
5,1118
6,3424
7,3424
8,4831
9,5425
10,5425
11,5848
13,5848
14,5848
15,6271
16,6271
17,6682
18,6682
19,6682
20,6682
21,6682
22,6682
23,7396
24,8110
25,8467
26,8824
27,8824
28,8824
29,8824
30,10252
31,10609
32,10966
33,11323
34,11323
35,11323
36,12037
37,12037
39,12037
40,13465
41,13822
42,13822
43,15607
44,16321
45,16321
46,17035
47,17035
48,17035
49,17392
50,17749
51,17749
52,17749
53,18246
54,18320
55,18677
56,18751
57,19108
58,19108
59,19108
60,19396
61,19544
62,19544
63,19692
64,19692
66,21050
67,21050
68,22215
69,24556
70,24556
71,24979
72,24979
73,25402
74,25402
75,25402
76,25402
77,25456
78,25813
79,25813
80,25813
81,25813
82,25813
83,26236
84,26593
85,26593
86,26593
87,26593
88,26593
89,26593
90,27664
91,28378
93,28378
94,28735
95,28735
96,28735
97,29092
98,29092
99,29449
100,30520
101,30877
102,31591
103,33019
104,33376
105,33733
106,34090
107,34090
108,34090
109,34447
110,34447
111,34447
112,34804
113,35875
114,36589
115,36946
116,37660
117,37660
118,37660
120,38017
121,39511
122,39868
123,39868
124,40225
125,40225
126,40582
127,41296
128,41296
129,41867
130,42015
131,42015
132,42377
133,42882
134,42882
135,43072
136,44435
137,44489
138,44489
139,45852
140,47498
141,47498
142,47498
143,47855
144,48212
145,49070
147,50914
148,50914
149,50914
150,50914
151,50914
152,52342
153,52699
154,53056
155,53413
156,53770
157,53770
158,54127
159,54841
160,55555
161,55912
162,57340
163,57697
164,58411
165,58768
166,59125
167,59125
168,59482
169,59482
170,59482
171,59482
173,59839
174,61267
175,61624
176,61981
177,62338
178,62695
179,62695
180,63192
181,63266
182,63266
183,63340
184,63340
185,63340
186,64593
187,66410
188,66410
189,69271
190,69271
191,69271
192,69271
193,69271
194,69694
195,69694
196,69748
197,69748
198,69748
200,69748
201,69748
202,69748
203,69748
204,70171
205,70594
206,70594
207,70594
208,70594
209,70594
210,71308
211,72022
212,72379
213,72736
214,72736
215,72736
216,72736
217,73093
218,73093
219,74164
220,74521
221,74878
222,76306
223,77377
224,77377
225,78091
227,78091
228,78091
229,78448
230,78448
231,78448
232,78448
233,79162
234,80233
235,80590
236,80947
237,81661
238,81661
239,81661
240,82232
241,82380
242,82380
243,82528
244,82528
245,82570
246,85796
247,87291
248,88871
249,88871
250,89294
251,89294
252,89717
254,89717
255,89717
256,89717
257,89771
258,89771
259,89771
260,89771
261,89771
262,89771
263,90194
264,90551
265,90551
266,90551
267,90551
268,90551
269,90551
270,91622
271,91979
272,92336
273,92693
274,92693
275,92693
276,93050
277,93050
278,93050
280,94478
281,94835
282,94835
283,96620
284,97334
