time(s),total_rx(bytes)
0,0
1,553
2,553
3,10653
4,17964
5,25011
6,27536
7,27536
9,27536
10,27536
11,27536
12,27536
13,27536
14,27536
15,27536
16,27536
17,27536
18,27536
19,27536
20,27536
21,27536
22,27536
23,27536
24,27536
25,27536
26,27536
27,27536
28,27536
29,27536
30,27536
31,27536
32,27536
34,27536
35,27536
36,27536
37,27536
38,27536
39,27536
40,27536
41,27536
42,27536
43,27536
44,27536
45,27536
46,27536
47,27536
48,27536
49,27536
50,27536
51,27536
52,27536
53,27536
54,27536
55,27536
56,27536
58,27536
59,27536
60,27536
61,27536
62,27536
63,27536
64,27536
65,27536
66,27536
67,27536
68,27536
69,27536
70,27536
71,27602
72,27602
73,27602
74,27602
75,27602
76,27686
77,27686
78,27686
79,27686
80,27686
81,27686
83,27686
84,27686
85,27686
86,27686
87,27686
88,27686
89,27686
90,27686
91,27686
92,27686
93,27686
94,27686
95,27686
96,27686
97,27686
98,27686
99,27686
100,27686
101,27686
102,27686
103,27686
104,27686
105,27686
106,27686
108,27686
109,27686
110,27686
111,27686
112,27686
113,27686
114,27686
115,27686
116,27686
117,27686
118,27686
119,27686
120,27686
121,27686
122,27686
123,27686
124,27686
125,27686
126,27686
127,27686
128,27686
129,27686
130,27686
131,27686
133,27686
134,27686
135,27686
136,27686
137,27686
138,27686
139,27686
140,27686
141,27686
142,27686
143,27686
144,27686
145,27686
146,27686
147,27686
148,27686
149,27686
150,27686
151,27686
152,27686
153,27686
154,27686
155,27686
157,27686
158,27686
159,27686
160,27686
161,27686
162,27686
163,27686
164,27686
165,27686
166,27686
167,27686
168,27686
169,27686
170,27686
171,27686
172,27686
173,27686
174,27686
175,27686
176,27686
177,27686
178,27686
179,27686
180,27686
182,27686
183,27686
184,27686
185,27686
186,27686
187,27686
188,27686
189,27686
190,27686
191,27686
192,27686
193,27686
194,27686
195,27686
196,27686
197,27686
198,27686
199,27686
200,27686
201,27686
202,27686
203,27686
204,27686
205,27686
207,27686
208,27686
209,27686
210,27686
211,27686
212,27686
213,27686
214,27686
215,27686
216,27686
217,27686
218,27686
219,27686
220,27686
221,27686
222,27686
223,27686
224,27686
225,27686
226,27686
227,27686
228,27686
229,27686
230,27686
232,27686
233,27686
234,27686
235,27686
236,27686
237,27686
238,27686
239,27686
240,27686
241,27686
242,27686
243,27686
244,27686
245,27686
246,27686
247,27686
248,27686
249,27686
250,27686
251,27686
252,27686
253,27686
254,27686
256,27686
257,27686
258,27686
259,27686
260,27686
261,27686
262,27686
263,27686
264,27686
265,27686
266,27686
267,27686
268,27686
269,27686
270,27686
271,27686
272,27686
273,27686
274,27686
275,27686
276,27686
277,27686
278,27686
279,27686
281,27686
282,27686
283,27686
284,27686
285,27686
286,27686
287,27686
288,27686
289,27686
290,27686
291,27686
292,27686
293,27686
294,27686
295,27686
296,27686
297,27686
298,27686
299,27686
300,27686
301,27686
302,27686
303,27686
304,27686
306,27686
307,27686
308,27686
309,27686
310,27686
311,27686
312,27686
313,27686
314,27686
315,27686
316,27686
317,27686
318,27686
319,27686
320,27686
321,27686
322,27686
323,27686
324,27686
325,27686
326,27686
327,27686
328,27686
330,27686
331,27686
332,27686
333,27686
334,27686
335,27686
336,27686
337,27686
338,27686
339,27686
340,27686
341,27686
342,27686
343,27686
344,27686
345,27686
346,27686
347,27686
348,27686
349,27686
350,27686
351,27686
352,27686
353,27686
355,27686
356,27686
357,27686
358,27686
359,27686
360,27686
361,27686
362,27686
363,27686
364,27686
365,27686
366,27686
367,27686
368,27686
369,27686
370,27686
371,27686
372,27686
373,27686
374,27686
375,27686
376,27686
377,27686
378,27686
380,27686
381,27686
382,27686
383,27686
384,27686
385,27686
386,27686
387,27686
388,27686
389,27686
390,27686
391,27686
392,27686
393,27686
394,27686
395,27686
396,27686
397,27686
398,27686
399,27686
400,27686
401,27686
402,27686
403,27686
405,27686
406,27686
407,27686
408,27686
409,27686
410,27686
411,27686
412,27686
413,27686
414,27686
415,27686
416,27686
417,27686
418,27686
419,27686
420,27686
421,27686
422,27686
423,27686
424,27686
425,27686
426,27686
427,27686
429,27686
430,27686
431,27686
432,27686
433,27686
434,27686
435,27686
436,27686
437,27686
438,27686
439,27686
440,27686
441,27686
442,27686
443,27686
444,27686
445,27686
446,27686
447,27686
448,27686
449,27686
450,27686
451,27686
452,27686
454,27686
455,27686
456,27686
457,27686
458,27686
459,27686
460,27686
461,27686
462,27686
463,27686
464,27686
465,27686
466,27686
467,27686
468,27686
469,27686
470,27686
471,27686
472,27686
473,27686
474,27686
475,27686
476,27686
477,27686
479,27686
480,27686
481,27686
482,27686
483,27686
484,27686
485,27686
486,27686
487,27686
488,27686
489,27686
490,27686
491,27686
492,27686
493,27686
494,27686
495,27686
496,27686
497,27686
498,27686
499,27686
500,27686
501,27686
503,27686
504,27686
505,27686
506,27686
507,27686
508,27686
509,27686
510,27686
511,27686
512,27686
513,27686
514,27686
515,27686
516,27686
517,27686
518,27686
519,27686
520,27686
521,27686
522,27686
523,27686
524,27686
525,27686
526,27686
528,27686
529,27686
530,27686
531,27686
532,27686
533,27686
534,27686
535,27686
536,27686
537,27686
538,27686
539,27686
540,27686
541,27686
542,27686
543,27686
544,27686
545,27686
546,27686
547,27686
548,27686
549,27686
550,27686
551,27686
553,27686
554,27686
555,27686
556,27686
557,27686
558,27686
559,27686
560,27686
561,27686
562,27686
563,27686
564,27686
565,27686
566,27686
567,27686
568,27686
569,27686
570,27686
571,27686
572,27686
573,27686
574,27686
575,27686
577,27686
578,27686
579,27686
580,27686
581,27686
582,27686
583,27686
584,27686
585,27686
586,27686
587,27686
588,27686
589,27686
590,27686
591,27686
592,27686
593,27686
594,27686
595,27686
596,27686
597,27686
598,27686
599,27686
600,27686
602,27686
603,27686
604,27686
605,27686
606,27686
607,27686
608,27686
609,27686
610,27686
611,27686
612,27686
613,27686
614,27686
615,27686
616,27686
617,27686
618,27686
619,27686
620,27686
621,27686
622,27686
623,27686
624,27686
625,27686
627,27686
628,27686
629,27686
630,27686
631,27686
632,27686
633,27686
634,27686
635,27686
636,27686
637,27686
638,27686
639,27686
640,27686
641,27686
642,27686
643,27686
644,27686
645,27686
646,27686
647,27686
648,27686
649,27686
651,27686
652,27686
653,27686
654,27686
655,27686
656,27686
657,27686
658,27686
659,27686
660,27686
661,27686
662,27686
663,27686
664,27686
665,27686
666,27686
667,27686
668,27686
669,27686
670,27686
671,27686
672,27686
673,27686
674,27686
676,27686
677,27686
678,27686
679,27686
680,27686
681,27686
682,27686
683,27686
684,27686
685,27686
686,27686
687,27686
688,27686
689,27686
690,27686
691,27686
692,27686
693,27686
694,27686
695,27686
696,27686
697,27686
698,27686
699,27686
701,27686
702,27686
703,27686
704,27686
705,27686
706,27686
707,27686
708,27686
709,27686
710,27686
711,27686
712,27686
713,27686
714,27686
715,27686
716,27686
717,27686
718,27686
719,27686
720,27686
721,27686
722,27686
723,27686
725,27686
726,27686
727,27686
728,27686
729,27686
730,27686
731,27686
732,27686
733,27686
734,27686
735,27686
736,27686
737,27686
738,27686
739,27686
740,27686
741,27686
742,27686
743,27686
744,27686
745,27686
746,27686
747,27686
748,27686
750,27686
751,27686
752,27686
753,27686
754,27686
755,27686
756,27686
757,27686
758,27686
759,27686
760,27686
761,27686
762,27686
763,27686
764,27686
765,27686
766,27686
767,27686
768,27686
769,27686
770,27686
771,27686
772,27686
773,27686
775,27686
776,27686
777,27686
778,27686
779,27686
780,27686
781,27686
782,27686
783,27686
784,27686
785,27686
786,27686
787,27686
788,27686
789,27686
790,27686
791,27686
792,27686
793,27686
794,27686
795,27686
796,27686
797,27686
798,27686
800,27686
801,27686
802,27686
803,27686
