time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,260
6,231082
7,231082
8,231744
9,347055
10,347055
11,347442
13,347442
14,347442
15,347829
16,347829
17,348015
18,348135
19,348195
20,348255
21,348255
22,348255
23,348255
24,348255
25,348255
26,348255
27,348255
28,348255
29,348255
30,348255
31,348255
32,348255
33,348255
34,348255
35,348255
36,348255
37,348255
39,348255
40,348255
41,348255
42,348255
43,348255
44,348255
45,348255
46,348255
47,348255
48,348255
49,348255
50,348255
51,348255
52,348255
53,348255
54,348255
55,348255
56,348255
57,348255
58,348255
59,348255
60,348255
61,348255
62,348255
63,348255
64,348255
66,437171
67,437171
68,526041
69,703693
70,703693
71,704080
72,704080
73,704467
74,704467
75,704467
76,704467
77,704653
78,704833
79,704833
80,704893
81,704893
82,704893
83,705340
84,705400
85,705400
86,705400
87,705400
88,705400
89,705400
90,705400
91,705400
93,705400
94,705400
95,705400
96,705400
97,705400
98,705400
99,705400
100,705400
101,705400
102,705400
103,705400
104,705400
105,705400
106,705400
107,705400
108,705400
109,705400
110,705400
111,705400
112,705400
113,705400
114,705400
115,705400
116,705400
117,705400
118,705400
120,705400
121,705400
122,705400
123,705400
124,705400
125,705400
126,705400
127,705400
128,705400
129,705400
130,705400
131,705400
132,705400
133,705400
134,705400
135,705460
136,842035
137,842281
138,842341
139,978916
140,1115537
141,1115537
142,1115537
143,1115657
144,1115723
145,1288630
147,1461737
148,1461737
149,1461737
150,1461737
151,1461737
152,1461737
153,1461737
154,1461737
155,1461737
156,1461737
157,1461737
158,1461737
159,1461737
160,1461737
161,1461737
162,1461737
163,1461737
164,1461737
165,1461737
166,1461737
167,1461737
168,1461737
169,1461737
170,1461737
171,1461737
173,1461737
174,1461737
175,1461737
176,1461737
177,1461737
178,1461737
179,1461737
180,1461737
181,1461737
182,1461737
183,1461737
184,1461737
185,1461737
186,1461997
187,1751101
188,1751101
189,2040391
190,2040391
191,2040391
192,2040391
193,2040391
194,2040778
195,2040778
196,2040844
197,2041024
198,2041084
200,2041084
201,2041144
202,2041144
203,2041144
204,2041591
205,2041783
206,2041783
207,2041783
208,2041783
209,2041783
210,2041783
211,2041783
212,2041783
213,2041783
214,2041783
215,2041783
216,2041783
217,2041783
218,2041783
219,2041783
220,2041783
221,2041783
222,2041783
223,2041783
224,2041783
225,2041783
227,2041783
228,2041783
229,2041783
230,2041783
231,2041783
232,2041783
233,2041783
234,2041783
235,2041783
236,2041783
237,2041783
238,2041783
239,2041783
240,2041783
241,2041783
242,2041783
243,2041783
244,2041783
245,2041843
246,2322009
247,2462106
248,2602189
249,2602189
250,2602576
251,2602576
252,2602963
254,2602963
255,2602963
256,2602963
257,2603089
258,2603209
259,2603269
260,2603329
261,2603329
262,2603329
263,2603716
264,2603836
265,2603836
266,2603836
267,2603836
268,2603836
269,2603836
270,2603836
271,2603836
272,2603836
273,2603836
274,2603836
275,2603836
276,2603836
277,2603836
278,2603836
280,2603836
281,2603836
282,2603836
283,2603836
284,2603836
285,2603836
286,2603836
287,2603836
288,2603836
289,2603836
290,2603836
291,2603836
292,2603836
293,2603836
294,2603836
295,2603836
296,2603836
297,2603836
298,2603836
299,2603836
300,2603836
301,2603836
302,2603836
303,2603836
304,2603836
305,2751360
307,3046288
308,3046288
309,3193752
310,3193752
311,3193752
312,3194139
313,3194139
314,3194139
315,3194526
316,3194526
317,3194712
318,3194772
319,3194832
320,3194892
321,3194892
322,3194892
323,3195339
324,3195399
325,3195399
326,3195399
327,3195399
328,3195399
329,3195399
330,3195399
331,3195399
332,3195399
334,3195399
335,3195399
336,3195399
337,3195399
338,3195399
339,3195399
340,3195399
341,3195399
342,3195399
343,3195399
344,3195399
345,3195399
346,3195399
347,3195399
348,3195399
349,3195399
350,3195399
351,3195399
352,3195399
353,3195399
354,3195399
355,3195399
356,3195399
357,3195399
358,3195399
360,3195399
361,3195399
362,3195399
363,3195399
364,3195399
365,3195459
366,3348428
367,3501537
368,3654306
369,3807275
370,3807275
371,3807662
372,3807662
373,3808049
374,3808049
375,3808049
376,3808049
377,3808295
378,3808355
379,3808355
380,3808415
381,3808415
382,3808415
383,3808922
384,3808922
385,3808922
387,3808922
388,3808922
389,3808922
390,3808922
391,3808922
