time(s),total_tx(bytes)
0,0
1,462
2,462
3,2192958
4,3834200
5,5420968
6,5970126
7,5970126
9,5970126
10,5970126
11,5970126
12,5970126
13,5970126
14,5970126
15,5970126
16,5970126
17,5970126
18,5970126
19,5970126
20,5970126
21,5970126
22,5970126
23,5970126
24,5970126
25,5970126
26,5970126
27,5970126
28,5970126
29,5970126
30,5970126
31,5970126
32,5970126
34,5970126
35,5970126
36,5970126
37,5970126
38,5970126
39,5970126
40,5970126
41,5970126
42,5970126
43,5970126
44,5970126
45,5970126
46,5970126
47,5970126
48,5970126
49,5970126
50,5970126
51,5970126
52,5970126
53,5970126
54,5970126
55,5970126
56,5970126
58,5970126
59,5970126
60,5970126
61,5970126
62,5970126
63,5970126
64,5970126
65,5970126
66,5970126
67,5970126
68,5970126
69,5970126
70,5970126
71,5970258
72,5970258
73,5970258
74,5970258
75,5970258
76,5970378
77,5970378
78,5970378
79,5970378
80,5970378
81,5970378
83,5970378
84,5970378
85,5970378
86,5970378
87,5970378
88,5970378
89,5970378
90,5970378
91,5970378
92,5970378
93,5970378
94,5970378
95,5970378
96,5970378
97,5970378
98,5970378
99,5970378
100,5970378
101,5970378
102,5970378
103,5970378
104,5970378
105,5970378
106,5970378
108,5970378
109,5970378
110,5970378
111,5970378
112,5970378
113,5970378
114,5970378
115,5970378
116,5970378
117,5970378
118,5970378
119,5970378
120,5970378
121,5970378
122,5970378
123,5970378
124,5970378
125,5970378
126,5970378
127,5970378
128,5970378
129,5970378
130,5970378
131,5970378
133,5970378
134,5970378
135,5970378
136,5970378
137,5970378
138,5970378
139,5970378
140,5970378
141,5970378
142,5970378
143,5970378
144,5970378
145,5970378
146,5970378
147,5970378
148,5970378
149,5970378
150,5970378
151,5970378
152,5970378
153,5970378
154,5970378
155,5970378
157,5970378
158,5970378
159,5970378
160,5970378
161,5970378
162,5970378
163,5970378
164,5970378
165,5970378
166,5970378
167,5970378
168,5970378
169,5970378
170,5970378
171,5970378
172,5970378
173,5970378
174,5970378
175,5970378
176,5970378
177,5970378
178,5970378
179,5970378
180,5970378
182,5970378
183,5970378
184,5970378
185,5970378
186,5970378
187,5970378
188,5970378
189,5970378
190,5970378
191,5970378
192,5970378
193,5970378
194,5970378
195,5970378
196,5970378
197,5970378
198,5970378
199,5970378
200,5970378
201,5970378
202,5970378
203,5970378
204,5970378
205,5970378
207,5970378
208,5970378
209,5970378
210,5970378
211,5970378
212,5970378
213,5970378
214,5970378
215,5970378
216,5970378
217,5970378
218,5970378
219,5970378
220,5970378
221,5970378
222,5970378
223,5970378
224,5970378
225,5970378
226,5970378
227,5970378
228,5970378
229,5970378
230,5970378
232,5970378
233,5970378
234,5970378
235,5970378
236,5970378
237,5970378
238,5970378
239,5970378
240,5970378
241,5970378
242,5970378
243,5970378
244,5970378
245,5970378
246,5970378
247,5970378
248,5970378
249,5970378
250,5970378
251,5970378
252,5970378
253,5970378
254,5970378
256,5970378
257,5970378
258,5970378
259,5970378
260,5970378
261,5970378
262,5970378
263,5970378
264,5970378
265,5970378
266,5970378
267,5970378
268,5970378
269,5970378
270,5970378
271,5970378
272,5970378
273,5970378
274,5970378
275,5970378
276,5970378
277,5970378
278,5970378
279,5970378
281,5970378
282,5970378
283,5970378
284,5970378
285,5970378
286,5970378
287,5970378
288,5970378
289,5970378
290,5970378
291,5970378
292,5970378
293,5970378
294,5970378
295,5970378
296,5970378
297,5970378
298,5970378
299,5970378
300,5970378
301,5970378
302,5970378
303,5970378
304,5970378
306,5970378
307,5970378
308,5970378
309,5970378
310,5970378
311,5970378
312,5970378
313,5970378
314,5970378
315,5970378
316,5970378
317,5970378
318,5970378
319,5970378
320,5970378
321,5970378
322,5970378
323,5970378
324,5970378
325,5970378
326,5970378
327,5970378
328,5970378
330,5970378
331,5970378
332,5970378
333,5970378
334,5970378
335,5970378
336,5970378
337,5970378
338,5970378
339,5970378
340,5970378
341,5970378
342,5970378
343,5970378
344,5970378
345,5970378
346,5970378
347,5970378
348,5970378
349,5970378
350,5970378
351,5970378
352,5970378
353,5970378
355,5970378
356,5970378
357,5970378
358,5970378
359,5970378
360,5970378
361,5970378
362,5970378
363,5970378
364,5970378
365,5970378
366,5970378
367,5970378
368,5970378
369,5970378
370,5970378
371,5970378
372,5970378
373,5970378
374,5970378
375,5970378
376,5970378
377,5970378
378,5970378
380,5970378
381,5970378
382,5970378
383,5970378
384,5970378
385,5970378
386,5970378
387,5970378
388,5970378
389,5970378
390,5970378
391,5970378
392,5970378
393,5970378
394,5970378
395,5970378
396,5970378
397,5970378
398,5970378
399,5970378
400,5970378
401,5970378
402,5970378
403,5970378
405,5970378
406,5970378
407,5970378
408,5970378
409,5970378
410,5970378
411,5970378
412,5970378
413,5970378
414,5970378
415,5970378
416,5970378
417,5970378
418,5970378
419,5970378
420,5970378
421,5970378
422,5970378
423,5970378
424,5970378
425,5970378
426,5970378
427,5970378
429,5970378
430,5970378
431,5970378
432,5970378
433,5970378
434,5970378
435,5970378
436,5970378
437,5970378
438,5970378
439,5970378
440,5970378
441,5970378
442,5970378
443,5970378
444,5970378
445,5970378
446,5970378
447,5970378
448,5970378
449,5970378
450,5970378
451,5970378
452,5970378
454,5970378
455,5970378
456,5970378
457,5970378
458,5970378
459,5970378
460,5970378
461,5970378
462,5970378
463,5970378
464,5970378
465,5970378
466,5970378
467,5970378
468,5970378
469,5970378
470,5970378
471,5970378
472,5970378
473,5970378
474,5970378
475,5970378
476,5970378
477,5970378
479,5970378
480,5970378
