time(s),total_rx(bytes)
0,0
1,148
2,296
3,296
4,444
5,444
6,486
7,486
8,3753
9,3753
10,3753
11,3753
12,3807
13,3807
14,3807
15,3807
16,3807
17,3807
19,3807
20,3807
21,3807
22,3807
23,3807
24,3807
25,3807
26,3807
27,3807
28,3807
29,3807
30,3807
31,3807
32,3807
33,3807
34,3807
35,3807
36,3807
37,3807
38,3807
39,3807
40,3807
41,3807
42,3807
43,3807
44,3807
46,3807
47,3807
48,3807
49,3807
50,3807
51,3807
52,3807
53,3807
54,3807
55,3807
56,3807
57,3807
58,3807
59,3807
60,3807
61,3807
62,3807
63,3807
64,3807
65,3807
66,3807
67,3807
68,3807
69,3807
70,3807
72,3807
73,3807
74,3807
75,3807
76,3807
77,3807
78,3807
79,3807
80,3807
81,3807
82,3807
83,3807
84,3807
85,3807
86,3807
87,3807
88,3807
89,3807
90,3807
91,3807
92,3807
93,3807
94,3807
95,3807
96,3807
97,3807
99,3807
100,3807
101,3807
102,3807
103,3807
104,3807
105,3807
106,3807
107,3807
108,3807
109,3807
110,3807
111,3807
112,3807
113,3807
114,3807
115,3807
116,3807
117,3807
118,3807
119,3807
120,3807
121,3807
122,3807
123,3807
125,3807
126,3807
127,3807
128,3807
129,3807
130,3807
131,3807
132,3807
133,3807
134,3807
135,3807
136,3807
137,3807
138,3807
139,3807
140,3807
141,3807
142,3807
143,3807
144,3807
145,3807
146,3807
147,3807
148,3807
149,3807
150,3807
152,3807
153,3807
154,3807
155,3807
156,3807
157,3807
158,3807
159,3807
160,3807
161,3807
162,3807
163,3807
164,3807
165,3807
166,3807
167,3807
168,3807
169,3807
170,3807
171,3807
172,3807
173,3807
174,3807
175,3807
176,3807
177,3807
179,3807
180,3807
181,3807
182,3807
183,3807
184,3807
185,3807
186,3807
187,3807
188,3807
189,3807
190,3807
191,3807
192,3807
193,3807
194,3807
195,3807
196,3807
197,3807
198,3807
199,3807
200,3807
201,3807
202,3807
203,3807
205,3807
206,3807
207,3807
208,3807
209,3807
210,3807
211,3807
212,3807
213,3807
214,3807
215,3807
216,3807
217,3807
218,3807
219,3807
220,3807
221,3807
222,3807
223,3807
224,3807
225,3807
226,3807
227,3807
228,3807
229,3807
230,3807
232,3807
233,3807
234,3881
235,3955
236,3955
237,4029
238,4029
239,4071
240,4071
241,5432
242,5432
243,5432
244,5432
245,5432
246,5474
247,5474
248,5474
249,5474
250,5474
251,5474
252,5528
253,5528
254,5528
255,5528
256,5528
258,5528
259,5528
260,5528
261,5528
262,5660
263,5792
264,5858
265,5924
266,5924
267,5924
268,5966
269,6032
270,6032
271,6032
272,6032
273,6032
274,6074
275,6074
276,6074
277,6074
278,6074
279,6074
280,6074
281,6128
282,6128
283,6128
285,6128
286,6128
287,6128
288,6128
289,6128
290,6128
291,6128
292,6128
293,6128
294,6128
295,6128
296,6128
297,6128
298,6128
299,6128
300,6128
301,6128
302,6128
303,6128
304,6128
305,6128
306,6128
307,6128
308,6128
309,6128
311,6128
312,6128
313,6128
314,6128
315,6128
316,6128
317,6128
318,6128
319,6128
320,6128
321,6128
322,6128
323,6128
324,6128
325,6128
326,6128
327,6128
328,6128
329,6128
330,6128
331,6128
332,6128
333,6128
334,6128
335,6128
336,6128
338,6128
339,6128
340,6128
341,6128
342,6128
343,6128
344,6128
345,6128
346,6128
347,6128
348,6128
349,6128
350,6128
351,6128
352,6128
353,6128
354,6128
355,6128
356,6128
357,6128
358,6128
359,6128
360,6128
361,6202
362,6276
364,6276
365,6350
366,6350
367,6392
368,6392
369,7819
370,7819
371,7819
372,7873
373,7873
374,7873
375,7873
376,7873
377,7873
378,7873
379,7873
380,7873
381,7873
382,7873
383,7873
384,7873
385,7873
386,7873
387,7873
388,7873
389,7873
391,7873
392,7873
393,7873
394,7873
395,7873
396,7873
397,7873
398,7873
399,7873
400,7873
401,7873
402,7873
403,7873
404,7873
405,7873
406,7873
407,7873
408,7873
409,7873
410,7873
411,7873
412,7873
413,7873
414,7873
415,7873
416,7873
418,7873
419,7873
420,7873
421,7873
422,7873
423,7873
424,7873
425,7873
426,7873
427,8005
428,8137
429,8203
430,8343
431,8417
432,8459
433,10216
434,10282
435,10282
436,10282
437,10282
438,10324
439,10324
440,10456
441,10456
442,10456
444,10456
445,10456
446,10456
447,10456
448,10456
449,10456
450,10456
451,10456
452,10456
453,10456
454,10456
455,10456
456,10456
457,10456
498,10912
499,11060
500,11208
501,11208
502,11356
504,11356
505,11398
506,11398
507,15193
508,15193
509,15193
510,15193
511,15193
512,15235
513,15235
514,15235
515,15235
516,15235
517,15235
518,15235
519,15235
520,15235
521,15235
522,15289
523,15289
524,15289
525,15289
526,15289
527,15289
528,15289
530,15289
531,15289
532,15289
533,15289
534,15289
535,15289
536,15289
537,15289
538,15289
539,15289
540,15289
541,15289
542,15289
543,15289
544,15289
545,15289
546,15289
547,15289
548,15289
549,15289
550,15289
551,15289
552,15289
553,15289
554,15289
555,15289
557,15289
558,15289
559,15289
560,15289
561,15289
562,15289
563,15289
564,15289
565,15289
566,15289
567,15289
568,15289
569,15289
570,15289
571,15289
572,15289
573,15289
574,15289
575,15289
576,15289
577,15289
578,15289
579,15289
580,15289
581,15289
582,15289
584,15289
585,15289
586,15289
587,15289
588,15289
589,15289
590,15289
591,15289
592,15289
593,15289
594,15289
595,15289
596,15289
597,15289
598,15289
599,15289
600,15289
601,15289
602,15289
603,15289
604,15289
605,15289
606,15289
607,15289
608,15289
610,15289
611,15289
612,15289
613,15289
614,15289
615,15289
616,15289
617,15289
618,15289
619,15289
620,15289
621,15289
622,15289
623,15289
624,15289
625,15289
626,15289
627,15289
628,15289
629,15289
630,15289
631,15289
632,15289
633,15289
634,15289
635,15289
637,15289
638,15289
639,15289
640,15289
641,15289
642,15289
643,15289
644,15289
645,15289
646,15289
647,15289
648,15289
649,15289
650,15289
651,15289
652,15289
653,15289
654,15289
655,15289
656,15289
657,15289
658,15289
659,15289
660,15289
661,15289
663,15289
664,15289
665,15289
666,15289
667,15289
668,15289
669,15289
670,15289
671,15289
672,15289
673,15289
674,15289
675,15289
676,15289
677,15289
678,15289
679,15289
680,15289
681,15289
682,15289
683,15289
684,15289
685,15289
686,15289
687,15289
688,15289
690,15289
691,15289
692,15289
693,15289
694,15289
695,15289
696,15289
697,15289
698,15289
699,15289
700,15289
701,15289
702,15289
703,15289
704,15289
705,15289
706,15289
707,15289
708,15289
709,15289
710,15289
711,15289
712,15289
713,15289
714,15289
716,15289
717,15289
718,15289
719,15289
720,15289
721,15289
722,15289
723,15289
724,15289
725,15289
726,15289
727,15289
728,15289
729,15289
730,15289
731,15289
732,15289
733,15289
734,15289
735,15289
736,15289
737,15289
738,15289
739,15289
740,15289
741,15289
743,15289
744,15289
745,15289
746,15289
747,15289
748,15289
749,15289
750,15289
751,15289
752,15289
753,15289
754,15289
755,15289
756,15289
757,15289
758,15289
759,15289
760,15289
761,15289
762,15289
763,15289
764,15289
765,15289
766,15289
767,15289
769,15289
770,15289
771,15289
772,15289
773,15289
774,15289
775,15289
776,15289
777,15289
778,15289
779,15289
780,15289
781,15289
782,15289
783,15289
784,15289
785,15289
786,15289
787,15289
788,15289
789,15289
790,15289
791,15289
792,15289
793,15289
794,15289
796,15289
797,15289
798,15289
799,15289
800,15289
801,15289
802,15289
803,15289
804,15289
805,15289
806,15289
807,15289
808,15289
809,15289
810,15289
811,15289
812,15289
813,15289
814,15289
815,15289
816,15289
817,15289
818,15289
819,15289
820,15289
822,15289
823,15289
824,15289
825,15289
826,15289
827,15289
828,15289
829,15289
830,15289
831,15289
832,15289
833,15289
834,15289
835,15289
836,15289
837,15289
838,15289
839,15289
840,15289
841,15289
842,15289
843,15289
844,15289
845,15289
846,15289
847,15289
849,15289
850,15289
851,15289
852,15289
853,15289
854,15289
855,15289
856,15289
857,15289
858,15289
859,15289
860,15289
861,15289
862,15289
863,15289
864,15289
865,15289
866,15289
867,15289
868,15289
869,15289
870,15289
871,15289
872,15289
873,15289
875,15289
876,15289
877,15289
878,15289
879,15289
880,15289
881,15289
882,15289
883,15289
884,15289
885,15289
886,15289
887,15289
888,15289
889,15289
890,15289
891,15289
892,15289
893,15289
894,15289
895,15289
896,15289
897,15289
898,15289
899,15289
900,15289
902,15289
903,15289
904,15289
905,15289
906,15289
907,15289
908,15289
909,15289
910,15289
911,15289
912,15289
913,15289
914,15289
915,15289
916,15289
917,15289
918,15289
919,15289
920,15289
921,15289
922,15289
923,15289
924,15289
925,15289
926,15289
928,15289
929,15289
930,15289
931,15289
932,15289
933,15289
934,15289
935,15289
936,15289
937,15289
938,15289
939,15289
940,15289
941,15289
942,15289
943,15289
944,15289
945,15289
946,15289
947,15289
948,15289
949,15289
950,15289
951,15289
952,15289
953,15289
955,15289
956,15289
957,15289
958,15289
959,15289
960,15289
961,15289
962,15289
963,15289
964,15289
965,15289
966,15289
967,15289
968,15289
969,15289
970,15289
971,15289
972,15289
973,15289
974,15289
975,15289
976,15289
977,15289
978,15289
979,15289
981,15289
982,15289
983,15289
984,15289
985,15289
986,15289
987,15289
988,15289
989,15289
990,15289
991,15289
992,15289
993,15289
994,15289
995,15289
996,15289
997,15289
998,15289
999,15289
1000,15289
1001,15289
1002,15289
1003,15289
1004,15289
1005,15289
1006,15289
1008,15289
1009,15289
1010,15289
1011,15289
1012,15289
1013,15289
1014,15289
1015,15289
1016,15289
1017,15289
1018,15289
1019,15289
1020,15289
1021,15289
1022,15289
1023,15289
1024,15289
1025,15289
1026,15289
1027,15289
1028,15289
1029,15289
1030,15289
1031,15289
1032,15289
1034,15289
1035,15289
1036,15289
1037,15289
1038,15289
1039,15289
1040,15289
1041,15289
1042,15289
1043,15289
1044,15289
1045,15289
1046,15289
1047,15289
1048,15289
1049,15289
1050,15289
1051,15289
1052,15289
1053,15289
1054,15289
1055,15289
1056,15289
1057,15289
1058,15289
1059,15289
1061,15289
1062,15289
1063,15289
1064,15289
1065,15289
1066,15289
1067,15289
1068,15289
1069,15289
1070,15289
1071,15289
1072,15289
1073,15289
1074,15289
1075,15289
1076,15289
1077,15289
1078,15289
1079,15289
1080,15289
1081,15289
1082,15289
1083,15289
1084,15289
1085,15289
1087,15289
1088,15289
1089,15289
1090,15289
1091,15289
1092,15289
1093,15289
1094,15289
1095,15289
1096,15289
1097,15289
1098,15289
1099,15289
1100,15289
1101,15289
1102,15289
1103,15289
1104,15289
1105,15289
1106,15289
1107,15289
1108,15289
1109,15289
1110,15289
1111,15289
1112,15289
1114,15289
1115,15289
1116,15289
1117,15289
1118,15289
1119,15289
1120,15289
1121,15289
1122,15289
1123,15289
1124,15289
1125,15289
1126,15289
1127,15289
1128,15289
1129,15289
1130,15289
1131,15289
1132,15289
1133,15289
1134,15289
1135,15289
1136,15289
1137,15289
1138,15289
1139,15289
1141,15289
1142,15289
1143,15289
1144,15289
1145,15289
1146,15289
1147,15289
1148,15289
1149,15289
1150,15289
1151,15289
1152,15289
1153,15289
1154,15289
1155,15289
1156,15289
1157,15289
1158,15289
1159,15289
1160,15289
1161,15289
1162,15289
1163,15289
1164,15289
1165,15289
1167,15289
1168,15289
1169,15289
1170,15289
1171,15289
1172,15289
1173,15289
1174,15289
1175,15289
1176,15289
1177,15289
1178,15289
1179,15289
1180,15289
1181,15289
1182,15289
1183,15289
1184,15289
1185,15289
1186,15289
1187,15289
1188,15289
1189,15289
1190,15289
1191,15289
1192,15289
1194,15289
1195,15289
1196,15289
1197,15289
1198,15289
1199,15289
1200,15289
1201,15289
1202,15289
1203,15289
1204,15289
1205,15289
1206,15289
1207,15289
1208,15289
1209,15289
1210,15289
1211,15289
1212,15289
1213,15289
1214,15289
1215,15289
1216,15289
1217,15289
1218,15289
1220,15289
1221,15289
1222,15289
1223,15289
1224,15289
1225,15289
1226,15289
1227,15289
1228,15289
1229,15289
1230,15289
1231,15289
1232,15289
1233,15289
1234,15289
1235,15289
1236,15289
1237,15289
1238,15289
1239,15289
1240,15289
1241,15289
1242,15289
1243,15289
1244,15289
1245,15289
1247,15289
1248,15289
1249,15289
1250,15289
1251,15289
1252,15289
1253,15289
1254,15289
1255,15289
1256,15289
1257,15289
1258,15289
1259,15289
1260,15289
1261,15289
1262,15289
1263,15289
1264,15289
1265,15289
1266,15289
1267,15289
1268,15289
1269,15289
1270,15289
1271,15289
1273,15289
1274,15289
1275,15289
1276,15289
1277,15289
1278,15289
1279,15289
1280,15289
1281,15289
1282,15289
1283,15289
1284,15289
1285,15289
1286,15289
1287,15289
1288,15289
1289,15289
1290,15289
1291,15289
1292,15289
1293,15289
1294,15289
1295,15289
1296,15289
1297,15289
1298,15289
1300,15289
1301,15289
1302,15289
1303,15289
1304,15289
1305,15289
1306,15289
1307,15289
1308,15289
1309,15289
1310,15289
1311,15289
1312,15289
1313,15289
1314,15289
1315,15289
1316,15289
1317,15289
1318,15289
1319,15289
1320,15289
1321,15289
1322,15289
1323,15289
1324,15289
1326,15289
1327,15289
1328,15289
1329,15289
1330,15289
1331,15289
1332,15289
1333,15289
1334,15289
1335,15289
1336,15289
1337,15289
1338,15289
1339,15289
1340,15289
1341,15289
1342,15289
1343,15289
1344,15289
1345,15289
1346,15289
1347,15289
1348,15289
1349,15289
1350,15289
1351,15289
1353,15289
1354,15289
1355,15289
1356,15289
1357,15289
1358,15289
1359,15289
1360,15289
1361,15289
1362,15289
1363,15289
1364,15289
1365,15289
1366,15289
1367,15289
1368,15289
1369,15289
1370,15289
1371,15289
1372,15289
1373,15289
1374,15289
1375,15289
1376,15289
1377,15289
1378,15289
1380,15289
1381,15289
1382,15289
1383,15289
1384,15289
1385,15289
1386,15289
1387,15289
1388,15289
1389,15289
1390,15289
1391,15289
1392,15289
1393,15289
1394,15289
1395,15289
1396,15289
1397,15289
1398,15289
1399,15289
1400,15289
1401,15289
1402,15289
1403,15289
1404,15289
1406,15289
1407,15289
1408,15289
1409,15289
1410,15289
1411,15289
1412,15289
1413,15289
1414,15289
1415,15289
1416,15289
1417,15289
1418,15289
1419,15289
1420,15289
1421,15289
1422,15289
1423,15289
1424,15289
1425,15289
1426,15289
1427,15289
1428,15289
1429,15289
1430,15289
1431,15289
1433,15289
1434,15289
