time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,0
6,60
7,60
8,535035
9,535035
10,535035
11,535035
12,535281
13,535341
14,535341
15,535401
16,535401
17,535401
19,535401
20,535401
21,535401
22,535401
23,535401
24,535401
25,535401
26,535401
27,535401
28,535401
29,535401
30,535401
31,535401
32,535401
33,535401
34,535401
35,535401
36,535401
37,535401
38,535401
39,535401
40,535401
41,535401
42,535401
43,535401
44,535401
46,535401
47,535401
48,535401
49,535401
50,535401
51,535401
52,535401
53,535401
54,535401
55,535401
56,535401
57,535401
58,535401
59,535401
60,535401
61,535401
62,535401
63,535401
64,535401
65,535401
66,535401
67,535401
68,535401
69,535401
70,535401
72,535401
73,535401
74,535401
75,535401
76,535401
77,535401
78,535401
79,535401
80,535401
81,535401
82,535401
83,535401
84,535401
85,535401
86,535401
87,535401
88,535401
89,535401
90,535401
91,535401
92,535401
93,535401
94,535401
95,535401
96,535401
97,535401
99,535401
100,535401
101,535401
102,535401
103,535401
104,535401
105,535401
106,535401
107,535401
108,535401
109,535401
110,535401
111,535401
112,535401
113,535401
114,535401
115,535401
116,535401
117,535401
118,535401
119,535401
120,535401
121,535401
122,535401
123,535401
125,535401
126,535401
127,535401
128,535401
129,535401
130,535401
131,535401
132,535401
133,535401
134,535401
135,535401
136,535401
137,535401
138,535401
139,535401
140,535401
141,535401
142,535401
143,535401
144,535401
145,535401
146,535401
147,535401
148,535401
149,535401
150,535401
152,535401
153,535401
154,535401
155,535401
156,535401
157,535401
158,535401
159,535401
160,535401
161,535401
162,535401
163,535401
164,535401
165,535401
166,535401
167,535401
168,535401
169,535401
170,535401
171,535401
172,535401
173,535401
174,535401
175,535401
176,535401
177,535401
179,535401
180,535401
181,535401
182,535401
183,535401
184,535401
185,535401
186,535401
187,535401
188,535401
189,535401
190,535401
191,535401
192,535401
193,535401
194,535401
195,535401
196,535401
197,535401
198,535401
199,535401
200,535401
201,535401
202,535401
203,535401
205,535401
206,535401
207,535401
208,535401
209,535401
210,535401
211,535401
212,535401
213,535401
214,535401
215,535401
216,535401
217,535401
218,535401
219,535401
220,535401
221,535401
222,535401
223,535401
224,535401
225,535401
226,535401
227,535401
228,535401
229,535401
230,535401
232,535401
233,535401
234,535401
235,535401
236,535401
237,535401
238,535401
239,535461
240,535461
241,755559
242,755559
243,755559
244,755559
245,755559
246,755619
247,755619
248,755619
249,755619
250,755619
251,755619
252,755865
253,755925
254,755925
255,755985
256,755985
258,755985
259,755985
260,755985
261,755985
262,755985
263,755985
264,755985
265,755985
266,755985
267,755985
268,756045
269,756105
270,756105
271,756105
272,756105
273,756105
274,756165
275,756165
276,756165
277,756165
278,756165
279,756165
280,756165
281,756231
282,756411
283,756471
285,756471
286,756531
287,756531
288,756531
289,756591
290,756591
291,756591
292,756591
293,756591
294,756591
295,756591
296,756591
297,756591
298,756591
299,756591
300,756591
301,756591
302,756591
303,756591
304,756591
305,756591
306,756591
307,756591
308,756591
309,756591
311,756591
312,756591
313,756591
314,756591
315,756591
316,756591
317,756591
318,756591
319,756591
320,756591
321,756591
322,756591
323,756591
324,756591
325,756591
326,756591
327,756591
328,756591
329,756591
330,756591
331,756591
332,756591
333,756591
334,756591
335,756591
336,756591
338,756591
339,756591
340,756591
341,756591
342,756591
343,756591
344,756591
345,756591
346,756591
347,756591
348,756591
349,756591
350,756591
351,756591
352,756591
353,756591
354,756591
355,756591
356,756591
357,756591
358,756591
359,756591
360,756591
361,756591
362,756591
364,756591
365,756591
366,756591
367,756651
368,756651
369,995352
370,995352
371,995352
372,995538
373,995598
374,995658
375,995718
376,995718
377,995718
378,995778
379,995778
380,995778
381,995778
382,995778
383,995778
384,995778
385,995778
386,995778
387,995778
388,995778
389,995778
391,995778
392,995778
393,995778
394,995778
395,995778
396,995778
397,995778
398,995778
399,995778
400,995778
401,995778
402,995778
403,995778
404,995778
405,995778
406,995778
407,995778
408,995778
409,995778
410,995778
411,995778
412,995778
413,995778
414,995778
415,995778
416,995778
418,995778
419,995778
420,995778
421,995778
422,995778
423,995778
424,995778
425,995778
426,995778
427,995778
428,995778
429,995778
430,995778
431,995778
432,995838
433,1260096
434,1260156
435,1260156
436,1260156
437,1260156
438,1260216
439,1260216
