time(s),total_rx(bytes)
0,0
1,1996
3,1996
4,1996
5,1996
6,1996
7,2104
8,2104
9,2104
10,2104
11,2104
12,2170
13,2170
14,2170
15,2170
16,3094
17,3160
18,3160
19,3160
20,3160
21,3160
22,3226
23,3226
24,3226
25,3226
27,3292
28,3292
29,3292
30,3292
31,3292
32,3358
33,3358
34,3358
35,3358
36,3358
37,3466
38,3466
39,3466
40,3466
41,3466
42,3532
43,3532
44,3532
45,3532
46,4522
47,4588
48,4588
49,4588
50,4588
52,4654
53,4654
54,4654
55,4654
56,4654
57,4720
58,4720
59,4720
60,4720
61,4720
62,4786
63,4786
64,4786
65,4786
66,4786
67,4960
68,4960
69,4960
70,4960
71,4960
72,5026
73,5026
74,5026
75,5026
77,5818
78,5818
79,5818
80,5818
81,5818
82,5884
83,5884
84,5884
85,5884
86,5884
87,5950
88,5950
89,5950
90,5950
91,5950
92,6016
93,6016
94,6016
95,6016
96,6016
97,6124
98,6124
99,6124
101,6124
102,6190
103,6190
104,6190
105,6190
106,6190
107,7048
108,7048
109,7048
110,7048
111,7048
112,7114
113,7114
114,7114
115,7114
116,7114
117,7180
118,7180
119,7180
120,7180
121,7180
122,7246
123,7246
124,7246
126,7246
127,7354
128,7354
129,7354
130,7354
131,7354
132,7420
133,7420
134,7420
135,7420
136,7420
137,7948
138,7948
139,7948
140,7948
141,7948
142,8014
143,8014
144,8014
145,8014
146,8014
147,8080
148,8080
149,8080
151,8080
152,8146
153,8146
154,8146
155,8146
156,8146
157,8254
158,8254
159,8254
160,8254
161,8254
162,8320
163,8320
164,8320
165,8320
166,8980
167,9046
168,9046
169,9046
170,9046
171,9046
172,9112
173,9112
174,9112
176,9112
177,9178
178,9178
179,9178
180,9178
181,9178
182,9244
183,9244
184,9244
185,9244
186,9244
187,9352
188,9352
189,9352
190,9352
191,9352
192,9418
193,9418
194,9418
195,9418
196,10012
197,10078
198,10078
200,10078
201,10078
202,10144
203,10144
204,10144
205,10144
206,10144
207,10210
208,10210
209,10210
210,10210
211,10210
212,10276
213,10276
214,10276
215,10276
216,10276
217,10384
218,10384
219,10384
220,10384
221,10384
222,10450
223,10450
225,10450
226,10450
227,11044
228,11044
229,11044
230,11044
231,11044
232,11110
233,11110
234,11110
235,11110
236,11110
237,11176
238,11176
239,11176
240,11176
241,11176
242,11242
243,11242
244,11242
245,11242
246,11242
247,11350
249,11350
250,11350
251,11350
252,11416
253,11416
254,11416
255,11416
256,11416
257,11944
258,11944
259,11944
260,11944
261,11944
262,12010
263,12010
264,12010
265,12010
266,12010
267,12076
268,12076
269,12076
270,12076
271,12076
272,12142
274,12142
275,12142
276,12142
277,12250
278,12250
279,12250
280,12250
281,12250
282,12316
283,12316
284,12316
285,12316
286,13108
287,13174
288,13174
289,13174
290,13174
291,13174
292,13240
293,13240
294,13240
295,13240
296,13240
297,13306
299,13306
300,13306
301,13306
302,13372
303,13372
304,13372
305,13372
306,13372
307,13480
308,13480
309,13480
310,13480
311,13480
312,13546
313,13546
314,13546
315,13546
316,14404
317,14470
318,14470
319,14470
320,14470
321,14536
323,14536
324,14536
325,14536
326,14536
327,14602
328,14602
329,14602
330,14602
331,14602
332,14668
333,14668
334,14668
335,14668
336,14668
337,14776
338,14776
339,14776
340,14776
341,14776
342,14842
343,14842
344,14842
345,14842
346,15568
348,15568
349,15568
350,15568
351,15568
352,15634
353,15634
354,15634
355,15634
356,15634
357,15700
358,15700
359,15700
360,15700
361,15700
362,15766
363,15766
364,15766
365,15766
366,15766
367,15832
368,15832
369,15832
370,15832
371,15898
373,15940
374,15940
375,15940
376,15940
377,16732
378,16732
379,16732
380,16732
381,16732
382,16798
383,16798
384,16798
385,16798
386,16798
387,16864
388,16864
389,16864
390,16864
391,16864
392,16930
393,16930
394,16930
395,16930
397,16996
398,16996
399,16996
400,16996
401,16996
402,17062
403,17062
404,17062
405,17062
406,17062
407,17764
408,17764
409,17764
410,17764
411,17764
412,17830
413,17830
414,17830
415,17830
416,17830
417,17896
418,17896
419,17896
420,17896
422,17962
423,17962
424,17962
425,17962
426,17962
427,18028
428,18028
429,18028
430,18028
431,18028
432,18094
433,18094
434,18094
435,18094
436,18952
437,19060
438,19060
439,19060
440,19060
441,19060
442,19126
443,19126
444,19126
445,19126
447,19192
448,19192
449,19192
450,19192
451,19192
452,19258
453,19258
454,19258
455,19258
456,19258
457,19324
458,19324
459,19324
460,19324
461,19324
462,19390
463,19390
464,19390
465,19390
466,20116
467,20182
468,20182
469,20182
471,20182
472,20290
473,20290
474,20290
475,20290
476,20290
477,20356
478,20356
479,20356
480,20356
481,20356
482,20422
483,20422
484,20422
485,20422
486,20422
487,20488
488,20488
489,20488
490,20488
491,20488
492,20554
493,20554
494,20554
496,20554
497,21412
498,21412
499,21412
500,21412
501,21412
502,21478
503,21478
504,21478
505,21478
506,21478
507,21586
508,21586
509,21586
510,21586
511,21586
512,21652
513,21652
514,21652
515,21652
516,21652
517,21718
518,21718
519,21718
521,21718
522,21784
523,21784
524,21784
525,21784
526,21784
527,22312
528,22312
529,22312
530,22312
531,22312
532,22378
533,22378
534,22378
535,22378
536,22378
537,22444
538,22444
539,22444
540,22444
541,22444
542,22552
543,22552
545,22552
546,22552
547,22618
548,22618
549,22618
550,22618
551,22618
552,22684
553,22684
