time(s),total_rx(bytes)
0,0
1,3465
2,3465
3,3465
4,3465
5,3465
6,3507
7,3507
9,3507
10,3507
11,3507
12,3507
13,3507
14,3507
15,3507
16,3507
17,3507
18,3507
19,4827
20,4827
21,4827
22,4827
23,4827
24,4827
25,4827
26,4827
27,4827
28,4827
29,4827
30,4827
31,4827
33,4827
34,4827
35,4827
36,4827
37,4827
38,4827
39,4827
40,4827
41,4827
42,4827
43,4827
44,4827
45,4827
46,4827
47,4827
48,4827
49,5949
50,5949
51,5949
52,5949
53,5949
54,5991
55,5991
56,5991
58,5991
59,5991
60,5991
61,5991
62,5991
63,5991
64,5991
65,5991
66,5991
67,6057
68,6057
69,6057
70,6057
71,6057
72,6057
73,6057
74,6057
75,6057
76,6057
77,6057
78,6057
79,7311
80,7311
81,7311
83,7311
84,7311
85,7353
86,7353
87,7353
88,7353
89,7353
90,7353
91,7353
92,7353
93,7353
94,7353
95,7353
96,7353
97,7353
98,7353
99,7353
100,7353
101,7353
102,7353
103,7353
104,7353
105,7353
106,7353
108,7353
109,7353
110,8409
111,8409
112,8409
113,8409
114,8409
115,8451
116,8451
117,8451
118,8451
119,8451
120,8451
121,8451
122,8451
123,8451
124,8451
125,8451
126,8451
127,8451
128,8451
129,8451
130,8451
132,8451
133,8451
134,8451
135,8451
136,8451
137,8451
138,8451
139,8451
140,9309
141,9309
142,9309
143,9309
144,9351
145,9351
146,9351
147,9351
148,9351
149,9351
150,9351
151,9351
152,9351
153,9351
154,9351
155,9351
157,9351
158,9351
159,9351
160,9351
161,9351
162,9351
163,9351
164,9351
165,9351
166,9351
167,9351
168,9351
169,10275
170,10275
171,10275
172,10275
173,10275
174,10317
175,10317
176,10317
177,10317
178,10317
179,10317
180,10317
182,10317
183,10317
184,10317
185,10317
186,10317
187,10317
188,10317
189,10317
190,10317
191,10317
192,10317
193,10317
194,10317
195,10317
196,10317
197,10317
198,10317
199,11439
200,11439
201,11439
202,11439
203,11439
204,11481
206,11481
207,11481
208,11481
209,11481
210,11481
211,11481
212,11481
213,11481
214,11481
215,11481
216,11481
217,11481
218,11481
219,11481
220,11481
221,11481
222,11481
223,11481
224,11481
225,11481
226,11481
227,11481
228,11481
229,12339
231,12339
232,12339
233,12339
234,12339
235,12381
236,12381
237,12381
238,12381
239,12381
240,12381
241,12381
242,12381
243,12381
244,12381
245,12381
246,12381
247,12381
248,12381
249,12381
250,12381
251,12381
252,12381
253,12381
254,12381
256,12381
257,12381
258,12381
259,12381
260,12975
261,12975
262,12975
263,12975
264,12975
265,13017
266,13017
267,13017
268,13017
269,13017
270,13017
271,13017
272,13017
273,13017
274,13017
275,13017
276,13017
277,13017
278,13017
279,13017
281,13017
282,13017
283,13017
284,13017
285,13017
286,13017
287,13017
288,13017
289,14139
290,14139
291,14139
292,14139
293,14139
294,14139
295,14139
296,14139
297,14139
298,14139
299,14139
300,14139
301,14139
302,14139
303,14139
305,14139
306,14139
307,14139
308,14139
309,14139
310,14139
311,14139
312,14139
313,14139
314,14139
315,14139
316,14139
317,14139
318,14139
319,15327
320,15327
321,15327
322,15327
323,15327
324,15369
325,15369
326,15369
327,15369
328,15369
330,15369
331,15369
332,15369
333,15369
334,15369
335,15369
336,15369
337,15369
338,15369
339,15369
340,15369
341,15369
342,15369
343,15369
344,15369
345,15369
346,15369
347,15369
348,15369
349,16557
350,16557
351,16557
352,16557
353,16557
355,16599
356,16599
357,16599
358,16599
359,16599
360,16599
361,16599
362,16599
363,16599
364,16599
365,16599
366,16599
367,16599
368,16599
369,16599
370,16599
371,16599
372,16599
373,16599
374,16599
375,16599
376,16599
377,16599
379,16599
380,17523
381,17523
382,17523
383,17523
384,17523
385,17607
386,17607
387,17607
388,17607
389,17607
390,17607
391,17607
392,17607
393,17607
394,17607
395,17607
396,17607
397,17607
398,17607
399,17607
400,17607
401,17607
402,17607
404,17607
405,17607
406,17607
407,17607
408,17607
409,17607
410,18993
411,18993
412,18993
413,18993
414,19035
415,19035
416,19035
417,19035
418,19035
419,19035
420,19035
421,19035
422,19035
423,19035
424,19035
425,19035
426,19035
427,19035
429,19035
430,19035
431,19035
432,19035
433,19035
434,19035
435,19035
436,19035
437,19035
438,19035
439,20157
440,20157
441,20157
442,20157
443,20157
444,20241
445,20241
446,20241
447,20241
448,20241
449,20241
450,20241
451,20241
452,20241
454,20241
455,20241
456,20241
457,20241
458,20241
459,20241
460,20241
461,20241
462,20241
463,20241
464,20241
465,20241
466,20241
467,20241
468,20241
469,21429
470,21429
471,21429
472,21429
473,21429
474,21429
475,21429
476,21429
477,21429
479,21429
480,21429
481,21429
482,21429
483,21429
484,21429
485,21429
486,21429
487,21429
488,21429
489,21429
490,21429
491,21429
492,21429
493,21429
494,21429
495,21429
496,21429
497,21429
498,21429
499,22485
500,22485
501,22485
503,22485
504,22485
505,22569
506,22569
507,22569
508,22569
509,22569
510,22569
511,22569
512,22569
513,22569
514,22569
515,22569
516,22569
517,22569
518,22569
519,22569
520,22569
521,22569
522,22569
523,22569
524,22569
525,22569
526,22569
528,22569
529,22569
530,23493
531,23493
532,23493
533,23493
534,23493
535,23535
536,23535
537,23535
538,23535
539,23535
540,23535
541,23535
542,23535
543,23535
544,23535
545,23535
546,23535
547,23535
548,23535
549,23535
550,23535
551,23535
553,23535
554,23535
555,23535
556,23535
557,23535
558,23535
559,23535
560,24723
561,24723
562,24723
563,24723
564,24807
565,24807
566,24807
567,24807
568,24807
569,24807
570,24807
571,24807
572,24807
573,24807
574,24807
575,24807
577,24807
578,24807
579,24807
580,24807
581,24807
582,24807
583,24807
584,24807
585,24807
586,24807
587,24807
588,24807
589,26061
590,26061
591,26061
592,26061
593,26061
594,26103
595,26103
596,26103
597,26103
598,26103
599,26103
600,26103
602,26103
603,26103
604,26103
605,26103
606,26103
607,26103
608,26103
609,26103
610,26103
611,26103
612,26103
613,26103
614,26103
615,26103
616,26103
617,26103
618,26103
619,27093
620,27093
621,27093
622,27093
623,27093
624,27177
625,27177
627,27177
628,27177
629,27177
630,27177
631,27177
632,27177
633,27177
634,27177
635,27177
636,27177
637,27177
638,27177
639,27177
640,27177
641,27177
642,27177
643,27177
644,27177
645,27177
646,27177
647,27177
648,27177
649,28365
650,28365
652,28365
653,28365
654,28365
655,28449
656,28449
657,28449
658,28449
659,28449
660,28449
661,28449
662,28449
663,28449
664,28449
665,28449
666,28449
667,28449
668,28449
669,28449
670,28449
671,28449
672,28449
673,28449
674,28449
676,28449
677,28449
678,28449
679,28449
680,29967
681,29967
682,29967
683,29967
684,29967
685,30051
686,30051
687,30051
688,30051
689,30051
690,30051
691,30051
692,30051
693,30051
694,30051
695,30051
696,30051
697,30051
698,30051
699,30051
701,30051
702,30051
703,30051
704,30051
705,30051
706,30051
707,30051
708,30051
709,31239
710,31239
711,31239
712,31239
713,31239
714,31323
715,31323
716,31323
717,31323
718,31323
719,31323
720,31323
721,31323
722,31323
723,31323
724,31323
726,31323
727,31323
728,31323
729,31323
730,31323
731,31323
732,31323
733,31323
734,31323
735,31323
736,31323
737,31323
738,31323
739,32973
740,32973
741,32973
742,32973
743,32973
744,33057
745,33057
746,33057
747,33057
748,33057
750,33057
751,33057
752,33057
753,33057
754,33057
755,33057
756,33057
757,33057
758,33057
759,33057
760,33057
761,33057
762,33057
763,33057
764,33057
765,33057
766,33057
767,33057
768,33057
769,34311
770,34311
771,34311
772,34311
773,34311
775,34395
776,34395
777,34395
778,34395
779,34395
780,34395
781,34395
782,34395
783,34395
784,34395
785,34395
786,34395
787,34395
788,34395
789,34395
790,34395
791,34395
792,34395
793,34395
794,34395
795,34395
796,34395
797,34395
798,34395
800,35781
801,35781
802,35781
803,35781
804,35781
805,35865
806,35865
807,35865
808,35865
809,35865
810,35865
811,35865
812,35865
813,35865
814,35865
815,35865
816,35865
817,35865
818,35865
819,35865
820,35865
821,35865
822,35865
823,35865
825,35865
826,35865
827,35865
828,35865
829,35865
830,37185
831,37185
832,37185
833,37185
834,37227
835,37269
836,37269
837,37269
838,37269
839,37269
840,37269
841,37269
842,37269
843,37269
844,37269
845,37269
846,37269
847,37269
848,37269
850,37269
851,37269
852,37269
853,37269
854,37269
855,37269
856,37269
857,37269
858,37269
859,38457
860,38457
861,38457
862,38457
863,38457
864,38541
865,38541
866,38541
867,38541
868,38541
869,38541
870,38541
871,38541
872,38541
874,38541
875,38541
876,38541
877,38541
878,38541
879,38541
880,38541
881,38541
882,38541
883,38541
884,38541
885,38541
886,38541
887,38541
888,38541
889,39927
890,39927
891,39927
892,39927
893,39927
894,39969
895,39969
896,39969
897,39969
899,39969
900,39969
901,39969
902,39969
903,39969
904,39969
905,39969
906,39969
907,39969
908,39969
909,39969
910,39969
911,39969
912,39969
913,39969
914,39969
915,39969
916,39969
917,39969
918,39969
919,40893
920,40893
921,40893
922,40893
924,40893
925,40977
926,40977
927,40977
928,40977
929,40977
930,40977
931,40977
932,40977
933,40977
934,40977
935,40977
936,40977
937,40977
938,40977
