time(s),total_tx(bytes)
0,0
1,143155
3,143155
4,143155
5,143155
6,143155
7,143304
8,143304
9,143304
10,143304
11,143304
12,143393
13,143393
14,143393
15,143393
16,305733
17,305822
18,305822
19,305822
20,305822
21,305822
22,305911
23,305911
24,305911
25,305911
27,306000
28,306000
29,306000
30,306000
31,306000
32,306089
33,306089
34,306089
35,306089
36,306089
37,306238
38,306238
39,306238
40,306238
41,306238
42,306327
43,306327
44,306327
45,306327
46,507505
47,507594
48,507594
49,507594
50,507594
52,507683
53,507683
54,507683
55,507683
56,507683
57,507772
58,507772
59,507772
60,507772
61,507772
62,507861
63,507861
64,507861
65,507861
66,507861
67,508142
68,508142
69,508142
70,508142
71,508142
72,508231
73,508231
74,508231
75,508231
77,638449
78,638449
79,638449
80,638449
81,638449
82,638538
83,638538
84,638538
85,638538
86,638538
87,638627
88,638627
89,638627
90,638627
91,638627
92,638716
93,638716
94,638716
95,638716
96,638716
97,638865
98,638865
99,638865
101,638865
102,638954
103,638954
104,638954
105,638954
106,638954
107,773012
108,773012
109,773012
110,773012
111,773012
112,773101
113,773101
114,773101
115,773101
116,773101
117,773190
118,773190
119,773190
120,773190
121,773190
122,773279
123,773279
124,773279
126,773279
127,773428
128,773428
129,773428
130,773428
131,773428
132,773517
133,773517
134,773517
135,773517
136,773517
137,832916
138,832916
139,832916
140,832916
141,832916
142,833005
143,833005
144,833005
145,833005
146,833005
147,833094
148,833094
149,833094
151,833094
152,833183
153,833183
154,833183
155,833183
156,833183
157,833332
158,833332
159,833332
160,833332
161,833332
162,833421
163,833421
164,833421
165,833421
166,915583
167,915672
168,915672
169,915672
170,915672
171,915672
172,915761
173,915761
174,915761
176,915761
177,915850
178,915850
179,915850
180,915850
181,915850
182,915939
183,915939
184,915939
185,915939
186,915939
187,916088
188,916088
189,916088
190,916088
191,916088
192,916177
193,916177
194,916177
195,916177
196,1005925
197,1006014
198,1006014
200,1006014
201,1006014
202,1006103
203,1006103
204,1006103
205,1006103
206,1006103
207,1006192
208,1006192
209,1006192
210,1006192
211,1006192
212,1006281
213,1006281
214,1006281
215,1006281
216,1006281
217,1006430
218,1006430
219,1006430
220,1006430
221,1006430
222,1006519
223,1006519
225,1006519
226,1006519
227,1072417
228,1072417
229,1072417
230,1072417
231,1072417
232,1072506
233,1072506
234,1072506
235,1072506
236,1072506
237,1072595
238,1072595
239,1072595
240,1072595
241,1072595
242,1072684
243,1072684
244,1072684
245,1072684
246,1072684
247,1072833
249,1072833
250,1072833
251,1072833
252,1072922
253,1072922
254,1072922
255,1072922
256,1072922
257,1152705
258,1152705
259,1152705
260,1152705
261,1152705
262,1152794
263,1152794
264,1152794
265,1152794
266,1152794
267,1152883
268,1152883
269,1152883
270,1152883
271,1152883
272,1152972
274,1152972
275,1152972
276,1152972
277,1153121
278,1153121
279,1153121
280,1153121
281,1153121
282,1153210
283,1153210
284,1153210
285,1153210
286,1290666
287,1290755
288,1290755
289,1290755
290,1290755
291,1290755
292,1290844
293,1290844
294,1290844
295,1290844
296,1290844
297,1290933
299,1290933
300,1290933
301,1290933
302,1291022
303,1291022
304,1291022
305,1291022
306,1291022
307,1291171
308,1291171
309,1291171
310,1291171
311,1291171
312,1291260
313,1291260
314,1291260
315,1291260
316,1444477
317,1444566
318,1444566
319,1444566
320,1444566
321,1444655
323,1444655
324,1444655
325,1444655
326,1444655
327,1444744
328,1444744
329,1444744
330,1444744
331,1444744
332,1444833
333,1444833
334,1444833
335,1444833
336,1444833
337,1444982
338,1444982
339,1444982
340,1444982
341,1444982
342,1445071
343,1445071
344,1445071
345,1445071
346,1544723
348,1544723
349,1544723
350,1544723
351,1544723
352,1544812
353,1544812
354,1544812
355,1544812
356,1544812
357,1544901
358,1544901
359,1544901
360,1544901
361,1544901
362,1544990
363,1544990
364,1544990
365,1544990
366,1544990
367,1545079
368,1545079
369,1545079
370,1545079
371,1545168
373,1545228
374,1545228
375,1545228
376,1545228
377,1670915
378,1670915
379,1670915
380,1670915
381,1670915
382,1671004
383,1671004
384,1671004
385,1671004
386,1671004
387,1671093
388,1671093
389,1671093
390,1671093
391,1671093
392,1671182
393,1671182
394,1671182
395,1671182
397,1671271
398,1671271
399,1671271
400,1671271
401,1671271
402,1671360
403,1671360
404,1671360
405,1671360
406,1671360
407,1762215
408,1762215
409,1762215
410,1762215
411,1762215
412,1762304
413,1762304
414,1762304
415,1762304
416,1762304
417,1762393
418,1762393
419,1762393
420,1762393
422,1762482
423,1762482
424,1762482
425,1762482
426,1762482
427,1762571
428,1762571
429,1762571
430,1762571
431,1762571
432,1762660
433,1762660
434,1762660
435,1762660
436,1958369
437,1958518
438,1958518
439,1958518
440,1958518
441,1958518
442,1958607
443,1958607
444,1958607
445,1958607
447,1958696
448,1958696
449,1958696
450,1958696
451,1958696
452,1958785
453,1958785
454,1958785
455,1958785
456,1958785
457,1958874
458,1958874
459,1958874
460,1958874
461,1958874
462,1958963
463,1958963
464,1958963
465,1958963
