time(s),total_tx(bytes)
0,0
1,534975
2,534975
3,534975
4,534975
5,534975
6,535035
7,535035
9,535035
10,535035
11,535035
12,535035
13,535035
14,535035
15,535035
16,535035
17,535035
18,535035
19,833166
20,833166
21,833166
22,833166
23,833166
24,833166
25,833166
26,833166
27,833166
28,833166
29,833166
30,833166
31,833166
33,833166
34,833166
35,833166
36,833166
37,833166
38,833166
39,833166
40,833166
41,833166
42,833166
43,833166
44,833166
45,833166
46,833166
47,833166
48,833166
49,1058337
50,1058337
51,1058337
52,1058337
53,1058337
54,1058397
55,1058397
56,1058397
58,1058397
59,1058397
60,1058397
61,1058397
62,1058397
63,1058397
64,1058397
65,1058397
66,1058397
67,1058529
68,1058529
69,1058529
70,1058529
71,1058529
72,1058529
73,1058529
74,1058529
75,1058529
76,1058529
77,1058529
78,1058529
79,1341303
80,1341303
81,1341303
83,1341303
84,1341303
85,1341363
86,1341363
87,1341363
88,1341363
89,1341363
90,1341363
91,1341363
92,1341363
93,1341363
94,1341363
95,1341363
96,1341363
97,1341363
98,1341363
99,1341363
100,1341363
101,1341363
102,1341363
103,1341363
104,1341363
105,1341363
106,1341363
108,1341363
109,1341363
110,1545992
111,1545992
112,1545992
113,1545992
114,1545992
115,1546052
116,1546052
117,1546052
118,1546052
119,1546052
120,1546052
121,1546052
122,1546052
123,1546052
124,1546052
125,1546052
126,1546052
127,1546052
128,1546052
129,1546052
130,1546052
132,1546052
133,1546052
134,1546052
135,1546052
136,1546052
137,1546052
138,1546052
139,1546052
140,1735594
141,1735594
142,1735594
143,1735594
144,1735654
145,1735654
146,1735654
147,1735654
148,1735654
149,1735654
150,1735654
151,1735654
152,1735654
153,1735654
154,1735654
155,1735654
157,1735654
158,1735654
159,1735654
160,1735654
161,1735654
162,1735654
163,1735654
164,1735654
165,1735654
166,1735654
167,1735654
168,1735654
169,1927790
170,1927790
171,1927790
172,1927790
173,1927790
174,1927850
175,1927850
176,1927850
177,1927850
178,1927850
179,1927850
180,1927850
182,1927850
183,1927850
184,1927850
185,1927850
186,1927850
187,1927850
188,1927850
189,1927850
190,1927850
191,1927850
192,1927850
193,1927850
194,1927850
195,1927850
196,1927850
197,1927850
198,1927850
199,2163020
200,2163020
201,2163020
202,2163020
203,2163020
204,2163080
206,2163080
207,2163080
208,2163080
209,2163080
210,2163080
211,2163080
212,2163080
213,2163080
214,2163080
215,2163080
216,2163080
217,2163080
218,2163080
219,2163080
220,2163080
221,2163080
222,2163080
223,2163080
224,2163080
225,2163080
226,2163080
227,2163080
228,2163080
229,2351891
231,2351891
232,2351891
233,2351891
234,2351891
235,2351951
236,2351951
237,2351951
238,2351951
239,2351951
240,2351951
241,2351951
242,2351951
243,2351951
244,2351951
245,2351951
246,2351951
247,2351951
248,2351951
249,2351951
250,2351951
251,2351951
252,2351951
253,2351951
254,2351951
256,2351951
257,2351951
258,2351951
259,2351951
260,2480699
261,2480699
262,2480699
263,2480699
264,2480699
265,2480759
266,2480759
267,2480759
268,2480759
269,2480759
270,2480759
271,2480759
272,2480759
273,2480759
274,2480759
275,2480759
276,2480759
277,2480759
278,2480759
279,2480759
281,2480759
282,2480759
283,2480759
284,2480759
285,2480759
286,2480759
287,2480759
288,2480759
289,2756537
290,2756537
291,2756537
292,2756537
293,2756537
294,2756537
295,2756537
296,2756537
297,2756537
298,2756537
299,2756537
300,2756537
301,2756537
302,2756537
303,2756537
305,2756537
306,2756537
307,2756537
308,2756537
309,2756537
310,2756537
311,2756537
312,2756537
313,2756537
314,2756537
315,2756537
316,2756537
317,2756537
318,2756537
319,3072542
320,3072542
321,3072542
322,3072542
323,3072542
324,3072602
325,3072602
326,3072602
327,3072602
328,3072602
330,3072602
331,3072602
332,3072602
333,3072602
334,3072602
335,3072602
336,3072602
337,3072602
338,3072602
339,3072602
340,3072602
341,3072602
342,3072602
343,3072602
344,3072602
345,3072602
346,3072602
347,3072602
348,3072602
349,3298469
350,3298469
351,3298469
352,3298469
353,3298469
355,3298529
356,3298529
357,3298529
358,3298529
359,3298529
360,3298529
361,3298529
362,3298529
363,3298529
364,3298529
365,3298529
366,3298529
367,3298529
368,3298529
369,3298529
370,3298529
371,3298529
372,3298529
373,3298529
374,3298529
375,3298529
376,3298529
377,3298529
379,3298529
380,3518237
381,3518237
382,3518237
383,3518237
384,3518237
385,3518357
386,3518357
387,3518357
388,3518357
389,3518357
390,3518357
391,3518357
392,3518357
393,3518357
394,3518357
395,3518357
396,3518357
397,3518357
398,3518357
399,3518357
400,3518357
401,3518357
402,3518357
404,3518357
405,3518357
406,3518357
407,3518357
408,3518357
409,3518357
410,3834963
411,3834963
412,3834963
413,3834963
414,3835023
415,3835023
416,3835023
417,3835023
418,3835023
419,3835023
420,3835023
421,3835023
422,3835023
423,3835023
424,3835023
425,3835023
426,3835023
427,3835023
429,3835023
430,3835023
431,3835023
432,3835023
433,3835023
434,3835023
435,3835023
436,3835023
437,3835023
438,3835023
439,4118660
440,4118660
441,4118660
442,4118660
443,4118660
444,4118780
445,4118780
446,4118780
447,4118780
448,4118780
449,4118780
450,4118780
451,4118780
452,4118780
454,4118780
455,4118780
456,4118780
457,4118780
458,4118780
459,4118780
460,4118780
461,4118780
462,4118780
463,4118780
464,4118780
465,4118780
466,4118780
467,4118780
468,4118780
469,4367805
470,4367805
471,4367805
472,4367805
473,4367805
474,4367805
475,4367805
476,4367805
477,4367805
479,4367805
480,4367805
481,4367805
482,4367805
483,4367805
484,4367805
485,4367805
486,4367805
487,4367805
488,4367805
489,4367805
490,4367805
491,4367805
492,4367805
493,4367805
494,4367805
495,4367805
496,4367805
497,4367805
498,4367805
499,4606116
500,4606116
501,4606116
503,4606116
504,4606116
505,4606236
506,4606236
507,4606236
508,4606236
509,4606236
510,4606236
511,4606236
512,4606236
513,4606236
514,4606236
515,4606236
516,4606236
517,4606236
518,4606236
519,4606236
520,4606236
