time(s),total_rx(bytes)
0,0
1,4389
2,4389
3,4389
4,4389
5,4389
6,4431
7,4431
8,4431
9,4431
10,4431
11,4431
12,4431
13,4431
15,4431
16,5091
17,5091
18,5091
19,5091
20,5091
21,5091
22,5091
23,5091
24,5091
25,5091
26,5091
27,5091
28,5091
29,5091
30,5091
31,5091
32,5091
33,5091
34,5091
35,5091
36,5091
37,5091
38,5091
39,5091
40,5091
42,5091
43,5091
44,5091
45,5091
46,5883
47,5883
48,5883
49,5883
50,5925
51,5925
52,5925
53,5925
54,5925
55,5925
56,5925
57,5925
58,5925
59,5925
60,5925
61,5925
62,5925
63,5925
64,5925
65,5925
66,5991
67,5991
69,5991
70,5991
71,5991
72,5991
73,5991
74,5991
75,6849
76,6849
77,6849
78,6849
79,6849
80,6891
81,6891
82,6891
83,6891
84,6891
85,6891
86,6891
87,6891
88,6891
89,6891
90,6891
91,6891
92,6891
93,6891
95,6891
96,6891
97,6891
98,6891
99,6891
100,6891
101,6891
102,6891
103,6999
104,7107
105,7965
106,8073
107,8073
108,8115
109,8115
110,8223
111,8223
112,8223
113,8223
114,8223
115,8265
116,8265
117,8265
118,8373
119,8373
120,8373
122,8373
123,8373
124,8373
125,8373
126,8373
127,8373
128,8373
129,8373
130,8373
131,8373
132,8373
133,8481
134,8589
135,9381
136,9489
137,9489
138,9531
139,9531
140,9639
141,9639
142,9639
143,9639
144,9639
145,9639
146,9639
148,9639
149,9639
150,9639
151,9639
152,9639
153,9639
154,9639
155,9639
156,9639
157,9639
158,9639
159,9639
160,9639
161,9639
162,9639
163,9639
164,9639
165,9639
166,9639
167,9639
168,9639
169,9639
170,9639
171,9639
172,9639
173,9639
175,9639
176,9639
177,9639
178,9639
179,9639
180,9639
181,9639
182,9639
183,9639
184,9639
185,9639
186,9639
187,9639
188,9639
189,9639
190,9639
191,9639
192,9639
193,9639
194,9639
195,9639
196,9639
197,9639
198,9639
199,9639
201,9639
202,9639
203,9639
204,9639
205,9639
206,9639
207,9639
208,9639
209,9639
210,9639
211,9639
212,9639
213,9639
214,9639
215,9639
216,9639
217,9639
218,9639
219,9639
220,9639
221,9639
222,9639
223,9639
224,9639
225,9639
226,9639
228,9639
229,9639
230,9639
231,9639
232,9639
233,9639
234,9639
235,9639
236,9639
237,9639
238,9639
239,9639
240,9639
241,9639
242,9639
243,9639
244,9639
245,9639
246,9639
247,9639
248,9639
249,9639
250,9639
251,9639
252,9639
254,9639
255,9639
256,9639
257,9639
258,9639
259,9639
260,9639
261,9639
262,9639
263,9639
264,9639
265,9639
266,9639
267,9639
268,9639
269,9639
270,9639
271,9639
272,9639
273,9639
274,9639
275,9639
276,9639
277,9639
278,9639
279,9639
281,9639
282,9639
283,9639
284,9639
285,9639
286,9639
287,9639
288,9639
289,9639
290,9639
291,9639
292,9639
293,9639
294,9639
295,9639
296,9639
297,9639
298,9639
299,9639
300,9639
301,9639
302,9639
303,9639
304,9639
305,9639
306,9639
308,9639
309,9639
310,9639
311,9639
312,9639
313,9639
314,9639
315,9639
316,9639
317,9639
318,9639
319,9639
320,9639
321,9639
322,9639
323,9639
324,9639
325,9639
326,9639
327,9639
328,9639
329,9639
330,9639
331,9639
332,9639
334,9639
335,9639
336,9639
337,9639
338,9639
339,9639
340,9639
341,9639
342,9639
343,9639
344,9639
345,9639
346,9639
347,9639
348,9639
349,9639
350,9639
351,9639
352,9639
353,9639
354,9639
355,9639
356,9639
357,9639
358,9639
359,9639
361,9639
362,9639
363,9639
364,9639
365,9639
366,9639
367,9639
368,9639
369,9639
370,9639
371,9639
372,9639
373,9639
374,9639
375,9639
376,9639
377,9639
378,9639
379,9639
380,9639
381,9639
382,9639
383,9639
384,9639
385,9639
387,9639
388,9639
389,9639
390,9639
391,9639
392,9639
393,9639
394,9639
395,9639
396,9639
397,9639
398,9639
399,9639
400,9639
401,9639
402,9639
403,9639
404,9639
405,9639
406,9639
407,9639
408,9639
409,9639
410,9639
411,9639
412,9639
414,9639
415,9639
416,9639
417,9639
418,9639
419,9639
420,9639
421,9639
422,9639
423,9639
424,9639
425,9639
426,9639
427,9639
428,9639
429,9639
430,9639
431,9639
432,9639
433,9639
434,9639
435,9639
436,9639
437,9639
438,9639
439,9639
441,9639
442,9639
443,9639
444,9639
445,9639
446,9639
447,9639
448,9639
449,9639
450,9639
451,9639
452,9639
453,9639
454,9639
455,9639
456,9639
457,9639
458,9639
459,9639
460,9639
461,9639
462,9639
463,9639
464,9639
465,9639
467,9639
468,9639
469,9639
470,9639
471,9639
472,9639
473,9639
474,9639
475,9639
476,9639
477,9639
478,9639
479,9639
480,9639
481,9639
482,9639
483,9639
484,9639
485,9639
486,9639
487,9639
488,9639
489,9639
490,9639
491,9639
492,9639
494,9639
495,9639
496,9639
497,9639
498,9639
499,9639
500,9639
501,9639
502,9639
503,9639
504,9639
505,9639
506,9639
507,9639
508,9639
509,9639
510,9639
511,9639
512,9639
513,9639
514,9639
515,9639
516,9639
517,9639
518,9639
519,9639
521,9639
522,9639
523,9639
524,9639
525,9639
526,9639
527,9639
528,9639
529,9639
530,9639
531,9639
532,9639
533,9639
534,9639
535,9639
536,9639
537,9639
538,9639
539,9639
540,9639
541,9639
542,9639
543,9639
544,9639
545,9639
547,9639
548,9639
549,9639
550,9639
551,9639
552,9639
553,9639
554,9639
555,9639
556,9639
557,9639
558,9639
559,9639
560,9639
561,9639
562,9639
563,9639
564,9639
565,9639
566,9639
567,9639
568,9639
569,9639
570,9639
571,9639
572,9639
574,9639
575,9639
576,9639
577,9639
578,9639
579,9639
580,9639
581,9639
582,9639
583,9639
584,9639
585,9639
586,9639
587,9639
588,9639
589,9639
590,9639
591,9639
592,9639
593,9639
594,9639
595,9639
596,9639
597,9639
598,9639
600,9639
601,9639
602,9639
603,9639
604,9639
605,9639
606,9639
607,9639
608,9639
609,9639
610,9639
611,9639
612,9639
613,9639
614,9639
615,9639
616,9639
617,9639
618,9639
619,9639
620,9639
621,9639
622,9639
623,9639
624,9639
625,9639
627,9639
628,9639
629,9639
630,9639
631,9639
632,9639
633,9639
634,9639
635,9639
636,9639
637,9639
638,9639
639,9639
640,9639
641,9639
642,9639
643,9639
644,9639
645,9639
646,9639
647,9639
648,9639
649,9639
650,9639
651,9639
652,9639
654,9639
655,9639
656,9639
657,9639
658,9639
659,9639
660,9639
661,9639
662,9639
663,9639
664,9639
665,9639
666,9639
667,9639
668,9639
669,9639
670,9639
671,9639
672,9639
673,9639
674,9639
675,9639
676,9639
677,9639
678,9639
680,9639
681,9639
682,9639
683,9639
684,9639
685,9639
686,9639
687,9639
688,9639
689,9639
690,9639
691,9639
692,9639
693,9639
694,9639
695,9639
696,9639
697,9639
698,9639
699,9639
700,9639
701,9639
702,9639
703,9639
704,9639
705,9639
707,9639
708,9639
709,9639
710,9639
711,9639
712,9639
713,9639
714,9639
715,9639
716,9639
717,9639
718,9639
719,9639
720,9639
721,9639
722,9639
723,9639
724,9639
725,9639
726,9639
727,9639
728,9639
729,9639
730,9639
731,9639
733,9639
734,9639
735,9639
736,9639
737,9639
738,9639
739,9639
740,9639
741,9639
742,9639
743,9639
744,9639
745,9639
746,9639
747,9639
748,9639
749,9639
750,9639
751,9639
752,9639
753,9639
754,9639
755,9639
756,9639
757,9639
758,9639
760,9639
761,9639
762,9639
763,9639
764,9639
765,9639
766,9639
767,9639
768,9639
769,9639
770,9639
771,9639
772,9639
773,9639
774,9639
775,9639
776,9639
777,9639
778,9639
779,9639
780,9639
