time(s),total_tx(bytes)
0,0
1,653961
2,653961
3,653961
4,653961
5,653961
6,654021
7,654021
8,654021
9,654021
10,654021
11,654021
12,654021
13,654021
15,654021
16,730194
17,730194
18,730194
19,730194
20,730194
21,730194
22,730194
23,730194
24,730194
25,730194
26,730194
27,730194
28,730194
29,730194
30,730194
31,730194
32,730194
33,730194
34,730194
35,730194
36,730194
37,730194
38,730194
39,730194
40,730194
42,730194
43,730194
44,730194
45,730194
46,866382
47,866382
48,866382
49,866382
50,866442
51,866442
52,866442
53,866442
54,866442
55,866442
56,866442
57,866442
58,866442
59,866442
60,866442
61,866442
62,866442
63,866442
64,866442
65,866442
66,866574
67,866574
69,866574
70,866574
71,866574
72,866574
73,866574
74,866574
75,1039291
76,1039291
77,1039291
78,1039291
79,1039291
80,1039351
81,1039351
82,1039351
83,1039351
84,1039351
85,1039351
86,1039351
87,1039351
88,1039351
89,1039351
90,1039351
91,1039351
92,1039351
93,1039351
95,1039351
96,1039351
97,1039351
98,1039351
99,1039351
100,1039351
101,1039351
102,1039351
103,1039499
104,1039647
105,1183972
106,1184120
107,1184120
108,1184180
109,1184180
110,1184328
111,1184328
112,1184328
113,1184328
114,1184328
115,1184388
116,1184388
117,1184388
118,1184536
119,1184536
120,1184536
122,1184536
123,1184536
124,1184536
125,1184536
126,1184536
127,1184536
128,1184536
129,1184536
130,1184536
131,1184536
132,1184536
133,1184684
134,1184832
135,1326941
136,1327089
137,1327089
138,1327149
139,1327149
140,1327297
141,1327297
142,1327297
143,1327297
144,1327297
145,1327297
146,1327297
148,1327297
149,1327297
150,1327297
151,1327297
152,1327297
153,1327297
154,1327297
155,1327297
156,1327297
157,1327297
158,1327297
159,1327297
160,1327297
161,1327297
162,1327297
163,1327297
164,1327297
165,1327297
166,1327297
167,1327297
168,1327297
169,1327297
170,1327297
171,1327297
172,1327297
173,1327297
175,1327297
176,1327297
177,1327297
178,1327297
179,1327297
180,1327297
181,1327297
182,1327297
183,1327297
184,1327297
185,1327297
186,1327297
187,1327297
188,1327297
189,1327297
190,1327297
191,1327297
192,1327297
193,1327297
194,1327297
195,1327297
196,1327297
197,1327297
198,1327297
199,1327297
201,1327297
202,1327297
203,1327297
204,1327297
205,1327297
206,1327297
207,1327297
208,1327297
209,1327297
210,1327297
211,1327297
212,1327297
213,1327297
214,1327297
215,1327297
216,1327297
217,1327297
218,1327297
219,1327297
220,1327297
221,1327297
222,1327297
223,1327297
224,1327297
225,1327297
226,1327297
228,1327297
229,1327297
230,1327297
231,1327297
232,1327297
233,1327297
234,1327297
235,1327297
236,1327297
237,1327297
238,1327297
239,1327297
240,1327297
241,1327297
242,1327297
243,1327297
244,1327297
245,1327297
246,1327297
247,1327297
248,1327297
249,1327297
250,1327297
251,1327297
252,1327297
254,1327297
255,1327297
256,1327297
257,1327297
258,1327297
259,1327297
260,1327297
261,1327297
262,1327297
263,1327297
264,1327297
265,1327297
266,1327297
267,1327297
268,1327297
269,1327297
270,1327297
271,1327297
272,1327297
273,1327297
274,1327297
275,1327297
276,1327297
277,1327297
278,1327297
279,1327297
281,1327297
282,1327297
283,1327297
284,1327297
285,1327297
286,1327297
287,1327297
288,1327297
289,1327297
290,1327297
291,1327297
292,1327297
293,1327297
294,1327297
295,1327297
296,1327297
297,1327297
298,1327297
299,1327297
300,1327297
301,1327297
302,1327297
303,1327297
304,1327297
305,1327297
306,1327297
308,1327297
309,1327297
310,1327297
311,1327297
312,1327297
313,1327297
314,1327297
315,1327297
316,1327297
317,1327297
318,1327297
319,1327297
320,1327297
321,1327297
322,1327297
323,1327297
324,1327297
325,1327297
326,1327297
327,1327297
328,1327297
329,1327297
330,1327297
331,1327297
332,1327297
334,1327297
335,1327297
336,1327297
337,1327297
338,1327297
339,1327297
340,1327297
341,1327297
342,1327297
343,1327297
344,1327297
345,1327297
346,1327297
347,1327297
348,1327297
349,1327297
350,1327297
351,1327297
352,1327297
353,1327297
354,1327297
355,1327297
356,1327297
357,1327297
358,1327297
359,1327297
361,1327297
362,1327297
363,1327297
364,1327297
365,1327297
366,1327297
367,1327297
368,1327297
369,1327297
370,1327297
371,1327297
372,1327297
373,1327297
374,1327297
375,1327297
376,1327297
377,1327297
378,1327297
379,1327297
380,1327297
381,1327297
382,1327297
383,1327297
384,1327297
385,1327297
387,1327297
388,1327297
389,1327297
390,1327297
391,1327297
392,1327297
393,1327297
394,1327297
395,1327297
396,1327297
397,1327297
398,1327297
399,1327297
400,1327297
401,1327297
402,1327297
403,1327297
404,1327297
405,1327297
406,1327297
407,1327297
408,1327297
409,1327297
410,1327297
411,1327297
412,1327297
414,1327297
415,1327297
416,1327297
417,1327297
418,1327297
419,1327297
420,1327297
421,1327297
422,1327297
423,1327297
424,1327297
425,1327297
426,1327297
427,1327297
428,1327297
429,1327297
430,1327297
431,1327297
432,1327297
433,1327297
434,1327297
435,1327297
436,1327297
437,1327297
438,1327297
439,1327297
441,1327297
442,1327297
443,1327297
444,1327297
445,1327297
446,1327297
447,1327297
448,1327297
449,1327297
450,1327297
451,1327297
452,1327297
453,1327297
454,1327297
455,1327297
456,1327297
457,1327297
458,1327297
459,1327297
460,1327297
461,1327297
462,1327297
463,1327297
464,1327297
465,1327297
467,1327297
468,1327297
469,1327297
470,1327297
471,1327297
472,1327297
473,1327297
474,1327297
475,1327297
476,1327297
477,1327297
478,1327297
479,1327297
480,1327297
481,1327297
482,1327297
483,1327297
484,1327297
485,1327297
486,1327297
487,1327297
488,1327297
489,1327297
490,1327297
491,1327297
492,1327297
494,1327297
495,1327297
496,1327297
497,1327297
498,1327297
499,1327297
500,1327297
501,1327297
502,1327297
503,1327297
504,1327297
505,1327297
506,1327297
507,1327297
508,1327297
509,1327297
510,1327297
511,1327297
512,1327297
513,1327297
514,1327297
515,1327297
516,1327297
517,1327297
518,1327297
519,1327297
521,1327297
522,1327297
523,1327297
524,1327297
525,1327297
526,1327297
527,1327297
528,1327297
529,1327297
530,1327297
531,1327297
532,1327297
533,1327297
534,1327297
535,1327297
536,1327297
537,1327297
538,1327297
539,1327297
540,1327297
541,1327297
542,1327297
543,1327297
544,1327297
545,1327297
547,1327297
548,1327297
549,1327297
550,1327297
551,1327297
552,1327297
553,1327297
554,1327297
555,1327297
556,1327297
557,1327297
558,1327297
559,1327297
560,1327297
561,1327297
562,1327297
563,1327297
564,1327297
565,1327297
566,1327297
567,1327297
568,1327297
569,1327297
570,1327297
571,1327297
572,1327297
574,1327297
575,1327297
576,1327297
577,1327297
578,1327297
579,1327297
580,1327297
581,1327297
582,1327297
583,1327297
584,1327297
585,1327297
586,1327297
587,1327297
588,1327297
589,1327297
590,1327297
591,1327297
592,1327297
593,1327297
594,1327297
595,1327297
596,1327297
597,1327297
598,1327297
600,1327297
601,1327297
602,1327297
603,1327297
604,1327297
605,1327297
606,1327297
607,1327297
608,1327297
609,1327297
610,1327297
611,1327297
612,1327297
613,1327297
614,1327297
615,1327297
616,1327297
617,1327297
618,1327297
619,1327297
620,1327297
621,1327297
622,1327297
623,1327297
624,1327297
625,1327297
627,1327297
628,1327297
629,1327297
630,1327297
631,1327297
632,1327297
633,1327297
634,1327297
635,1327297
636,1327297
637,1327297
638,1327297
639,1327297
640,1327297
641,1327297
642,1327297
643,1327297
644,1327297
645,1327297
646,1327297
647,1327297
648,1327297
649,1327297
650,1327297
651,1327297
652,1327297
654,1327297
655,1327297
656,1327297
657,1327297
658,1327297
659,1327297
660,1327297
661,1327297
662,1327297
663,1327297
664,1327297
665,1327297
666,1327297
667,1327297
668,1327297
669,1327297
670,1327297
671,1327297
672,1327297
673,1327297
674,1327297
675,1327297
676,1327297
677,1327297
678,1327297
680,1327297
681,1327297
682,1327297
683,1327297
684,1327297
685,1327297
686,1327297
687,1327297
688,1327297
689,1327297
690,1327297
691,1327297
692,1327297
693,1327297
694,1327297
695,1327297
696,1327297
697,1327297
698,1327297
699,1327297
700,1327297
701,1327297
702,1327297
703,1327297
704,1327297
705,1327297
707,1327297
708,1327297
709,1327297
710,1327297
711,1327297
712,1327297
713,1327297
714,1327297
715,1327297
716,1327297
717,1327297
718,1327297
719,1327297
720,1327297
721,1327297
722,1327297
723,1327297
724,1327297
725,1327297
726,1327297
727,1327297
728,1327297
729,1327297
730,1327297
731,1327297
733,1327297
734,1327297
735,1327297
736,1327297
737,1327297
738,1327297
739,1327297
740,1327297
741,1327297
742,1327297
743,1327297
744,1327297
745,1327297
746,1327297
747,1327297
748,1327297
749,1327297
750,1327297
751,1327297
752,1327297
753,1327297
754,1327297
755,1327297
756,1327297
757,1327297
758,1327297
760,1327297
761,1327297
762,1327297
763,1327297
764,1327297
765,1327297
766,1327297
767,1327297
768,1327297
769,1327297
770,1327297
771,1327297
772,1327297
773,1327297
774,1327297
775,1327297
776,1327297
777,1327297
778,1327297
779,1327297
780,1327297
781,1327297
782,1327297
783,1327297
784,1327297
785,1327297
787,1327297
788,1327297
789,1327297
790,1327297
791,1327297
792,1327297
793,1327297
794,1327297
795,1327297
796,1327297
797,1327297
798,1327297
799,1327297
800,1327297
801,1327297
802,1327297
803,1327297
804,1327297
805,1327297
806,1327297
807,1327297
808,1327297
809,1327297
810,1327297
811,1327297
813,1327297
814,1327297
815,1327297
816,1327297
817,1327297
818,1327297
819,1327297
820,1327297
821,1327297
822,1327297
823,1327297
824,1327297
825,1327297
826,1327297
827,1327297
828,1327297
829,1327297
830,1327297
831,1327297
832,1327297
833,1327297
834,1327297
835,1327297
836,1327297
837,1327297
838,1327297
840,1327297
841,1327297
842,1327297
843,1327297
844,1327297
845,1327297
846,1327297
847,1327297
848,1327297
849,1327297
850,1327297
851,1327297
852,1327297
853,1327297
854,1327297
855,1327297
856,1327297
857,1327297
858,1327297
859,1327297
860,1327297
861,1327297
862,1327297
863,1327297
864,1327297
866,1327297
867,1327297
868,1327297
869,1327297
870,1327297
871,1327297
872,1327297
873,1327297
874,1327297
875,1327297
876,1327297
877,1327297
878,1327297
879,1327297
880,1327297
881,1327297
882,1327297
883,1327297
884,1327297
885,1327297
886,1327297
887,1327297
888,1327297
889,1327297
890,1327297
891,1327297
893,1327297
894,1327297
895,1327297
896,1327297
897,1327297
898,1327297
899,1327297
900,1327297
901,1327297
902,1327297
903,1327297
904,1327297
905,1327297
906,1327297
907,1327297
908,1327297
909,1327297
910,1327297
911,1327297
912,1327297
913,1327297
914,1327297
915,1327297
916,1327297
917,1327297
918,1327297
920,1327297
921,1327297
922,1327297
923,1327297
924,1327297
925,1327297
926,1327297
927,1327297
928,1327297
929,1327297
930,1327297
931,1327297
932,1327297
933,1327297
934,1327297
935,1327297
