time(s),total_rx(bytes)
0,0
1,553
2,553
3,553
4,553
5,553
6,637
7,637
8,637
9,637
10,637
12,637
13,637
14,637
15,637
16,637
17,637
18,637
19,637
20,637
21,691
22,745
23,799
24,799
25,799
26,799
27,799
28,799
29,799
30,799
31,799
32,2187
33,2534
34,2534
35,2881
36,2881
38,2881
39,3270
40,3270
41,3270
42,3270
43,3270
44,3270
45,4170
46,4170
47,4170
48,4170
49,4170
50,4224
51,4224
52,4224
53,4224
54,4224
55,4224
56,4224
57,4224
58,4224
59,4224
60,4224
61,4637
62,4637
63,4637
65,4637
66,4637
67,4637
68,4637
69,4637
70,4637
71,4637
72,4637
73,4637
74,4637
75,4637
76,4637
77,4637
78,4637
79,4637
80,4637
81,4637
82,4637
83,4637
84,4637
85,4637
86,4637
87,4637
88,4637
89,4637
90,4637
92,5331
93,6025
94,6372
95,6719
96,6719
97,6761
98,6761
99,7661
100,7661
101,7661
102,7661
103,7661
104,7703
105,7703
106,7703
107,7703
108,7703
109,7703
110,7757
111,7757
112,7757
113,7757
114,7757
115,7757
116,7757
118,7757
119,7757
120,7757
121,7757
122,8170
123,8170
124,8170
125,8170
126,8170
127,8170
128,8170
129,8170
130,8170
131,8170
132,8170
133,8170
134,8170
135,8170
136,8170
137,8170
138,8170
139,8170
140,8170
141,8170
142,8170
143,8170
145,8170
146,8170
147,8170
148,8170
149,8170
150,8170
151,8170
152,9211
153,9558
154,9905
155,10252
156,10252
157,10294
158,11194
159,11194
160,11194
161,11194
162,11194
163,11236
164,11236
165,11236
166,11236
167,11236
168,11236
169,11236
170,11290
172,11290
173,11290
174,11290
175,11290
176,11290
177,11290
178,11290
179,11290
180,11290
181,11290
182,11703
183,11703
184,11703
185,11703
186,11703
187,11703
188,11703
189,11703
190,11703
191,11703
192,11703
193,11703
194,11703
195,11703
196,11703
198,11703
199,11703
200,11703
201,11703
202,11703
203,11703
204,11703
205,11703
206,11703
207,11703
208,11703
209,11703
210,11703
211,11703
212,12744
213,13438
214,13438
215,13785
216,13785
217,13827
218,14727
219,14727
220,14727
221,14727
222,14727
223,14769
225,14769
226,14769
227,14769
228,14769
229,14769
230,14823
231,14823
232,14823
233,14823
234,14823
235,14823
236,14823
237,14823
238,14823
239,14823
240,14823
241,14823
242,15236
243,15236
244,15236
245,15236
246,15236
247,15236
248,15236
249,15236
250,15236
252,15236
253,15236
254,15236
255,15236
256,15236
257,15236
258,15236
259,15236
260,15236
261,15236
262,15236
263,15236
264,15236
265,15236
266,15236
267,15236
268,15236
269,15236
270,15236
271,15236
272,16624
273,16971
274,16971
275,17318
276,17318
278,17318
279,17665
280,17665
281,17665
282,17665
283,17665
284,17665
285,18012
286,18012
287,18012
288,18012
289,18012
290,18012
291,18012
292,18012
293,18012
294,18012
295,18012
296,18012
297,18012
298,18359
299,18359
300,18359
301,18359
302,18359
303,18401
305,18401
306,18401
307,18401
308,18401
309,18401
310,18401
311,18401
312,18401
313,18401
314,18401
315,18401
316,18401
317,18401
318,18401
319,18401
320,18455
321,18455
322,18455
323,18455
324,18455
325,18497
326,19397
327,19397
328,19397
329,19397
330,19397
332,19397
333,19397
334,19397
335,19397
336,19397
337,19397
338,19397
339,19397
340,19397
341,19397
342,19397
343,19397
344,19397
345,19397
346,19397
347,19397
348,19397
349,19397
350,19397
351,19397
352,19397
353,19397
354,19397
355,19397
356,19397
357,19397
359,19397
360,19397
361,19397
362,20091
363,20785
364,21132
365,21479
366,21479
367,21479
368,21479
369,21826
370,21826
371,21826
372,21826
373,21826
374,21826
375,22173
376,22173
377,22173
378,22173
379,22173
380,22215
381,22215
382,22215
383,22215
385,22215
386,22215
387,22215
388,22215
389,23115
390,23115
391,23115
392,23115
393,23115
394,23157
395,23157
396,23157
397,23157
398,23157
399,23157
400,23157
401,23157
402,23157
403,23157
404,23157
405,23157
406,23157
407,23157
408,23157
409,23157
411,23211
412,23211
413,23211
414,23211
415,23211
416,23211
417,23211
418,23211
419,23211
420,23211
421,23211
422,23624
423,23624
424,23624
425,23624
426,23624
427,23624
428,23624
429,23624
430,23624
431,23624
432,23624
433,23624
434,23624
435,23624
437,23624
438,23624
439,23624
440,23624
441,23624
442,23624
443,23624
444,23624
445,23624
446,23624
447,23624
448,23624
449,23624
450,23624
451,23624
452,24665
453,25359
454,25359
455,25706
456,25706
457,25706
458,26053
459,26053
460,26053
461,26053
462,26053
464,26053
465,26053
466,26400
467,26400
468,26400
469,26400
470,26400
471,26400
472,26400
473,26400
474,26400
475,26400
476,26400
477,26400
478,26747
479,26747
480,26747
481,26747
482,26747
483,26789
484,26789
485,26789
486,26789
487,26789
488,26789
489,26789
491,26789
492,26789
493,26789
494,26789
495,26789
496,26789
497,26789
498,26789
499,26789
500,26843
501,26843
502,26843
503,26843
504,26843
505,26885
506,27232
507,27232
508,27232
509,27232
510,27232
511,27232
512,27232
513,27232
514,27232
515,27232
516,27232
518,27232
519,27232
520,27232
521,27232
522,27232
523,27232
524,27232
525,27232
526,27232
527,27232
528,27232
529,27232
530,27232
531,27232
532,27232
533,27232
534,27232
535,27232
536,27232
537,27232
538,27232
539,27232
540,27232
541,27232
542,27232
544,27232
545,27232
546,27232
547,27232
548,27232
549,27232
550,27232
551,27232
552,27232
553,27232
554,27232
555,27232
556,27232
557,27232
558,27232
559,27579
560,27579
561,27579
562,27579
563,27579
564,27621
565,27621
566,27621
567,27621
568,27621
569,27621
571,27621
572,27621
573,27621
574,27621
575,27621
576,27621
577,27621
578,27621
579,27621
580,27621
581,27621
582,27621
583,27621
584,27621
585,27621
586,27621
587,27621
588,27621
589,27621
590,27621
591,27621
592,27621
593,27621
594,27621
595,27621
597,27621
598,27621
599,27621
600,27621
601,27621
602,27621
603,27621
604,27621
605,27621
606,27621
607,27621
608,27621
609,27621
610,27621
611,27621
612,27621
613,27621
614,27621
615,27621
616,27621
617,27621
618,27621
619,27621
620,27621
621,27621
622,27621
624,27621
625,27621
626,27621
627,27621
628,27621
629,27621
630,27621
631,27621
632,27835
633,27983
634,27983
635,28131
636,28131
637,28173
638,28173
639,28866
640,28866
641,28866
642,28866
643,28866
644,28908
645,28908
646,28908
647,28908
648,28908
649,28908
651,28962
652,28962
653,28962
654,28962
655,28962
656,28962
657,28962
658,28962
659,28962
660,28962
661,28962
662,30003
663,30697
664,30697
665,31044
666,31044
667,31086
668,31986
669,31986
670,31986
671,31986
672,31986
673,32028
674,32028
675,32028
677,32028
678,32028
679,32028
680,32028
681,32082
682,32082
683,32082
684,32082
685,32082
686,32082
687,32082
688,32082
689,32082
690,32082
691,32082
692,33123
693,33817
694,33817
695,34164
696,34164
697,34206
698,35106
699,35238
700,35238
701,35238
702,35238
704,35238
705,35238
706,35238
707,35238
708,35238
709,35238
710,35292
711,35292
712,35292
713,35292
714,35292
715,35292
716,35292
717,35292
718,35292
719,35292
720,35292
721,35292
722,36680
723,37027
724,37027
725,37374
726,37374
727,37416
728,38316
729,38316
731,38316
732,38316
733,38316
734,38358
735,38358
736,38358
737,38358
738,38358
739,38358
740,38412
741,38412
742,38412
743,38412
744,38412
745,38412
746,38412
747,38412
748,38412
749,38412
750,38412
751,38825
752,38825
753,38825
754,38825
755,38825
756,38867
758,38867
759,38867
760,38867
761,38867
762,38867
763,38867
764,38867
765,38867
766,38867
767,38867
768,38867
769,38867
770,38867
771,38867
772,38867
773,38867
774,38867
775,38867
776,38867
777,38867
778,38867
779,38867
780,38867
781,39214
782,40255
784,40602
785,40602
786,40949
787,40991
788,40991
789,41891
790,41891
791,41891
792,41891
793,41891
794,41933
795,41933
796,41933
797,41933
798,41933
799,41933
800,41933
801,41933
802,41933
803,41933
804,41933
805,41933
