time(s),total_rx(bytes)
0,0
1,5141
2,15786
3,24038
4,30734
5,37298
6,41432
7,47732
8,47732
9,47732
10,47732
11,47732
12,47732
13,47732
14,47732
15,47732
17,47732
18,47732
19,47732
20,47732
21,47732
22,47732
23,47732
24,47732
25,47732
26,47732
27,47732
28,47732
29,47732
30,47732
31,58411
32,68445
33,74634
34,80757
35,85543
36,90263
37,95247
38,95247
39,95247
40,95247
41,95247
42,95247
44,95247
45,95247
46,95247
47,95247
48,95247
49,95247
50,95247
51,95247
52,95247
53,95247
54,95247
55,95247
56,95247
57,95247
58,95247
59,95247
60,95247
61,107972
62,116224
63,120763
64,126605
65,130665
66,136590
67,140650
68,140716
70,140716
71,140716
72,140716
73,140716
74,140716
75,140716
76,140716
77,140716
78,140716
79,140716
80,140716
81,140716
82,140716
83,140716
84,140716
85,140716
86,140716
87,140716
88,140716
89,140716
90,140716
91,153524
92,161429
93,167618
94,172668
95,177652
97,182504
98,187158
99,189617
100,189617
101,189617
102,189617
103,189617
104,189617
105,189617
106,189617
107,189617
108,189617
109,189617
110,189617
111,189617
112,189617
113,189617
114,189617
115,189617
116,189617
117,189617
118,189617
119,189617
120,192374
121,204405
122,213176
124,220487
125,225405
126,230257
127,235109
128,239829
129,242288
130,242288
131,242288
132,242288
133,242288
134,242288
135,242288
136,242288
137,242288
138,242288
139,242288
140,242288
141,242288
142,242288
143,242288
144,242288
145,242288
146,242288
147,242288
148,242288
150,242288
151,246761
152,257076
153,264998
154,271698
155,276484
156,281336
157,285990
158,290578
159,293103
160,293103
161,293103
162,293103
163,293103
164,293103
165,293103
166,293103
167,293103
168,293103
169,293103
170,293103
171,293103
172,293103
173,293103
174,293103
175,293103
177,293103
178,293103
179,293103
180,293103
181,299639
182,309954
183,316011
184,320137
185,324676
186,328851
187,333703
188,338357
189,340750
190,340750
191,340750
192,340750
193,340750
194,340750
195,340750
196,340750
197,340750
198,340750
199,340750
200,340750
201,340750
202,340750
204,340750
205,340750
206,340750
207,340750
208,340750
209,340750
210,340750
211,349415
212,357733
213,363790
214,368461
215,374105
216,378165
217,380509
218,384156
219,386219
220,386219
221,386219
222,386219
223,386219
224,386219
225,386219
226,386219
227,386219
228,386219
230,386219
231,386219
232,386219
233,386219
234,386219
235,386219
236,386219
237,386219
238,386219
239,386219
240,386219
241,395231
242,403202
243,409325
244,415580
245,420440
246,425688
247,428362
248,432669
249,434996
250,434996
251,434996
252,434996
253,434996
254,434996
255,434996
257,434996
258,434996
259,434996
260,434996
261,434996
262,434996
263,434996
264,434996
265,434996
266,434996
267,434996
268,434996
269,434996
270,434996
271,445460
272,453910
273,460033
274,464093
275,468153
276,472873
277,477527
278,479854
279,482115
280,482115
281,482115
282,482115
284,482115
285,482115
286,482115
287,482115
288,482115
289,482115
290,482115
291,482115
292,482115
293,482115
294,482115
295,482115
296,482115
297,482115
298,482115
299,482115
300,482115
301,494774
302,501178
303,506888
304,511361
305,517071
306,519068
307,523062
308,526990
310,526990
311,526990
312,526990
313,526990
314,526990
315,526990
316,526990
317,526990
318,526990
319,526990
320,526990
321,526990
322,526990
323,526990
324,526990
325,526990
326,526990
327,526990
328,526990
329,526990
330,527337
331,539451
332,548429
333,553875
334,558727
335,563579
337,568431
338,573019
339,577739
340,577739
341,577739
342,577739
343,577739
344,577739
345,577739
346,577739
347,577739
348,577739
349,577739
350,577739
351,577739
352,577739
353,577739
354,577739
355,577739
356,577739
357,577739
358,577739
359,577739
360,580149
361,592395
362,599838
364,604822
365,612067
366,617051
367,619444
368,623900
369,628620
370,628620
371,628620
372,628620
373,628620
374,628620
375,628620
376,628620
377,628620
378,628620
379,628620
380,628620
381,628620
382,628620
383,628620
384,628620
385,628620
386,628620
387,628620
388,628620
390,628620
391,634289
392,645726
393,652971
394,660084
395,664870
396,669458
397,674046
398,676307
399,680829
400,680829
401,680829
402,680829
403,680829
404,680829
405,680829
406,680829
407,680829
408,680829
409,680829
410,680829
411,680829
412,680829
413,680829
414,680829
415,680829
417,680829
418,680829
419,680829
420,680829
421,687233
422,697548
423,702021
424,707731
425,711791
426,715785
427,719779
428,722189
429,726166
430,726166
431,726166
432,726166
433,726166
434,726166
435,726166
436,726166
437,726166
438,726166
439,726166
440,726166
441,726166
442,726166
444,726166
445,726166
446,726166
447,726166
448,726166
449,726166
450,726166
451,734765
452,743809
453,751054
454,755906
455,760692
456,765346
457,770066
458,774654
459,777047
460,777047
461,777047
462,777047
463,777047
464,777047
465,777047
466,777047
467,777047
468,777047
470,777047
471,777047
472,777047
473,777047
474,777047
475,777047
476,777047
477,777047
478,777047
479,777047
480,777047
481,785514
482,794426
483,801935
484,807051
485,812118
486,816557
487,821211
488,825931
489,828258
490,828258
491,828258
492,828258
493,828258
494,828258
495,828258
497,828258
498,828258
499,828258
500,828258
501,828258
502,828258
503,828258
504,828258
505,828258
506,828258
507,828258
508,828258
509,828258
510,828258
511,838722
512,847972
513,853088
514,860333
515,865053
516,867595
517,871902
518,876358
519,878751
520,878751
521,878751
522,878751
524,878751
525,878751
526,878751
527,878751
528,878751
529,878751
530,878751
531,878751
532,878751
533,878751
534,878751
535,878751
536,878751
537,878751
538,878751
539,878751
540,878751
541,890222
542,897269
543,903392
544,907386
545,911578
546,916166
547,918427
548,922949
549,925210
551,925210
552,925210
553,925210
554,925210
555,925210
556,925210
557,925210
558,925210
559,925210
560,925210
561,925210
562,925210
563,925210
564,925210
565,925210
566,925210
567,925210
568,925210
569,925210
570,925210
571,937737
572,944207
573,949917
574,953911
575,957905
577,961899
578,966421
579,968682
580,971009
581,971009
582,971009
583,971009
584,971009
585,971009
586,971009
587,971009
588,971009
589,971009
590,971009
591,971009
592,971009
593,971009
594,971009
595,971009
596,971009
597,971009
598,971009
599,971009
600,973419
601,985533
602,991722
604,995914
605,1000040
606,1004034
607,1008820
608,1013408
609,1015801
610,1018194
611,1018194
612,1018194
613,1018194
614,1018194
615,1018194
616,1018194
617,1018194
618,1018194
619,1018194
620,1018194
621,1018194
622,1018194
623,1018194
624,1018194
625,1018194
626,1018194
627,1018194
628,1018194
629,1018194
631,1022535
632,1032652
633,1038775
634,1044832
635,1048892
636,1053554
637,1055881
638,1060601
639,1065255
640,1065255
641,1065255
642,1065255
643,1065255
644,1065255
645,1065255
646,1065255
647,1065255
648,1065255
649,1065255
650,1065255
651,1065255
652,1065255
653,1065255
654,1065255
655,1065255
656,1065255
658,1065255
659,1065255
660,1065255
661,1071857
662,1080109
663,1086232
664,1092223
665,1096349
666,1100409
667,1102472
668,1107192
669,1111846
670,1111846
671,1111846
672,1111846
673,1111846
674,1111846
675,1111846
676,1111846
677,1111846
678,1111846
679,1111846
680,1111846
681,1111846
682,1111846
684,1111846
685,1111846
686,1111846
687,1111846
688,1111846
689,1111846
690,1111846
691,1118729
692,1128697
693,1134820
694,1138880
695,1143006
696,1147132
697,1149476
698,1153057
699,1157051
700,1157051
701,1157051
702,1157051
703,1157051
704,1157051
705,1157051
706,1157051
707,1157051
708,1157051
709,1157051
711,1157051
712,1157051
713,1157051
714,1157051
715,1157051
716,1157051
717,1157051
718,1157051
719,1157051
720,1157051
721,1165518
722,1173836
723,1179959
724,1184085
725,1188145
726,1192271
727,1196265
728,1198196
729,1202190
730,1202190
731,1202190
732,1202190
733,1202190
734,1202190
735,1202190
736,1202190
738,1202190
739,1202190
740,1202190
741,1202190
742,1202190
743,1202190
744,1202190
745,1202190
746,1202190
747,1202190
748,1202190
749,1202190
750,1202190
751,1212720
752,1220972
753,1225032
754,1229571
755,1233697
756,1237476
757,1241932
758,1246586
759,1248979
760,1248979
761,1248979
762,1248979
764,1248979
765,1248979
766,1248979
767,1248979
768,1248979
769,1248979
770,1248979
771,1248979
772,1248979
773,1248979
774,1248979
775,1248979
776,1248979
777,1248979
778,1248979
779,1248979
780,1248979
781,1261382
782,1270211
783,1277522
784,1282440
785,1287160
786,1291814
787,1294009
788,1298465
789,1300726
791,1300726
792,1300726
793,1300726
794,1300726
795,1300726
796,1300726
797,1300726
798,1300726
799,1300726
800,1300726
801,1300726
802,1300726
803,1300726
804,1300726
805,1300726
806,1300726
807,1300726
808,1300726
809,1300726
810,1300726
811,1313055
812,1319112
813,1325367
814,1330195
815,1334957
816,1339611
818,1342046
819,1346568
820,1347609
821,1347956
822,1348303
823,1348650
824,1348650
825,1348650
826,1348650
827,1348997
828,1348997
829,1348997
830,1348997
831,1348997
832,1348997
833,1348997
834,1348997
835,1349344
836,1349344
837,1349344
838,1349344
839,1349344
840,1349344
841,1349344
842,1349344
844,1349344
845,1349344
846,1349344
847,1349344
848,1349344
849,1349344
850,1349691
851,1349691
852,1349691
853,1349691
854,1349691
855,1349733
856,1349733
857,1349733
858,1349733
859,1349733
860,1349733
861,1349733
862,1349733
863,1349733
864,1349733
865,1349733
866,1349733
867,1349733
868,1349733
869,1349733
871,1349733
872,1349733
873,1349733
874,1349895
875,1349895
876,1349895
877,1349895
878,1349937
879,1349937
880,1353213
881,1353213
882,1353213
883,1353213
884,1353213
885,1353255
886,1353255
887,1353309
888,1353309
889,1353309
890,1353309
891,1353309
892,1353309
893,1353309
894,1353309
895,1353309
896,1353309
898,1353309
899,1353309
900,1353309
901,1360373
902,1368691
903,1374946
904,1380871
905,1385063
906,1389189
907,1391186
908,1395114
909,1397392
910,1399174
911,1399174
912,1399174
913,1399174
914,1399174
915,1399174
916,1399174
917,1399174
918,1399174
919,1399174
920,1399174
921,1399174
922,1399174
923,1399174
925,1399174
926,1399174
927,1399174
928,1399174
929,1399174
930,1399174
931,1405925
932,1415695
933,1419887
934,1426406
935,1431258
