time(s),total_tx(bytes)
0,0
1,420
2,420
3,420
4,420
5,420
6,512
7,512
8,512
9,512
10,512
12,512
13,512
14,512
15,512
16,512
17,512
18,512
19,512
20,512
21,572
22,632
23,692
24,692
25,692
26,692
27,692
28,692
29,692
30,692
31,692
32,692
33,692
34,692
35,692
36,692
38,692
39,738
40,738
41,738
42,738
43,738
44,738
45,1204
46,1204
47,1204
48,1204
49,1204
50,1558
51,1650
52,1696
53,1742
54,1742
55,1742
56,1742
57,1788
58,1788
59,1788
60,1788
61,2096
62,2096
63,2142
65,2142
66,2142
67,2142
68,2142
69,2142
70,2142
71,2142
72,2142
73,2142
74,2142
75,2142
76,2142
77,2142
78,2142
79,2142
80,2142
81,2142
82,2142
83,2142
84,2142
85,2142
86,2142
87,2142
88,2142
89,2142
90,2142
92,2142
93,2142
94,2142
95,2142
96,2142
97,2188
98,2188
99,2654
100,2654
101,2654
102,2654
103,2654
104,2700
105,2700
106,2700
107,2700
108,2700
109,2700
110,3100
111,3146
112,3192
113,3238
114,3238
115,3238
116,3238
118,3284
119,3284
120,3284
121,3284
122,3592
123,3592
124,3638
125,3638
126,3638
127,3638
128,3638
129,3638
130,3638
131,3638
132,3638
133,3638
134,3638
135,3638
136,3638
137,3638
138,3638
139,3638
140,3638
141,3638
142,3638
143,3638
145,3638
146,3638
147,3638
148,3638
149,3638
150,3638
151,3638
152,3638
153,3638
154,3638
155,3638
156,3638
157,3684
158,4150
159,4150
160,4150
161,4150
162,4150
163,4196
164,4196
165,4196
166,4196
167,4196
168,4196
169,4196
170,4642
172,4688
173,4688
174,4734
175,4734
176,4734
177,4780
178,4780
179,4780
180,4780
181,4780
182,5088
183,5088
184,5134
185,5134
186,5134
187,5134
188,5134
189,5134
190,5134
191,5134
192,5134
193,5134
194,5134
195,5134
196,5134
198,5134
199,5134
200,5134
201,5134
202,5134
203,5134
204,5134
205,5134
206,5134
207,5134
208,5134
209,5134
210,5134
211,5134
212,5134
213,5134
214,5134
215,5134
216,5134
217,5180
218,5646
219,5646
220,5646
221,5646
222,5646
223,5692
225,5692
226,5692
227,5692
228,5692
229,5692
230,6000
231,6138
232,6184
233,6184
234,6230
235,6230
236,6230
237,6276
238,6276
239,6276
240,6276
241,6276
242,6584
243,6630
244,6630
245,6630
246,6630
247,6630
248,6630
249,6630
250,6630
252,6630
253,6630
254,6630
255,6630
256,6630
257,6630
258,6630
259,6630
260,6630
261,6630
262,6630
263,6630
264,6630
265,6630
266,6630
267,6630
268,6630
269,6630
270,6630
271,6630
272,6630
273,6630
274,6630
275,6630
276,6630
278,6630
279,6630
280,6630
281,6630
282,6630
283,6630
284,6630
285,6630
286,6630
287,6630
288,6630
289,6630
290,6630
291,6630
292,6630
293,6630
294,6630
295,6630
296,6630
297,6630
298,6630
299,6630
300,6630
301,6630
302,6630
303,6676
305,6676
306,6676
307,6676
308,6676
309,6676
310,6676
311,6676
312,6676
313,6676
314,6676
315,6676
316,6676
317,6676
318,6676
319,6676
320,7076
321,7122
322,7168
323,7214
324,7214
325,7260
326,7726
327,7772
328,7772
329,7772
330,7772
332,7772
333,7772
334,7818
335,7818
336,7818
337,7818
338,7818
339,7818
340,7818
341,7818
342,7818
343,7818
344,7818
345,7818
346,7818
347,7864
348,7864
349,7864
350,7864
351,7864
352,7864
353,7864
354,7864
355,7864
356,7864
357,7864
359,7864
360,7864
361,7864
362,7864
363,7864
364,7864
365,7864
366,7864
367,7864
368,7864
369,7864
370,7864
371,7864
372,7864
373,7864
374,7864
375,7864
376,7864
377,7864
378,7864
379,7864
380,7910
381,7910
382,7910
383,7910
385,7910
386,7910
387,7910
388,7910
389,8376
390,8376
391,8376
392,8376
393,8376
394,8422
395,8422
396,8422
397,8422
398,8422
399,8422
400,8422
401,8422
402,8422
403,8422
404,8422
405,8422
406,8422
407,8422
408,8422
409,8422
411,8868
412,8914
413,8914
414,8960
415,8960
416,8960
417,9006
418,9006
419,9006
420,9006
421,9006
422,9314
423,9360
424,9360
425,9360
426,9360
427,9360
428,9360
429,9360
430,9360
431,9360
432,9360
433,9360
434,9360
435,9360
437,9360
438,9360
439,9360
440,9360
441,9360
442,9360
443,9360
444,9360
445,9360
446,9360
447,9360
448,9360
449,9360
450,9360
451,9360
452,9360
453,9360
454,9360
455,9360
456,9360
457,9360
458,9360
459,9360
460,9360
461,9360
462,9360
464,9360
465,9360
466,9360
467,9360
468,9360
469,9360
470,9360
471,9360
472,9360
473,9360
474,9360
475,9360
476,9360
477,9360
478,9360
479,9360
480,9360
481,9360
482,9360
483,9406
484,9406
485,9406
486,9406
487,9406
488,9406
489,9406
491,9406
492,9406
493,9406
494,9406
495,9406
496,9406
497,9406
498,9406
499,9406
500,9760
501,9852
502,9898
503,9944
504,9944
505,9990
506,9990
507,9990
508,9990
509,9990
510,9990
511,9990
512,9990
513,9990
514,9990
515,9990
516,9990
518,9990
519,9990
520,9990
521,9990
522,9990
523,9990
524,9990
525,9990
526,9990
527,9990
528,9990
529,9990
530,9990
531,9990
532,9990
533,9990
534,9990
535,9990
536,9990
537,9990
538,9990
539,9990
540,9990
541,9990
542,9990
544,9990
545,9990
546,9990
547,9990
548,9990
549,9990
550,9990
551,9990
552,9990
553,9990
554,9990
555,9990
556,9990
557,9990
558,9990
559,9990
560,9990
561,9990
562,9990
563,9990
564,10036
565,10036
566,10036
567,10036
568,10036
569,10036
571,10036
572,10036
573,10036
574,10036
575,10036
576,10036
577,10036
578,10036
579,10036
580,10036
581,10036
582,10036
583,10036
584,10036
585,10036
586,10036
587,10036
588,10036
589,10036
590,10036
591,10036
592,10036
593,10036
594,10036
595,10036
597,10036
598,10036
599,10036
600,10036
601,10036
602,10036
603,10036
604,10036
605,10036
606,10036
607,10036
608,10036
609,10036
610,10036
611,10036
612,10036
613,10036
614,10036
615,10036
616,10036
617,10036
618,10036
619,10036
620,10036
621,10036
622,10036
624,10036
625,10036
626,10036
627,10036
628,10036
629,10036
630,10036
631,10036
632,10036
633,10036
634,10036
635,10036
636,10036
637,10082
638,10082
639,10562
640,10562
641,10562
642,10562
643,10562
644,10608
645,10608
646,10608
647,10608
648,10608
649,10608
651,11054
652,11100
653,11100
654,11146
655,11146
656,11146
657,11146
658,11146
659,11146
660,11146
661,11146
662,11146
663,11146
664,11146
665,11146
666,11146
667,11192
668,11658
669,11658
670,11658
671,11658
672,11658
673,11704
674,11704
675,11704
677,11704
678,11704
679,11704
680,11704
681,12150
682,12196
683,12196
684,12242
685,12242
686,12242
687,12242
688,12242
689,12242
690,12242
691,12242
692,12242
693,12242
694,12242
695,12242
696,12242
697,12288
698,12754
699,12858
700,12858
701,12858
702,12858
704,12858
705,12858
706,12858
707,12858
708,12858
709,12858
710,13166
711,13304
712,13350
713,13350
714,13396
715,13396
716,13396
717,13396
718,13396
719,13396
720,13396
721,13396
722,13396
723,13396
724,13396
725,13396
726,13396
727,13442
728,13908
729,13908
731,13908
732,13908
733,13908
734,13954
735,13954
736,13954
737,13954
738,13954
739,13954
740,14308
741,14400
742,14446
743,14492
744,14492
745,14492
746,14492
747,14538
748,14538
749,14538
750,14538
751,14846
752,14846
753,14892
754,14892
755,14892
756,14938
758,14938
759,14938
760,14938
761,14938
762,14938
763,14938
764,14938
765,14938
766,14938
767,14984
768,14984
769,14984
770,14984
771,14984
772,14984
773,14984
774,14984
775,14984
776,14984
777,14984
778,14984
779,14984
780,14984
781,14984
782,14984
784,14984
785,14984
786,14984
787,15030
788,15030
789,15496
790,15496
791,15496
792,15496
793,15496
794,15542
795,15588
796,15588
797,15588
798,15588
799,15588
800,15588
801,15588
802,15588
803,15588
804,15588
805,15588
806,15588
807,15588
808,15588
809,15588
811,15588
812,15896
813,15896
814,15896
815,15896
816,15896
817,15942
818,15942
819,15942
820,15942
821,15942
822,15942
823,15942
824,15942
825,15942
826,15942
827,15942
828,15942
829,15942
830,15942
831,15942
832,15942
833,15942
834,15942
835,15942
836,15942
838,15942
839,15942
840,15942
841,15942
842,16250
843,16250
844,16250
845,16250
846,16250
847,16250
848,16296
849,16296
850,16296
851,16296
852,16296
853,16296
854,16296
855,16296
856,16296
857,16296
858,16296
859,16296
860,16296
861,16296
862,16296
864,16296
865,16296
866,16296
867,16296
868,16296
869,16296
870,16296
871,16296
872,16296
873,16296
874,16296
875,16296
876,16296
877,16296
878,16808
879,16808
880,16808
881,16808
882,16808
883,16854
884,16854
885,16854
886,16854
887,16854
888,16854
890,16854
891,16854
892,16854
893,16854
894,16854
895,16854
896,16854
897,16854
898,16854
899,16854
900,16854
901,16854
902,17162
903,17162
904,17162
905,17162
906,17162
907,17162
908,17162
909,17162
910,17162
911,17162
912,17162
913,17162
914,17162
915,17162
917,17162
918,17162
919,17162
920,17328
921,17448
922,17448
923,17568
924,17568
925,17568
926,17568
927,17568
928,17568
929,17568
930,17568
931,17568
932,17568
933,17568
934,17568
935,17568
