time(s),total_tx(bytes)
0,0
1,1025458
2,3620485
3,5699848
4,7281259
5,8855093
6,9884619
7,11425072
8,11425072
9,11425072
10,11425072
11,11425072
12,11425072
13,11425072
14,11425072
15,11425072
17,11425072
18,11425072
19,11425072
20,11425072
21,11425072
22,11425072
23,11425072
24,11425072
25,11425072
26,11425072
27,11425072
28,11425072
29,11425072
30,11425072
31,13998811
32,16615130
33,18178882
34,19754226
35,20801834
36,21815111
37,22850344
38,22850344
39,22850344
40,22850344
41,22850344
42,22850344
44,22850344
45,22850344
46,22850344
47,22850344
48,22850344
49,22850344
50,22850344
51,22850344
52,22850344
53,22850344
54,22850344
55,22850344
56,22850344
57,22850344
58,22850344
59,22850344
60,22850344
61,25953367
62,28040246
63,29082912
64,30653200
65,31705429
66,33240019
67,34274585
68,34275096
70,34275096
71,34275096
72,34275096
73,34275096
74,34275096
75,34275096
76,34275096
77,34275096
78,34275096
79,34275096
80,34275096
81,34275096
82,34275096
83,34275096
84,34275096
85,34275096
86,34275096
87,34275096
88,34275096
89,34275096
90,34275096
91,37377495
92,39468334
93,41028074
94,42077172
95,43129505
97,44159083
98,45172626
99,45699120
100,45699120
101,45699120
102,45699120
103,45699120
104,45699120
105,45699120
106,45699120
107,45699120
108,45699120
109,45699120
110,45699120
111,45699120
112,45699120
113,45699120
114,45699120
115,45699120
116,45699120
117,45699120
118,45699120
119,45699120
120,46212035
121,49320112
122,50893661
124,52453661
125,53502967
126,54555352
127,55585086
128,56599149
129,57125851
130,57125851
131,57125851
132,57125851
133,57125851
134,57125851
135,57125851
136,57125851
137,57125851
138,57125851
139,57125851
140,57125851
141,57125851
142,57125851
143,57125851
144,57125851
145,57125851
146,57125851
147,57125851
148,57125851
150,57125851
151,58151197
152,60746172
153,62319453
154,63879037
155,64927875
156,65980104
157,67009422
158,68023017
159,68549615
160,68549615
161,68549615
162,68549615
163,68549615
164,68549615
165,68549615
166,68549615
167,68549615
168,68549615
169,68549615
170,68549615
171,68549615
172,68549615
173,68549615
174,68549615
175,68549615
177,68549615
178,68549615
179,68549615
180,68549615
181,70095812
182,72697219
183,74250079
184,75303685
185,76352939
186,77405324
187,78435006
188,79448757
189,79975355
190,79975355
191,79975355
192,79975355
193,79975355
194,79975355
195,79975355
196,79975355
197,79975355
198,79975355
199,79975355
200,79975355
201,79975355
202,79975355
204,79975355
205,79975355
206,79975355
207,79975355
208,79975355
209,79975355
210,79975355
211,82041605
212,84130567
213,85674259
