time(s),total_rx(bytes)
0,0
1,74
2,148
3,148
4,222
5,222
6,264
7,264
8,817
10,817
11,817
12,817
13,817
14,859
15,859
16,859
17,859
18,859
19,859
20,859
21,859
22,859
23,859
24,859
25,913
26,913
27,913
28,913
29,913
30,913
31,1326
32,1326
33,1326
34,1326
36,1326
37,1326
38,1326
39,1326
40,1326
41,1326
42,1326
43,1326
44,1326
45,1326
46,1326
47,1326
48,1326
49,1326
50,1326
51,1326
52,1326
53,1326
54,1326
55,1326
56,1326
57,1326
58,1326
59,1326
60,1326
61,1673
63,2714
64,3061
65,3061
66,3408
67,3450
68,3450
69,4350
70,4350
71,4350
72,4350
73,4350
74,4392
75,4392
76,4392
77,4392
78,4392
79,4392
80,4392
81,4392
82,4392
83,4392
84,4392
85,4446
86,4446
87,4446
88,4446
90,4446
91,4446
92,4859
93,4859
94,4859
95,4859
96,4859
97,4859
98,4859
99,4859
100,4859
101,4859
102,4859
103,4859
104,4859
105,4859
106,4859
107,4859
108,4859
109,4859
110,4859
111,4859
112,4859
113,4859
114,4859
116,4859
117,4859
118,4859
119,4859
120,4859
121,4859
122,5900
123,6247
124,6594
125,6941
126,6941
127,6983
128,6983
129,7883
130,7883
131,7883
132,7883
133,7925
134,7925
135,7925
136,7925
137,7925
138,7925
139,7925
140,7925
141,7925
143,7925
144,7925
145,7925
146,7979
147,7979
148,7979
149,7979
150,7979
151,7979
152,8392
153,8392
154,8392
155,8392
156,8392
157,8392
158,8392
159,8392
160,8392
161,8392
162,8392
163,8392
164,8392
165,8392
166,8392
167,8392
168,8392
170,8392
171,8392
172,8392
173,8392
174,8392
175,8392
176,8392
177,8392
178,8392
275,8164
276,8717
277,8717
278,8717
279,8717
280,8717
281,8717
283,8717
284,8717
285,8717
286,8717
287,8717
288,8717
289,8717
290,8717
291,8717
292,8717
293,8717
294,8717
295,8717
296,8717
297,8717
298,8717
299,8717
300,8717
301,8717
302,8717
303,8717
304,8717
305,8717
306,9064
307,10105
308,10452
310,10452
311,10799
312,10841
313,10841
314,11741
315,11741
316,11741
317,11741
318,11741
319,11783
320,11783
321,11783
322,11783
323,11783
324,11783
325,11837
326,11837
327,11837
328,11837
329,11837
330,11837
331,11837
332,11837
333,11837
334,11837
336,11837
337,12531
338,13225
339,13572
340,13919
341,13919
342,13961
343,13961
344,14861
345,14861
346,14861
347,14861
348,14861
349,14903
350,14903
351,14903
352,14903
353,14903
354,14903
355,14957
356,14957
357,14957
358,14957
359,14957
360,14957
361,14957
363,14957
364,14957
365,14957
366,14957
367,15370
368,15370
369,15370
370,15370
371,15370
372,15412
373,15412
374,15412
375,15412
376,15412
377,15412
378,15412
379,15412
380,15412
381,15412
382,15412
383,15412
384,15412
385,15412
